,GEOGRAPHY_CODE,All categories: Dwelling type,All categories: Household spaces,Caravan or other mobile or temporary structure,"Flat, maisonette or apartment: In a commercial building","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: Purpose-built block of flats or tenement",Household spaces with at least one usual resident,Household spaces with no usual residents,Shared dwelling,Shared dwelling: Three or more household spaces,Shared dwelling: Two household spaces,Unshared dwelling,Whole house or bungalow: Detached,Whole house or bungalow: Semi-detached,Whole house or bungalow: Terraced (including end-terrace)
0,E02000001,5513.0,1.003083620533285,0.0,0.08108108108108109,0.0379103936150916,0.8634137493197895,0.795392708144386,0.20769091238889897,0.0018138944313440958,0.0005441683294032287,0.001269726101940867,0.998186105568656,0.0039905677489570105,0.0021766733176129148,0.014511155450752766
1,E02000002,2786.0,1.0032304379038048,0.0,0.005384063173007897,0.01399856424982053,0.3707824838478105,0.9737975592246949,0.029432878679109833,0.0007178750897343862,0.0007178750897343862,0.0,0.9992821249102656,0.03553481694185212,0.2670495333811917,0.31048097631012206
2,E02000003,3937.0,1.001778003556007,0.0,0.02667005334010668,0.050546101092202186,0.24180848361696725,0.9738379476758954,0.02794005588011176,0.000508001016002032,0.000508001016002032,0.0,0.999491998983998,0.040894081788163575,0.23774447548895097,0.4041148082296165
3,E02000004,2363.0,1.0,0.0021159542953872196,0.0033855268726195515,0.01523487092678798,0.11426153195090986,0.980956411341515,0.019043588658484975,0.0,0.0,0.0,1.0,0.03893355903512484,0.3630977570884469,0.46297079983072364
4,E02000005,3270.0,1.000611620795107,0.0,0.01620795107033639,0.0345565749235474,0.06330275229357799,0.9733944954128441,0.027217125382262997,0.0003058103975535168,0.0003058103975535168,0.0,0.9996941896024465,0.04159021406727829,0.19021406727828746,0.6547400611620795
5,E02000007,3524.0,1.0028376844494893,0.00028376844494892167,0.00681044267877412,0.009364358683314415,0.40124858115777523,0.9764472190692395,0.026390465380249715,0.0019863791146424517,0.000851305334846765,0.0011350737797956867,0.9980136208853575,0.023269012485811577,0.2159477866061294,0.34591373439273554
6,E02000008,4642.0,1.0,0.00021542438604049978,0.006031882809133994,0.025420077552778975,0.13313227057302887,0.9890133563119345,0.010986643688065489,0.0,0.0,0.0,1.0,0.040499784575613956,0.18612666953899182,0.6085738905644119
7,E02000009,3292.0,1.0,0.0,0.030072904009720534,0.027946537059538274,0.1433778857837181,0.9756986634264885,0.024301336573511544,0.0,0.0,0.0,1.0,0.03918590522478736,0.23572296476306198,0.5236938031591738
8,E02000010,3347.0,1.0,0.00029877502240812666,0.003884075291305647,0.027487302061547654,0.11114430833582313,0.983567373767553,0.016432626232446967,0.0,0.0,0.0,1.0,0.03734687780101584,0.18434418882581416,0.6354944726620855
9,E02000011,2348.0,1.0,0.00042589437819420784,0.022146507666098807,0.02385008517887564,0.20442930153321975,0.9748722316865417,0.02512776831345826,0.0,0.0,0.0,1.0,0.054514480408858604,0.24318568994889267,0.4514480408858603
