,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_ARRUK_13_NAME,OBS_VALUE
0,2021,E02002438,2021 super output areas - middle layer,152,Born in the UK,8347
1,2021,E02002438,2021 super output areas - middle layer,152,Arrived before 1951,6
2,2021,E02002438,2021 super output areas - middle layer,152,Arrived 1951 to 1960,8
3,2021,E02002438,2021 super output areas - middle layer,152,Arrived 1961 to 1970,12
4,2021,E02002438,2021 super output areas - middle layer,152,Arrived 1971 to 1980,12
5,2021,E02002438,2021 super output areas - middle layer,152,Arrived 1981 to 1990,16
6,2021,E02002438,2021 super output areas - middle layer,152,Arrived 1991 to 2000,24
7,2021,E02002438,2021 super output areas - middle layer,152,Arrived 2001 to 2010,249
8,2021,E02002438,2021 super output areas - middle layer,152,Arrived 2011 to 2013,92
9,2021,E02002438,2021 super output areas - middle layer,152,Arrived 2014 to 2016,116
10,2021,E02002438,2021 super output areas - middle layer,152,Arrived 2017 to 2019,58
11,2021,E02002438,2021 super output areas - middle layer,152,Arrived 2020 to 2021,12
12,2021,E02002439,2021 super output areas - middle layer,152,Total: All usual residents,8667
13,2021,E02002439,2021 super output areas - middle layer,152,Born in the UK,7997
14,2021,E02002439,2021 super output areas - middle layer,152,Arrived before 1951,3
15,2021,E02002439,2021 super output areas - middle layer,152,Arrived 1951 to 1960,7
16,2021,E02002439,2021 super output areas - middle layer,152,Arrived 1961 to 1970,21
17,2021,E02002439,2021 super output areas - middle layer,152,Arrived 1971 to 1980,20
18,2021,E02002439,2021 super output areas - middle layer,152,Arrived 1981 to 1990,23
19,2021,E02002439,2021 super output areas - middle layer,152,Arrived 1991 to 2000,35
20,2021,E02002439,2021 super output areas - middle layer,152,Arrived 2001 to 2010,200
21,2021,E02002439,2021 super output areas - middle layer,152,Arrived 2011 to 2013,77
22,2021,E02002439,2021 super output areas - middle layer,152,Arrived 2014 to 2016,121
23,2021,E02002439,2021 super output areas - middle layer,152,Arrived 2017 to 2019,127
24,2021,E02002439,2021 super output areas - middle layer,152,Arrived 2020 to 2021,36
25,2021,E02002440,2021 super output areas - middle layer,152,Total: All usual residents,7900
26,2021,E02002440,2021 super output areas - middle layer,152,Born in the UK,7449
27,2021,E02002440,2021 super output areas - middle layer,152,Arrived before 1951,4
28,2021,E02002440,2021 super output areas - middle layer,152,Arrived 1951 to 1960,7
29,2021,E02002440,2021 super output areas - middle layer,152,Arrived 1961 to 1970,14
30,2021,E02002440,2021 super output areas - middle layer,152,Arrived 1971 to 1980,13
31,2021,E02002440,2021 super output areas - middle layer,152,Arrived 1981 to 1990,19
32,2021,E02002440,2021 super output areas - middle layer,152,Arrived 1991 to 2000,24
33,2021,E02002440,2021 super output areas - middle layer,152,Arrived 2001 to 2010,156
34,2021,E02002440,2021 super output areas - middle layer,152,Arrived 2011 to 2013,73
35,2021,E02002440,2021 super output areas - middle layer,152,Arrived 2014 to 2016,78
36,2021,E02002440,2021 super output areas - middle layer,152,Arrived 2017 to 2019,47
37,2021,E02002440,2021 super output areas - middle layer,152,Arrived 2020 to 2021,16
38,2021,E02002441,2021 super output areas - middle layer,152,Total: All usual residents,9753
39,2021,E02002441,2021 super output areas - middle layer,152,Born in the UK,9185
40,2021,E02002441,2021 super output areas - middle layer,152,Arrived before 1951,2
41,2021,E02002441,2021 super output areas - middle layer,152,Arrived 1951 to 1960,8
42,2021,E02002441,2021 super output areas - middle layer,152,Arrived 1961 to 1970,23
43,2021,E02002441,2021 super output areas - middle layer,152,Arrived 1971 to 1980,20
44,2021,E02002441,2021 super output areas - middle layer,152,Arrived 1981 to 1990,24
45,2021,E02002441,2021 super output areas - middle layer,152,Arrived 1991 to 2000,27
46,2021,E02002441,2021 super output areas - middle layer,152,Arrived 2001 to 2010,200
47,2021,E02002441,2021 super output areas - middle layer,152,Arrived 2011 to 2013,83
48,2021,E02002441,2021 super output areas - middle layer,152,Arrived 2014 to 2016,94
49,2021,E02002441,2021 super output areas - middle layer,152,Arrived 2017 to 2019,68
50,2021,E02002441,2021 super output areas - middle layer,152,Arrived 2020 to 2021,19
51,2021,E02002442,2021 super output areas - middle layer,152,Total: All usual residents,7269
52,2021,E02002442,2021 super output areas - middle layer,152,Born in the UK,6837
53,2021,E02002442,2021 super output areas - middle layer,152,Arrived before 1951,4
54,2021,E02002442,2021 super output areas - middle layer,152,Arrived 1951 to 1960,4
55,2021,E02002442,2021 super output areas - middle layer,152,Arrived 1961 to 1970,13
56,2021,E02002442,2021 super output areas - middle layer,152,Arrived 1971 to 1980,16
57,2021,E02002442,2021 super output areas - middle layer,152,Arrived 1981 to 1990,21
58,2021,E02002442,2021 super output areas - middle layer,152,Arrived 1991 to 2000,22
59,2021,E02002442,2021 super output areas - middle layer,152,Arrived 2001 to 2010,163
60,2021,E02002442,2021 super output areas - middle layer,152,Arrived 2011 to 2013,58
61,2021,E02002442,2021 super output areas - middle layer,152,Arrived 2014 to 2016,53
62,2021,E02002442,2021 super output areas - middle layer,152,Arrived 2017 to 2019,56
63,2021,E02002442,2021 super output areas - middle layer,152,Arrived 2020 to 2021,22
64,2021,E02002443,2021 super output areas - middle layer,152,Total: All usual residents,6146
65,2021,E02002443,2021 super output areas - middle layer,152,Born in the UK,5807
66,2021,E02002443,2021 super output areas - middle layer,152,Arrived before 1951,4
67,2021,E02002443,2021 super output areas - middle layer,152,Arrived 1951 to 1960,9
68,2021,E02002443,2021 super output areas - middle layer,152,Arrived 1961 to 1970,17
69,2021,E02002443,2021 super output areas - middle layer,152,Arrived 1971 to 1980,28
70,2021,E02002443,2021 super output areas - middle layer,152,Arrived 1981 to 1990,12
71,2021,E02002443,2021 super output areas - middle layer,152,Arrived 1991 to 2000,39
72,2021,E02002443,2021 super output areas - middle layer,152,Arrived 2001 to 2010,134
73,2021,E02002443,2021 super output areas - middle layer,152,Arrived 2011 to 2013,35
