,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_NSSEC_10_NAME,OBS_VALUE
0,2021,E02002483,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,8176
1,2021,E02002483,2021 super output areas - middle layer,152,"L1, L2 and L3 Higher managerial, administrative and professional occupations",729
2,2021,E02002483,2021 super output areas - middle layer,152,"L4, L5 and L6 Lower managerial, administrative and professional occupations",1742
3,2021,E02002483,2021 super output areas - middle layer,152,L7 Intermediate occupations,1057
4,2021,E02002483,2021 super output areas - middle layer,152,L8 and L9 Small employers and own account workers,570
5,2021,E02002483,2021 super output areas - middle layer,152,L10 and L11 Lower supervisory and technical occupations,588
6,2021,E02002483,2021 super output areas - middle layer,152,L12 Semi-routine occupations,1149
7,2021,E02002483,2021 super output areas - middle layer,152,L13 Routine occupations,1127
8,2021,E02002483,2021 super output areas - middle layer,152,L14.1 and L14.2 Never worked and long-term unemployed,722
9,2021,E02002483,2021 super output areas - middle layer,152,L15 Full-time students,492
10,2021,E02002484,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,8119
11,2021,E02002484,2021 super output areas - middle layer,152,"L1, L2 and L3 Higher managerial, administrative and professional occupations",355
12,2021,E02002484,2021 super output areas - middle layer,152,"L4, L5 and L6 Lower managerial, administrative and professional occupations",975
13,2021,E02002484,2021 super output areas - middle layer,152,L7 Intermediate occupations,707
14,2021,E02002484,2021 super output areas - middle layer,152,L8 and L9 Small employers and own account workers,534
15,2021,E02002484,2021 super output areas - middle layer,152,L10 and L11 Lower supervisory and technical occupations,534
16,2021,E02002484,2021 super output areas - middle layer,152,L12 Semi-routine occupations,1361
17,2021,E02002484,2021 super output areas - middle layer,152,L13 Routine occupations,1609
18,2021,E02002484,2021 super output areas - middle layer,152,L14.1 and L14.2 Never worked and long-term unemployed,1572
19,2021,E02002484,2021 super output areas - middle layer,152,L15 Full-time students,472
20,2021,E02002485,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,6230
21,2021,E02002485,2021 super output areas - middle layer,152,"L1, L2 and L3 Higher managerial, administrative and professional occupations",256
22,2021,E02002485,2021 super output areas - middle layer,152,"L4, L5 and L6 Lower managerial, administrative and professional occupations",779
23,2021,E02002485,2021 super output areas - middle layer,152,L7 Intermediate occupations,636
24,2021,E02002485,2021 super output areas - middle layer,152,L8 and L9 Small employers and own account workers,399
25,2021,E02002485,2021 super output areas - middle layer,152,L10 and L11 Lower supervisory and technical occupations,425
26,2021,E02002485,2021 super output areas - middle layer,152,L12 Semi-routine occupations,1096
27,2021,E02002485,2021 super output areas - middle layer,152,L13 Routine occupations,1141
28,2021,E02002485,2021 super output areas - middle layer,152,L14.1 and L14.2 Never worked and long-term unemployed,1103
29,2021,E02002485,2021 super output areas - middle layer,152,L15 Full-time students,395
30,2021,E02002489,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,5760
31,2021,E02002489,2021 super output areas - middle layer,152,"L1, L2 and L3 Higher managerial, administrative and professional occupations",244
32,2021,E02002489,2021 super output areas - middle layer,152,"L4, L5 and L6 Lower managerial, administrative and professional occupations",761
