,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_RELMULT_7_NAME,OBS_VALUE
0,2021,E02003086,2021 super output areas - middle layer,152,Total: All households,2791
1,2021,E02003086,2021 super output areas - middle layer,152,One-person household,1096
2,2021,E02003086,2021 super output areas - middle layer,152,Multi-person household,1695
3,2021,E02003086,2021 super output areas - middle layer,152,Multi-person household: No people stated their religion,45
4,2021,E02003086,2021 super output areas - middle layer,152,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),721
5,2021,E02003086,2021 super output areas - middle layer,152,Multi-person household: No religion (household may include people who did not state their religion),543
6,2021,E02003086,2021 super output areas - middle layer,152,Multi-person household: Same religion and no religion (household may include people who did not state their religion),376
7,2021,E02003086,2021 super output areas - middle layer,152,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),10
8,2021,E02003087,2021 super output areas - middle layer,152,Total: All households,4716
9,2021,E02003087,2021 super output areas - middle layer,152,One-person household,1235
10,2021,E02003087,2021 super output areas - middle layer,152,Multi-person household,3481
11,2021,E02003087,2021 super output areas - middle layer,152,Multi-person household: No people stated their religion,87
12,2021,E02003087,2021 super output areas - middle layer,152,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),1450
13,2021,E02003087,2021 super output areas - middle layer,152,Multi-person household: No religion (household may include people who did not state their religion),1164
14,2021,E02003087,2021 super output areas - middle layer,152,Multi-person household: Same religion and no religion (household may include people who did not state their religion),751
15,2021,E02003087,2021 super output areas - middle layer,152,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),29
16,2021,E02003088,2021 super output areas - middle layer,152,Total: All households,3761
17,2021,E02003088,2021 super output areas - middle layer,152,One-person household,1005
18,2021,E02003088,2021 super output areas - middle layer,152,Multi-person household,2756
19,2021,E02003088,2021 super output areas - middle layer,152,Multi-person household: No people stated their religion,71
20,2021,E02003088,2021 super output areas - middle layer,152,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),1158
21,2021,E02003088,2021 super output areas - middle layer,152,Multi-person household: No religion (household may include people who did not state their religion),817
22,2021,E02003088,2021 super output areas - middle layer,152,Multi-person household: Same religion and no religion (household may include people who did not state their religion),687
23,2021,E02003088,2021 super output areas - middle layer,152,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),23
24,2021,E02003089,2021 super output areas - middle layer,152,Total: All households,2596
25,2021,E02003089,2021 super output areas - middle layer,152,One-person household,753
26,2021,E02003089,2021 super output areas - middle layer,152,Multi-person household,1843
27,2021,E02003089,2021 super output areas - middle layer,152,Multi-person household: No people stated their religion,47
28,2021,E02003089,2021 super output areas - middle layer,152,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),775
29,2021,E02003089,2021 super output areas - middle layer,152,Multi-person household: No religion (household may include people who did not state their religion),640
30,2021,E02003089,2021 super output areas - middle layer,152,Multi-person household: Same religion and no religion (household may include people who did not state their religion),364
31,2021,E02003089,2021 super output areas - middle layer,152,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),17
32,2021,E02006845,2021 super output areas - middle layer,152,Total: All households,3938
33,2021,E02006845,2021 super output areas - middle layer,152,One-person household,1064
34,2021,E02006845,2021 super output areas - middle layer,152,Multi-person household,2874
35,2021,E02006845,2021 super output areas - middle layer,152,Multi-person household: No people stated their religion,96
36,2021,E02006845,2021 super output areas - middle layer,152,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),989
