,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_WORKED_4_NAME,OBS_VALUE
0,2021,E02002483,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over not in employment the week before the census,3249
1,2021,E02002483,2021 super output areas - middle layer,152,Not in employment: Worked in the last 12 months,367
2,2021,E02002483,2021 super output areas - middle layer,152,Not in employment: Not worked in the last 12 months,1972
3,2021,E02002483,2021 super output areas - middle layer,152,Not in employment: Never worked,910
4,2021,E02002484,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over not in employment the week before the census,4486
5,2021,E02002484,2021 super output areas - middle layer,152,Not in employment: Worked in the last 12 months,423
6,2021,E02002484,2021 super output areas - middle layer,152,Not in employment: Not worked in the last 12 months,2372
7,2021,E02002484,2021 super output areas - middle layer,152,Not in employment: Never worked,1691
8,2021,E02002485,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over not in employment the week before the census,3287
9,2021,E02002485,2021 super output areas - middle layer,152,Not in employment: Worked in the last 12 months,302
10,2021,E02002485,2021 super output areas - middle layer,152,Not in employment: Not worked in the last 12 months,1743
11,2021,E02002485,2021 super output areas - middle layer,152,Not in employment: Never worked,1242
12,2021,E02002489,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over not in employment the week before the census,3256
13,2021,E02002489,2021 super output areas - middle layer,152,Not in employment: Worked in the last 12 months,327
14,2021,E02002489,2021 super output areas - middle layer,152,Not in employment: Not worked in the last 12 months,1630
15,2021,E02002489,2021 super output areas - middle layer,152,Not in employment: Never worked,1299
16,2021,E02002490,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over not in employment the week before the census,2454
17,2021,E02002490,2021 super output areas - middle layer,152,Not in employment: Worked in the last 12 months,248
18,2021,E02002490,2021 super output areas - middle layer,152,Not in employment: Not worked in the last 12 months,1283
19,2021,E02002490,2021 super output areas - middle layer,152,Not in employment: Never worked,923
20,2021,E02002491,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over not in employment the week before the census,2731
21,2021,E02002491,2021 super output areas - middle layer,152,Not in employment: Worked in the last 12 months,232
22,2021,E02002491,2021 super output areas - middle layer,152,Not in employment: Not worked in the last 12 months,1547
23,2021,E02002491,2021 super output areas - middle layer,152,Not in employment: Never worked,952
24,2021,E02002492,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over not in employment the week before the census,2659
25,2021,E02002492,2021 super output areas - middle layer,152,Not in employment: Worked in the last 12 months,256
26,2021,E02002492,2021 super output areas - middle layer,152,Not in employment: Not worked in the last 12 months,1473
27,2021,E02002492,2021 super output areas - middle layer,152,Not in employment: Never worked,930
28,2021,E02002493,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over not in employment the week before the census,2590
29,2021,E02002493,2021 super output areas - middle layer,152,Not in employment: Worked in the last 12 months,208
30,2021,E02002493,2021 super output areas - middle layer,152,Not in employment: Not worked in the last 12 months,1760
31,2021,E02002493,2021 super output areas - middle layer,152,Not in employment: Never worked,622
32,2021,E02002494,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over not in employment the week before the census,3149
33,2021,E02002494,2021 super output areas - middle layer,152,Not in employment: Worked in the last 12 months,304
34,2021,E02002494,2021 super output areas - middle layer,152,Not in employment: Not worked in the last 12 months,1613
35,2021,E02002494,2021 super output areas - middle layer,152,Not in employment: Never worked,1232
36,2021,E02006909,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over not in employment the week before the census,4823
37,2021,E02006909,2021 super output areas - middle layer,152,Not in employment: Worked in the last 12 months,517
38,2021,E02006909,2021 super output areas - middle layer,152,Not in employment: Not worked in the last 12 months,3323
39,2021,E02006909,2021 super output areas - middle layer,152,Not in employment: Never worked,983
40,2021,E02007059,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over not in employment the week before the census,4253
41,2021,E02007059,2021 super output areas - middle layer,152,Not in employment: Worked in the last 12 months,481
