,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_DISABILITY_5_NAME,OBS_VALUE
0,2021,W02000264,2021 super output areas - middle layer,152,Not disabled under the Equality Act: No long term physical or mental health conditions,3926
1,2021,W02000265,2021 super output areas - middle layer,152,Total: All usual residents,9192
2,2021,W02000265,2021 super output areas - middle layer,152,Disabled under the Equality Act,2397
3,2021,W02000265,2021 super output areas - middle layer,152,Disabled under the Equality Act: Day-to-day activities limited a lot,1269
4,2021,W02000265,2021 super output areas - middle layer,152,Disabled under the Equality Act: Day-to-day activities limited a little,1128
5,2021,W02000265,2021 super output areas - middle layer,152,Not disabled under the Equality Act,6795
6,2021,W02000265,2021 super output areas - middle layer,152,Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,493
7,2021,W02000265,2021 super output areas - middle layer,152,Not disabled under the Equality Act: No long term physical or mental health conditions,6302
8,2021,W02000266,2021 super output areas - middle layer,152,Total: All usual residents,7495
9,2021,W02000266,2021 super output areas - middle layer,152,Disabled under the Equality Act,1874
10,2021,W02000266,2021 super output areas - middle layer,152,Disabled under the Equality Act: Day-to-day activities limited a lot,938
11,2021,W02000266,2021 super output areas - middle layer,152,Disabled under the Equality Act: Day-to-day activities limited a little,936
12,2021,W02000266,2021 super output areas - middle layer,152,Not disabled under the Equality Act,5621
13,2021,W02000266,2021 super output areas - middle layer,152,Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,448
14,2021,W02000266,2021 super output areas - middle layer,152,Not disabled under the Equality Act: No long term physical or mental health conditions,5173
15,2021,W02000267,2021 super output areas - middle layer,152,Total: All usual residents,6338
16,2021,W02000267,2021 super output areas - middle layer,152,Disabled under the Equality Act,1547
17,2021,W02000267,2021 super output areas - middle layer,152,Disabled under the Equality Act: Day-to-day activities limited a lot,779
18,2021,W02000267,2021 super output areas - middle layer,152,Disabled under the Equality Act: Day-to-day activities limited a little,768
19,2021,W02000267,2021 super output areas - middle layer,152,Not disabled under the Equality Act,4791
20,2021,W02000267,2021 super output areas - middle layer,152,Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,325
21,2021,W02000267,2021 super output areas - middle layer,152,Not disabled under the Equality Act: No long term physical or mental health conditions,4466
22,2021,W02000268,2021 super output areas - middle layer,152,Total: All usual residents,8921
23,2021,W02000268,2021 super output areas - middle layer,152,Disabled under the Equality Act,2245
24,2021,W02000268,2021 super output areas - middle layer,152,Disabled under the Equality Act: Day-to-day activities limited a lot,1154
25,2021,W02000268,2021 super output areas - middle layer,152,Disabled under the Equality Act: Day-to-day activities limited a little,1091
26,2021,W02000268,2021 super output areas - middle layer,152,Not disabled under the Equality Act,6676
27,2021,W02000268,2021 super output areas - middle layer,152,Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,542
28,2021,W02000268,2021 super output areas - middle layer,152,Not disabled under the Equality Act: No long term physical or mental health conditions,6134
29,2021,W02000269,2021 super output areas - middle layer,152,Total: All usual residents,8196
30,2021,W02000269,2021 super output areas - middle layer,152,Disabled under the Equality Act,2118
31,2021,W02000269,2021 super output areas - middle layer,152,Disabled under the Equality Act: Day-to-day activities limited a lot,1144
32,2021,W02000269,2021 super output areas - middle layer,152,Disabled under the Equality Act: Day-to-day activities limited a little,974
33,2021,W02000269,2021 super output areas - middle layer,152,Not disabled under the Equality Act,6078
34,2021,W02000269,2021 super output areas - middle layer,152,Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,456
35,2021,W02000269,2021 super output areas - middle layer,152,Not disabled under the Equality Act: No long term physical or mental health conditions,5622
36,2021,W02000270,2021 super output areas - middle layer,152,Total: All usual residents,6592
37,2021,W02000270,2021 super output areas - middle layer,152,Disabled under the Equality Act,1436
38,2021,W02000270,2021 super output areas - middle layer,152,Disabled under the Equality Act: Day-to-day activities limited a lot,660
39,2021,W02000270,2021 super output areas - middle layer,152,Disabled under the Equality Act: Day-to-day activities limited a little,776
40,2021,W02000270,2021 super output areas - middle layer,152,Not disabled under the Equality Act,5156
41,2021,W02000270,2021 super output areas - middle layer,152,Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,467
42,2021,W02000270,2021 super output areas - middle layer,152,Not disabled under the Equality Act: No long term physical or mental health conditions,4689
43,2021,W02000271,2021 super output areas - middle layer,152,Total: All usual residents,5450
44,2021,W02000271,2021 super output areas - middle layer,152,Disabled under the Equality Act,1448
45,2021,W02000271,2021 super output areas - middle layer,152,Disabled under the Equality Act: Day-to-day activities limited a lot,778
46,2021,W02000271,2021 super output areas - middle layer,152,Disabled under the Equality Act: Day-to-day activities limited a little,670
47,2021,W02000271,2021 super output areas - middle layer,152,Not disabled under the Equality Act,4002
48,2021,W02000271,2021 super output areas - middle layer,152,Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,300
49,2021,W02000271,2021 super output areas - middle layer,152,Not disabled under the Equality Act: No long term physical or mental health conditions,3702
50,2021,W02000272,2021 super output areas - middle layer,152,Total: All usual residents,9919
51,2021,W02000272,2021 super output areas - middle layer,152,Disabled under the Equality Act,2283
52,2021,W02000272,2021 super output areas - middle layer,152,Disabled under the Equality Act: Day-to-day activities limited a lot,1077
53,2021,W02000272,2021 super output areas - middle layer,152,Disabled under the Equality Act: Day-to-day activities limited a little,1206
54,2021,W02000272,2021 super output areas - middle layer,152,Not disabled under the Equality Act,7636
55,2021,W02000272,2021 super output areas - middle layer,152,Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,724
56,2021,W02000272,2021 super output areas - middle layer,152,Not disabled under the Equality Act: No long term physical or mental health conditions,6912
57,2021,W02000273,2021 super output areas - middle layer,152,Total: All usual residents,10428
58,2021,W02000273,2021 super output areas - middle layer,152,Disabled under the Equality Act,2366
59,2021,W02000273,2021 super output areas - middle layer,152,Disabled under the Equality Act: Day-to-day activities limited a lot,1069
60,2021,W02000273,2021 super output areas - middle layer,152,Disabled under the Equality Act: Day-to-day activities limited a little,1297
61,2021,W02000273,2021 super output areas - middle layer,152,Not disabled under the Equality Act,8062
62,2021,W02000273,2021 super output areas - middle layer,152,Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,716
63,2021,W02000273,2021 super output areas - middle layer,152,Not disabled under the Equality Act: No long term physical or mental health conditions,7346
64,2021,W02000274,2021 super output areas - middle layer,152,Total: All usual residents,10173
65,2021,W02000274,2021 super output areas - middle layer,152,Disabled under the Equality Act,2406
66,2021,W02000274,2021 super output areas - middle layer,152,Disabled under the Equality Act: Day-to-day activities limited a lot,1302
67,2021,W02000274,2021 super output areas - middle layer,152,Disabled under the Equality Act: Day-to-day activities limited a little,1104
68,2021,W02000274,2021 super output areas - middle layer,152,Not disabled under the Equality Act,7767
69,2021,W02000274,2021 super output areas - middle layer,152,Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,551
70,2021,W02000274,2021 super output areas - middle layer,152,Not disabled under the Equality Act: No long term physical or mental health conditions,7216
71,2021,W02000275,2021 super output areas - middle layer,152,Total: All usual residents,6053
72,2021,W02000275,2021 super output areas - middle layer,152,Disabled under the Equality Act,1476
73,2021,W02000275,2021 super output areas - middle layer,152,Disabled under the Equality Act: Day-to-day activities limited a lot,763
74,2021,W02000275,2021 super output areas - middle layer,152,Disabled under the Equality Act: Day-to-day activities limited a little,713
75,2021,W02000275,2021 super output areas - middle layer,152,Not disabled under the Equality Act,4577
76,2021,W02000275,2021 super output areas - middle layer,152,Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,323
77,2021,W02000275,2021 super output areas - middle layer,152,Not disabled under the Equality Act: No long term physical or mental health conditions,4254
78,2021,W02000276,2021 super output areas - middle layer,152,Total: All usual residents,6506
79,2021,W02000276,2021 super output areas - middle layer,152,Disabled under the Equality Act,1381
80,2021,W02000276,2021 super output areas - middle layer,152,Disabled under the Equality Act: Day-to-day activities limited a lot,648
