,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_EASTAT_20_NAME,OBS_VALUE
0,2021,E02001055,2021 super output areas - middle layer,152,Economically active and a full-time student:In employment,142
1,2021,E02001055,2021 super output areas - middle layer,152,Economically active and a full-time student:In employment:Employee,136
2,2021,E02001055,2021 super output areas - middle layer,152,Economically active and a full-time student: In employment: Employee: Part-time,99
3,2021,E02001055,2021 super output areas - middle layer,152,Economically active and a full-time student: In employment: Employee: Full-time,37
4,2021,E02001055,2021 super output areas - middle layer,152,Economically active and a full-time student:In employment:Self-employed with employees,2
5,2021,E02001055,2021 super output areas - middle layer,152,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
6,2021,E02001055,2021 super output areas - middle layer,152,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,2
7,2021,E02001055,2021 super output areas - middle layer,152,Economically active and a full-time student:In employment:Self-employed without employees,4
8,2021,E02001055,2021 super output areas - middle layer,152,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
9,2021,E02001055,2021 super output areas - middle layer,152,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,4
10,2021,E02001055,2021 super output areas - middle layer,152,Economically active and a full-time student: Unemployed,34
11,2021,E02001055,2021 super output areas - middle layer,152,Economically inactive,3214
12,2021,E02001055,2021 super output areas - middle layer,152,Economically inactive: Retired,1119
13,2021,E02001055,2021 super output areas - middle layer,152,Economically inactive: Student,449
14,2021,E02001055,2021 super output areas - middle layer,152,Economically inactive: Looking after home or family,527
15,2021,E02001055,2021 super output areas - middle layer,152,Economically inactive: Long-term sick or disabled,762
16,2021,E02001055,2021 super output areas - middle layer,152,Economically inactive: Other,357
17,2021,E02001056,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,6474
18,2021,E02001056,2021 super output areas - middle layer,152,Economically active (excluding full-time students),3268
19,2021,E02001056,2021 super output areas - middle layer,152,Economically active (excluding full-time students):In employment,2931
20,2021,E02001056,2021 super output areas - middle layer,152,Economically active (excluding full-time students):In employment:Employee,2544
