,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_AGEARRUK_18_NAME,OBS_VALUE
0,2021,E02002483,2021 super output areas - middle layer,152,Total: All usual residents,10235
1,2021,E02002483,2021 super output areas - middle layer,152,Born in the UK,10023
2,2021,E02002483,2021 super output areas - middle layer,152,Arrived in the UK,212
3,2021,E02002483,2021 super output areas - middle layer,152,Arrived in the UK: Aged 0 to 4 years,59
4,2021,E02002483,2021 super output areas - middle layer,152,Arrived in the UK: Aged 5 to 7 years,17
5,2021,E02002483,2021 super output areas - middle layer,152,Arrived in the UK: Aged 8 to 9 years,6
6,2021,E02002483,2021 super output areas - middle layer,152,Arrived in the UK: Aged 10 to 14 years,11
7,2021,E02002483,2021 super output areas - middle layer,152,Arrived in the UK: Aged 15 years,7
8,2021,E02002483,2021 super output areas - middle layer,152,Arrived in the UK: Aged 16 to 17 years,5
9,2021,E02002483,2021 super output areas - middle layer,152,Arrived in the UK: Aged 18 to 19 years,5
10,2021,E02002483,2021 super output areas - middle layer,152,Arrived in the UK: Aged 20 to 24 years,26
11,2021,E02002483,2021 super output areas - middle layer,152,Arrived in the UK: Aged 25 to 29 years,32
12,2021,E02002483,2021 super output areas - middle layer,152,Arrived in the UK: Aged 30 to 44 years,32
13,2021,E02002483,2021 super output areas - middle layer,152,Arrived in the UK: Aged 45 to 59 years,9
14,2021,E02002483,2021 super output areas - middle layer,152,Arrived in the UK: Aged 60 to 64 years,2
15,2021,E02002483,2021 super output areas - middle layer,152,Arrived in the UK: Aged 65 to 74 years,1
16,2021,E02002483,2021 super output areas - middle layer,152,Arrived in the UK: Aged 75 to 84 years,0
17,2021,E02002483,2021 super output areas - middle layer,152,Arrived in the UK: Aged 85 to 89 years,0
18,2021,E02002483,2021 super output areas - middle layer,152,Arrived in the UK: Aged 90 years and over,0
19,2021,E02002484,2021 super output areas - middle layer,152,Total: All usual residents,10279
20,2021,E02002484,2021 super output areas - middle layer,152,Born in the UK,9895
21,2021,E02002484,2021 super output areas - middle layer,152,Arrived in the UK,384
22,2021,E02002484,2021 super output areas - middle layer,152,Arrived in the UK: Aged 0 to 4 years,93
23,2021,E02002484,2021 super output areas - middle layer,152,Arrived in the UK: Aged 5 to 7 years,16
24,2021,E02002484,2021 super output areas - middle layer,152,Arrived in the UK: Aged 8 to 9 years,14
25,2021,E02002484,2021 super output areas - middle layer,152,Arrived in the UK: Aged 10 to 14 years,15
26,2021,E02002484,2021 super output areas - middle layer,152,Arrived in the UK: Aged 15 years,3
27,2021,E02002484,2021 super output areas - middle layer,152,Arrived in the UK: Aged 16 to 17 years,8
28,2021,E02002484,2021 super output areas - middle layer,152,Arrived in the UK: Aged 18 to 19 years,14
29,2021,E02002484,2021 super output areas - middle layer,152,Arrived in the UK: Aged 20 to 24 years,53
30,2021,E02002484,2021 super output areas - middle layer,152,Arrived in the UK: Aged 25 to 29 years,50
31,2021,E02002484,2021 super output areas - middle layer,152,Arrived in the UK: Aged 30 to 44 years,93
32,2021,E02002484,2021 super output areas - middle layer,152,Arrived in the UK: Aged 45 to 59 years,21
33,2021,E02002484,2021 super output areas - middle layer,152,Arrived in the UK: Aged 60 to 64 years,3
34,2021,E02002484,2021 super output areas - middle layer,152,Arrived in the UK: Aged 65 to 74 years,1
35,2021,E02002484,2021 super output areas - middle layer,152,Arrived in the UK: Aged 75 to 84 years,0
36,2021,E02002484,2021 super output areas - middle layer,152,Arrived in the UK: Aged 85 to 89 years,0
37,2021,E02002484,2021 super output areas - middle layer,152,Arrived in the UK: Aged 90 years and over,0
38,2021,E02002485,2021 super output areas - middle layer,152,Total: All usual residents,7995
39,2021,E02002485,2021 super output areas - middle layer,152,Born in the UK,7654
40,2021,E02002485,2021 super output areas - middle layer,152,Arrived in the UK,341
41,2021,E02002485,2021 super output areas - middle layer,152,Arrived in the UK: Aged 0 to 4 years,57
42,2021,E02002485,2021 super output areas - middle layer,152,Arrived in the UK: Aged 5 to 7 years,17
43,2021,E02002485,2021 super output areas - middle layer,152,Arrived in the UK: Aged 8 to 9 years,11
44,2021,E02002485,2021 super output areas - middle layer,152,Arrived in the UK: Aged 10 to 14 years,27
45,2021,E02002485,2021 super output areas - middle layer,152,Arrived in the UK: Aged 15 years,3
