,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_GENDERID_7_NAME,OBS_VALUE
0,2021,W02000264,2021 super output areas - middle layer,152,Not answered,347
1,2021,W02000265,2021 super output areas - middle layer,152,Total,7498
2,2021,W02000265,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,6993
3,2021,W02000265,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,11
4,2021,W02000265,2021 super output areas - middle layer,152,Trans woman,2
5,2021,W02000265,2021 super output areas - middle layer,152,Trans man,3
6,2021,W02000265,2021 super output areas - middle layer,152,All other gender identities,3
7,2021,W02000265,2021 super output areas - middle layer,152,Not answered,486
8,2021,W02000266,2021 super output areas - middle layer,152,Total,6010
9,2021,W02000266,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,5604
10,2021,W02000266,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,17
11,2021,W02000266,2021 super output areas - middle layer,152,Trans woman,3
12,2021,W02000266,2021 super output areas - middle layer,152,Trans man,6
13,2021,W02000266,2021 super output areas - middle layer,152,All other gender identities,2
14,2021,W02000266,2021 super output areas - middle layer,152,Not answered,378
15,2021,W02000267,2021 super output areas - middle layer,152,Total,5143
16,2021,W02000267,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,4780
17,2021,W02000267,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,12
18,2021,W02000267,2021 super output areas - middle layer,152,Trans woman,2
19,2021,W02000267,2021 super output areas - middle layer,152,Trans man,2
20,2021,W02000267,2021 super output areas - middle layer,152,All other gender identities,5
21,2021,W02000267,2021 super output areas - middle layer,152,Not answered,342
22,2021,W02000268,2021 super output areas - middle layer,152,Total,7442
23,2021,W02000268,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,6985
24,2021,W02000268,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,10
25,2021,W02000268,2021 super output areas - middle layer,152,Trans woman,3
26,2021,W02000268,2021 super output areas - middle layer,152,Trans man,7
27,2021,W02000268,2021 super output areas - middle layer,152,All other gender identities,5
28,2021,W02000268,2021 super output areas - middle layer,152,Not answered,432
29,2021,W02000269,2021 super output areas - middle layer,152,Total,6694
30,2021,W02000269,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,6185
31,2021,W02000269,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,7
32,2021,W02000269,2021 super output areas - middle layer,152,Trans woman,4
33,2021,W02000269,2021 super output areas - middle layer,152,Trans man,5
34,2021,W02000269,2021 super output areas - middle layer,152,All other gender identities,3
35,2021,W02000269,2021 super output areas - middle layer,152,Not answered,490
