,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HOURS_5_NAME,OBS_VALUE
0,2021,E02006978,2021 super output areas - middle layer,152,Part-time: 16 to 30 hours worked,512
1,2021,E02006978,2021 super output areas - middle layer,152,Full-time,3108
2,2021,E02006978,2021 super output areas - middle layer,152,Full-time: 31 to 48 hours worked,2601
3,2021,E02006978,2021 super output areas - middle layer,152,Full-time: 49 or more hours worked,507
4,2021,E02006979,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,3970
5,2021,E02006979,2021 super output areas - middle layer,152,Part-time,778
6,2021,E02006979,2021 super output areas - middle layer,152,Part-time: 15 hours or less worked,272
7,2021,E02006979,2021 super output areas - middle layer,152,Part-time: 16 to 30 hours worked,506
8,2021,E02006979,2021 super output areas - middle layer,152,Full-time,3192
9,2021,E02006979,2021 super output areas - middle layer,152,Full-time: 31 to 48 hours worked,2738
10,2021,E02006979,2021 super output areas - middle layer,152,Full-time: 49 or more hours worked,454
11,2021,E02004506,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,3410
12,2021,E02004506,2021 super output areas - middle layer,152,Part-time,1081
13,2021,E02004506,2021 super output areas - middle layer,152,Part-time: 15 hours or less worked,457
14,2021,E02004506,2021 super output areas - middle layer,152,Part-time: 16 to 30 hours worked,624
15,2021,E02004506,2021 super output areas - middle layer,152,Full-time,2329
16,2021,E02004506,2021 super output areas - middle layer,152,Full-time: 31 to 48 hours worked,1773
17,2021,E02004506,2021 super output areas - middle layer,152,Full-time: 49 or more hours worked,556
18,2021,E02004507,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,4965
19,2021,E02004507,2021 super output areas - middle layer,152,Part-time,1435
20,2021,E02004507,2021 super output areas - middle layer,152,Part-time: 15 hours or less worked,497
21,2021,E02004507,2021 super output areas - middle layer,152,Part-time: 16 to 30 hours worked,938
22,2021,E02004507,2021 super output areas - middle layer,152,Full-time,3530
23,2021,E02004507,2021 super output areas - middle layer,152,Full-time: 31 to 48 hours worked,2955
24,2021,E02004507,2021 super output areas - middle layer,152,Full-time: 49 or more hours worked,575
25,2021,E02004508,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,3087
26,2021,E02004508,2021 super output areas - middle layer,152,Part-time,1022
27,2021,E02004508,2021 super output areas - middle layer,152,Part-time: 15 hours or less worked,353
28,2021,E02004508,2021 super output areas - middle layer,152,Part-time: 16 to 30 hours worked,669
29,2021,E02004508,2021 super output areas - middle layer,152,Full-time,2065
30,2021,E02004508,2021 super output areas - middle layer,152,Full-time: 31 to 48 hours worked,1620
31,2021,E02004508,2021 super output areas - middle layer,152,Full-time: 49 or more hours worked,445
32,2021,E02004512,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,5941
33,2021,E02004512,2021 super output areas - middle layer,152,Part-time,1643
34,2021,E02004512,2021 super output areas - middle layer,152,Part-time: 15 hours or less worked,592
35,2021,E02004512,2021 super output areas - middle layer,152,Part-time: 16 to 30 hours worked,1051
36,2021,E02004512,2021 super output areas - middle layer,152,Full-time,4298
37,2021,E02004512,2021 super output areas - middle layer,152,Full-time: 31 to 48 hours worked,3637
38,2021,E02004512,2021 super output areas - middle layer,152,Full-time: 49 or more hours worked,661
39,2021,E02004513,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,4073
40,2021,E02004513,2021 super output areas - middle layer,152,Part-time,1705
41,2021,E02004513,2021 super output areas - middle layer,152,Part-time: 15 hours or less worked,696
42,2021,E02004513,2021 super output areas - middle layer,152,Part-time: 16 to 30 hours worked,1009
43,2021,E02004513,2021 super output areas - middle layer,152,Full-time,2368
44,2021,E02004513,2021 super output areas - middle layer,152,Full-time: 31 to 48 hours worked,2064
45,2021,E02004513,2021 super output areas - middle layer,152,Full-time: 49 or more hours worked,304
46,2021,E02004514,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,2694
47,2021,E02004514,2021 super output areas - middle layer,152,Part-time,882
48,2021,E02004514,2021 super output areas - middle layer,152,Part-time: 15 hours or less worked,349
49,2021,E02004514,2021 super output areas - middle layer,152,Part-time: 16 to 30 hours worked,533
50,2021,E02004514,2021 super output areas - middle layer,152,Full-time,1812
51,2021,E02004514,2021 super output areas - middle layer,152,Full-time: 31 to 48 hours worked,1482
52,2021,E02004514,2021 super output areas - middle layer,152,Full-time: 49 or more hours worked,330
53,2021,E02004515,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,4918
54,2021,E02004515,2021 super output areas - middle layer,152,Part-time,1457
55,2021,E02004515,2021 super output areas - middle layer,152,Part-time: 15 hours or less worked,568
56,2021,E02004515,2021 super output areas - middle layer,152,Part-time: 16 to 30 hours worked,889
57,2021,E02004515,2021 super output areas - middle layer,152,Full-time,3461
58,2021,E02004515,2021 super output areas - middle layer,152,Full-time: 31 to 48 hours worked,2751
59,2021,E02004515,2021 super output areas - middle layer,152,Full-time: 49 or more hours worked,710
60,2021,E02004516,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,6538
61,2021,E02004516,2021 super output areas - middle layer,152,Part-time,1980
62,2021,E02004516,2021 super output areas - middle layer,152,Part-time: 15 hours or less worked,685
63,2021,E02004516,2021 super output areas - middle layer,152,Part-time: 16 to 30 hours worked,1295
64,2021,E02004516,2021 super output areas - middle layer,152,Full-time,4558
65,2021,E02004516,2021 super output areas - middle layer,152,Full-time: 31 to 48 hours worked,3902
66,2021,E02004516,2021 super output areas - middle layer,152,Full-time: 49 or more hours worked,656
67,2021,E02004517,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,4725
68,2021,E02004517,2021 super output areas - middle layer,152,Part-time,1496
69,2021,E02004517,2021 super output areas - middle layer,152,Part-time: 15 hours or less worked,541
70,2021,E02004517,2021 super output areas - middle layer,152,Part-time: 16 to 30 hours worked,955
71,2021,E02004517,2021 super output areas - middle layer,152,Full-time,3229
72,2021,E02004517,2021 super output areas - middle layer,152,Full-time: 31 to 48 hours worked,2654
73,2021,E02004517,2021 super output areas - middle layer,152,Full-time: 49 or more hours worked,575
