,GEOGRAPHY_CODE,All household spaces - with no residents - second residence/holiday accommodation,All household spaces - with no residents - vacant,All household spaces - with residents,Caravan or other mobile or temporary structure,"Flat, maisonette or apartment - in a commercial building","Flat, maisonette or apartment - in a purpose built block of flats or tenement","Flat, maisonette or apartment - part of a converted or shared house (includes bed-sit)",Whole house or bungalow - detatched,Whole house or bungalow - semi-detatched,Whole house or bungalow - terraced
0,E02000001,1,0.42028985507246375,8.98136645962733,0.006211180124223602,0.5755693581780539,9.308488612836438,0.30434782608695654,0.031055900621118012,0.026915113871635612,0.15320910973084886
1,E02000002,1,13.0,546.8,0.6,3.4,195.0,6.4,17.8,151.8,186.0
2,E02000003,1,inf,inf,inf,inf,inf,inf,inf,inf,inf
3,E02000004,1,inf,inf,,inf,inf,inf,inf,inf,inf
4,E02000005,1,inf,inf,,inf,inf,inf,inf,inf,inf
5,E02000006,1,23.0,1173.0,0.0,21.333333333333332,104.66666666666667,23.666666666666668,24.333333333333332,277.6666666666667,744.3333333333334
6,E02000007,1,inf,inf,,inf,inf,inf,inf,inf,inf
7,E02000008,1,24.666666666666668,1503.3333333333333,0.0,11.0,193.66666666666666,46.0,33.0,248.0,997.0
8,E02000009,1,12.25,813.75,0.75,21.25,101.5,16.0,21.25,182.75,483.5
9,E02000010,1,inf,inf,,inf,inf,inf,inf,inf,inf
10,E02000011,1,inf,inf,,inf,inf,inf,inf,inf,inf
11,E02000012,1,inf,inf,,inf,inf,inf,inf,inf,inf
12,E02000013,1,inf,inf,,inf,inf,inf,inf,inf,inf
13,E02000014,1,18.666666666666668,1187.0,0.0,9.333333333333334,82.0,31.333333333333332,28.333333333333332,138.33333333333334,917.3333333333334
14,E02000015,1,inf,inf,,inf,inf,inf,inf,inf,inf
15,E02000016,1,5.0,399.8333333333333,1.0,15.5,250.5,13.833333333333334,5.833333333333333,25.5,93.66666666666667
16,E02000017,1,3.6666666666666665,936.6666666666666,0.0,15.333333333333334,145.33333333333334,50.333333333333336,28.0,126.66666666666667,575.3333333333334
17,E02000018,1,8.857142857142858,448.2857142857143,0.42857142857142855,6.285714285714286,70.71428571428571,7.571428571428571,11.285714285714286,57.0,305.14285714285717
18,E02000019,1,inf,inf,,inf,inf,inf,inf,inf,inf
19,E02000020,1,inf,inf,inf,inf,inf,inf,inf,inf,inf
20,E02000021,1,21.0,955.6666666666666,1.0,12.0,99.66666666666667,36.0,18.666666666666668,157.0,653.3333333333334
21,E02000022,1,inf,inf,inf,inf,inf,inf,inf,inf,inf
22,E02000023,1,10.0,842.0,0.0,6.333333333333333,475.6666666666667,21.666666666666668,7.333333333333333,76.33333333333333,265.0
23,E02000024,1,8.181818181818182,345.8181818181818,0.0,7.090909090909091,61.81818181818182,26.818181818181817,59.09090909090909,126.0909090909091,74.0
24,E02000025,1,12.428571428571429,500.42857142857144,0.0,4.714285714285714,205.14285714285714,42.714285714285715,50.142857142857146,158.14285714285714,52.857142857142854
25,E02000026,1,11.5,421.3333333333333,0.0,2.3333333333333335,79.5,23.833333333333332,66.66666666666667,201.33333333333334,60.166666666666664
26,E02000027,1,20.0,1237.6666666666667,0.0,7.333333333333333,389.0,40.666666666666664,79.33333333333333,424.3333333333333,317.0
27,E02000028,1,11.8,470.0,0.6,9.0,155.6,26.8,42.4,202.0,46.8
28,E02000029,1,7.666666666666667,368.3333333333333,0.0,13.555555555555555,109.55555555555556,32.55555555555556,24.77777777777778,107.11111111111111,89.33333333333333
29,E02000030,1,18.0,673.8,16.4,3.2,63.8,10.2,283.2,219.2,96.8
30,E02000031,1,21.8,571.2,0.6,13.2,164.4,23.0,125.8,162.8,104.6
31,E02000032,1,inf,inf,inf,inf,inf,inf,inf,inf,inf
32,E02000033,1,7.571428571428571,432.0,0.0,6.142857142857143,87.85714285714286,21.428571428571427,15.428571428571429,149.71428571428572,159.85714285714286
33,E02000034,1,9.444444444444445,365.77777777777777,0.0,5.555555555555555,127.33333333333333,32.44444444444444,36.77777777777778,126.88888888888889,47.22222222222222
34,E02000035,1,7.733333333333333,220.33333333333334,0.26666666666666666,3.6,99.6,22.6,23.466666666666665,44.666666666666664,34.86666666666667
35,E02000036,1,9.375,464.625,0.0,5.5,115.0,17.5,46.625,236.125,54.125
36,E02000037,1,20.0,806.5,2.25,4.0,232.75,9.5,232.5,320.75,25.75
