,GEOGRAPHY_CODE,Provides 10 to 19 hours unpaid care a week,Provides 19 hours or less unpaid care a week,Provides 20 to 34 hours unpaid care a week,Provides 20 to 49 hours unpaid care a week,Provides 35 to 49 hours unpaid care a week,Provides 50 or more hours unpaid care a week,Provides 9 hours or less unpaid care a week,Provides no unpaid care,Total: All usual residents aged 5 and over
0,E02000001,0.00871954132823698,0.04013377926421405,0.005016722408026756,0.009675107501194458,0.004658385093167702,0.009436215957955088,0.031414237935977064,0.9407548972766364,1
1,E02000002,0.009438909281594127,0.02595700052438385,0.008783429470372313,0.02202412165705296,0.01324069218668065,0.024908232826428945,0.01651809124278972,0.9271106449921342,1
2,E02000003,0.0101057801284473,0.030884019644880998,0.00887797506611258,0.01681148469965999,0.007933509633547412,0.021533811862485833,0.0207782395164337,0.9307706837929732,1
3,E02000004,0.015532425940752602,0.041633306645316254,0.008006405124099279,0.015852682145716574,0.007846277021617293,0.026741393114491592,0.02610088070456365,0.9157726180944756,1
4,E02000005,0.009992085476850019,0.027997625643055007,0.007123070834982192,0.015829046299960427,0.008705975464978234,0.02433715868618916,0.018005540166204988,0.9318361693707954,1
5,E02000007,0.010622477161674103,0.02995538559592097,0.009878903760356916,0.019757807520713832,0.009878903760356916,0.023475674527299765,0.019332908434246867,0.9268111323560654,1
6,E02000008,0.010035610229847848,0.028002589834898024,0.009550016186468113,0.02136613790870832,0.011816121722240207,0.029944966008416965,0.017966979605050178,0.9206863062479766,1
7,E02000009,0.009377376024330489,0.02897693672383205,0.00878600996874208,0.01968404156458562,0.010898031595843542,0.022049505786939257,0.019599560699501563,0.929289515924643,1
8,E02000010,0.01158959209180775,0.028633109873877967,0.009317123054198387,0.024201795250539712,0.014884672196341325,0.028064992614475627,0.01704351778207022,0.9191001022611067,1
9,E02000011,0.009659613615455382,0.029438822447102116,0.009506286415210058,0.02054584483287335,0.011039558417663294,0.02039251763262803,0.019779208831646734,0.9296228150873965,1
10,E02000012,0.010586924219910848,0.031575037147102525,0.00937964338781575,0.017830609212481426,0.008450965824665676,0.019595096582466567,0.020988112927191677,0.9309992570579495,1
11,E02000013,0.009767869455297633,0.029418524477131693,0.009193288899103653,0.020799816134222018,0.011606527235118364,0.026085957251206618,0.019650655021834062,0.9236957021374397,1
12,E02000014,0.010447273914462945,0.02829470018500381,0.009141364675155077,0.02230928283817608,0.013167918163021004,0.027206442485580587,0.017847426270540864,0.9221895744912395,1
13,E02000015,0.01125976950589482,0.029142932838786596,0.013644191283613724,0.025168896542588422,0.011524705258974699,0.02092992449331037,0.017883163332891774,0.9247582461253147,1
14,E02000016,0.006806995496910671,0.017593465284322967,0.0059692114357524344,0.016022620169651274,0.010053408733898837,0.013195098963242224,0.010786469787412295,0.9531888155827836,1
15,E02000017,0.012393767705382436,0.027974504249291786,0.009915014164305949,0.019239848914069876,0.009324834749763929,0.01758734655335222,0.015580736543909348,0.9351983002832861,1
16,E02000018,0.007621431008986463,0.022409282220452735,0.008872710726879764,0.02218177681719941,0.013309066090319645,0.025480605164372654,0.014787851211466273,0.9299283357979752,1
17,E02000019,0.008606046880308006,0.022534254331332805,0.01007813384667648,0.022194541954478543,0.012116408107802061,0.028875552032612387,0.013928207451024799,0.9263956516815762,1
18,E02000020,0.006738227689414715,0.02170336127869623,0.007835148476063621,0.016688866254015514,0.008853717777951893,0.02342709394343023,0.014965133589281516,0.938180678523858,1
19,E02000021,0.00995820014752889,0.02643225965084829,0.009343496434718466,0.01991640029505778,0.010572903860339317,0.0247110892549791,0.0164740595033194,0.9289402507991148,1
20,E02000022,0.008257279443720122,0.02346805736636245,0.007822685788787484,0.018252933507170794,0.010430247718383311,0.016079965232507605,0.015210777922642329,0.9421990438939591,1
21,E02000023,0.010201305767138194,0.023394994559303592,0.008161044613710556,0.01972252448313384,0.011561479869423286,0.023122959738846573,0.013193688792165398,0.933759521218716,1
22,E02000024,0.01284296555750146,0.050301615100214046,0.006518777972368165,0.012161899202179412,0.005643121229811247,0.01926444833625219,0.03745864954271259,0.9182720373613543,1
23,E02000025,0.011751608114794657,0.049233052944087086,0.005566551212271153,0.012617516081147946,0.007050964868876793,0.01991588322612568,0.03748144482929243,0.9182335477486393,1
24,E02000026,0.015043808894032071,0.053066622582244996,0.0076045627376425855,0.01620102496280377,0.008596462225161184,0.026615969581749048,0.03802281368821293,0.9041163828732022,1
25,E02000027,0.014371914426769062,0.0437739989029073,0.008557323093801427,0.02117388919363686,0.012616566099835436,0.027207899067471203,0.029402084476138235,0.9078442128359846,1
26,E02000028,0.012351698358524297,0.0492442710872745,0.006988460913375589,0.014952055907687308,0.007963594994311717,0.01966520396554526,0.036892572728750204,0.9161384690394929,1
27,E02000029,0.012092710782667115,0.04859478221923637,0.007725898555592879,0.015899675288321577,0.008173776732728698,0.022617847945358864,0.03650207143656925,0.9128876945470832,1
28,E02000030,0.01573232882783071,0.05273653888765788,0.008752492798581875,0.016286284068247284,0.007533791269665411,0.023820075337912697,0.03700421005982717,0.9071571017061821,1
29,E02000031,0.011233086545825888,0.041996425836099055,0.007275976512637223,0.014934899157518508,0.007658922644881287,0.018381414347715088,0.030763339290273167,0.9246872606586674,1
30,E02000032,0.018729535036018336,0.05658153241650295,0.007989521938441388,0.020694171578258022,0.012704649639816634,0.0243614931237721,0.03785199738048461,0.898362802881467,1
31,E02000033,0.012332503260998459,0.044823906083244394,0.007826396300249021,0.01873591841574766,0.010909522115498636,0.02454642475987193,0.03249140282224594,0.911893750741136,1
32,E02000034,0.012959719789842382,0.049854057209573845,0.007589025102159953,0.016579100992410976,0.008990075890251022,0.02124927028604787,0.036894337419731464,0.9123175715119674,1
33,E02000035,0.009657050885229664,0.039247245264330814,0.00619041723412158,0.013866534604432339,0.007676117370310759,0.017580784944905288,0.02959019437910115,0.9293054351863316,1
