,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_IND_88_NAME,OBS_VALUE
0,2021,E02005622,2021 super output areas - middle layer,152,"65 Insurance, reinsurance and pension funding, except compulsory social security",48
1,2021,E02005622,2021 super output areas - middle layer,152,66 Activities auxiliary to financial services and insurance activities,55
2,2021,E02005622,2021 super output areas - middle layer,152,L: Real estate activities,89
3,2021,E02005622,2021 super output areas - middle layer,152,68 Real estate activities,89
4,2021,E02005622,2021 super output areas - middle layer,152,"M: Professional, scientific and technical activities",393
5,2021,E02005622,2021 super output areas - middle layer,152,69 Legal and accounting activities,110
6,2021,E02005622,2021 super output areas - middle layer,152,70 Activities of head offices; management consultancy activities,67
7,2021,E02005622,2021 super output areas - middle layer,152,71 Architectural and engineering activities; technical testing and analysis,115
8,2021,E02005622,2021 super output areas - middle layer,152,72 Scientific research and development,15
9,2021,E02005622,2021 super output areas - middle layer,152,73 Advertising and market research,32
10,2021,E02005622,2021 super output areas - middle layer,152,"74 Other professional, scientific and technical activities",42
11,2021,E02005622,2021 super output areas - middle layer,152,75 Veterinary activities,12
12,2021,E02005622,2021 super output areas - middle layer,152,N: Administrative and support service activities,249
13,2021,E02005622,2021 super output areas - middle layer,152,77 Rental and leasing activities,15
14,2021,E02005622,2021 super output areas - middle layer,152,78 Employment activities,30
15,2021,E02005622,2021 super output areas - middle layer,152,"79 Travel agency, tour operator and other reservation service and related activities",11
16,2021,E02005622,2021 super output areas - middle layer,152,80 Security and investigation activities,23
17,2021,E02005622,2021 super output areas - middle layer,152,81 Services to buildings and landscape activities,137
18,2021,E02005622,2021 super output areas - middle layer,152,"82 Office administrative, office support and other business support activities",33
19,2021,E02005622,2021 super output areas - middle layer,152,O: Public administration and defence; compulsory social security,225
20,2021,E02005622,2021 super output areas - middle layer,152,84 Public administration and defence; compulsory social security,225
21,2021,E02005622,2021 super output areas - middle layer,152,P: Education,529
22,2021,E02005622,2021 super output areas - middle layer,152,85 Education,529
23,2021,E02005622,2021 super output areas - middle layer,152,Q: Human health and social work activities,512
24,2021,E02005622,2021 super output areas - middle layer,152,86 Human health activities,335
25,2021,E02005622,2021 super output areas - middle layer,152,87 Residential care activities,31
26,2021,E02005622,2021 super output areas - middle layer,152,88 Social work activities without accommodation,146
27,2021,E02005622,2021 super output areas - middle layer,152,"R, S, T, U Other",285
28,2021,E02005622,2021 super output areas - middle layer,152,"90 Creative, arts and entertainment activities",30
29,2021,E02005622,2021 super output areas - middle layer,152,"91 Libraries, archives, museums and other cultural activities",9
30,2021,E02005622,2021 super output areas - middle layer,152,92 Gambling and betting activities,8
31,2021,E02005622,2021 super output areas - middle layer,152,93 Sports activities and amusement and recreation activities,102
