,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HHVETERAN_5_NAME,OBS_VALUE
0,2021,E02002483,2021 super output areas - middle layer,152,Total: All households,4330
1,2021,E02002483,2021 super output areas - middle layer,152,No people in the household previously served in UK armed forces,3935
2,2021,E02002483,2021 super output areas - middle layer,152,1 person in the household previously served in UK armed forces,373
3,2021,E02002483,2021 super output areas - middle layer,152,2 people in the household previously served in UK armed forces,22
4,2021,E02002483,2021 super output areas - middle layer,152,3 or more people in the household previously served in UK armed forces,0
5,2021,E02002484,2021 super output areas - middle layer,152,Total: All households,4594
6,2021,E02002484,2021 super output areas - middle layer,152,No people in the household previously served in UK armed forces,4218
7,2021,E02002484,2021 super output areas - middle layer,152,1 person in the household previously served in UK armed forces,365
8,2021,E02002484,2021 super output areas - middle layer,152,2 people in the household previously served in UK armed forces,10
9,2021,E02002484,2021 super output areas - middle layer,152,3 or more people in the household previously served in UK armed forces,1
10,2021,E02002485,2021 super output areas - middle layer,152,Total: All households,3538
11,2021,E02002485,2021 super output areas - middle layer,152,No people in the household previously served in UK armed forces,3258
12,2021,E02002485,2021 super output areas - middle layer,152,1 person in the household previously served in UK armed forces,272
13,2021,E02002485,2021 super output areas - middle layer,152,2 people in the household previously served in UK armed forces,7
14,2021,E02002485,2021 super output areas - middle layer,152,3 or more people in the household previously served in UK armed forces,1
15,2021,E02002489,2021 super output areas - middle layer,152,Total: All households,3240
16,2021,E02002489,2021 super output areas - middle layer,152,No people in the household previously served in UK armed forces,2990
17,2021,E02002489,2021 super output areas - middle layer,152,1 person in the household previously served in UK armed forces,241
18,2021,E02002489,2021 super output areas - middle layer,152,2 people in the household previously served in UK armed forces,9
19,2021,E02002489,2021 super output areas - middle layer,152,3 or more people in the household previously served in UK armed forces,0
20,2021,E02002490,2021 super output areas - middle layer,152,Total: All households,2646
21,2021,E02002490,2021 super output areas - middle layer,152,No people in the household previously served in UK armed forces,2426
22,2021,E02002490,2021 super output areas - middle layer,152,1 person in the household previously served in UK armed forces,213
23,2021,E02002490,2021 super output areas - middle layer,152,2 people in the household previously served in UK armed forces,7
24,2021,E02002490,2021 super output areas - middle layer,152,3 or more people in the household previously served in UK armed forces,0
25,2021,E02002491,2021 super output areas - middle layer,152,Total: All households,2811
26,2021,E02002491,2021 super output areas - middle layer,152,No people in the household previously served in UK armed forces,2527
27,2021,E02002491,2021 super output areas - middle layer,152,1 person in the household previously served in UK armed forces,271
28,2021,E02002491,2021 super output areas - middle layer,152,2 people in the household previously served in UK armed forces,13
29,2021,E02002491,2021 super output areas - middle layer,152,3 or more people in the household previously served in UK armed forces,0
30,2021,E02002492,2021 super output areas - middle layer,152,Total: All households,2975
31,2021,E02002492,2021 super output areas - middle layer,152,No people in the household previously served in UK armed forces,2689
32,2021,E02002492,2021 super output areas - middle layer,152,1 person in the household previously served in UK armed forces,282
33,2021,E02002492,2021 super output areas - middle layer,152,2 people in the household previously served in UK armed forces,4
34,2021,E02002492,2021 super output areas - middle layer,152,3 or more people in the household previously served in UK armed forces,0
35,2021,E02002493,2021 super output areas - middle layer,152,Total: All households,2955
36,2021,E02002493,2021 super output areas - middle layer,152,No people in the household previously served in UK armed forces,2648
37,2021,E02002493,2021 super output areas - middle layer,152,1 person in the household previously served in UK armed forces,284
38,2021,E02002493,2021 super output areas - middle layer,152,2 people in the household previously served in UK armed forces,22
39,2021,E02002493,2021 super output areas - middle layer,152,3 or more people in the household previously served in UK armed forces,1
40,2021,E02002494,2021 super output areas - middle layer,152,Total: All households,3389
41,2021,E02002494,2021 super output areas - middle layer,152,No people in the household previously served in UK armed forces,3118
42,2021,E02002494,2021 super output areas - middle layer,152,1 person in the household previously served in UK armed forces,255
43,2021,E02002494,2021 super output areas - middle layer,152,2 people in the household previously served in UK armed forces,15
44,2021,E02002494,2021 super output areas - middle layer,152,3 or more people in the household previously served in UK armed forces,1
45,2021,E02006909,2021 super output areas - middle layer,152,Total: All households,5508
46,2021,E02006909,2021 super output areas - middle layer,152,No people in the household previously served in UK armed forces,4991
