,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_IND_88_NAME,OBS_VALUE
0,2021,E02002404,2021 super output areas - middle layer,152,80 Security and investigation activities,39
1,2021,E02002404,2021 super output areas - middle layer,152,81 Services to buildings and landscape activities,142
2,2021,E02002404,2021 super output areas - middle layer,152,"82 Office administrative, office support and other business support activities",63
3,2021,E02002404,2021 super output areas - middle layer,152,O: Public administration and defence; compulsory social security,275
4,2021,E02002404,2021 super output areas - middle layer,152,84 Public administration and defence; compulsory social security,275
5,2021,E02002404,2021 super output areas - middle layer,152,P: Education,433
6,2021,E02002404,2021 super output areas - middle layer,152,85 Education,433
7,2021,E02002404,2021 super output areas - middle layer,152,Q: Human health and social work activities,920
8,2021,E02002404,2021 super output areas - middle layer,152,86 Human health activities,675
9,2021,E02002404,2021 super output areas - middle layer,152,87 Residential care activities,77
10,2021,E02002404,2021 super output areas - middle layer,152,88 Social work activities without accommodation,168
11,2021,E02002404,2021 super output areas - middle layer,152,"R, S, T, U Other",262
12,2021,E02002404,2021 super output areas - middle layer,152,"90 Creative, arts and entertainment activities",64
13,2021,E02002404,2021 super output areas - middle layer,152,"91 Libraries, archives, museums and other cultural activities",12
14,2021,E02002404,2021 super output areas - middle layer,152,92 Gambling and betting activities,66
15,2021,E02002404,2021 super output areas - middle layer,152,93 Sports activities and amusement and recreation activities,44
16,2021,E02002404,2021 super output areas - middle layer,152,94 Activities of membership organisations,25
17,2021,E02002404,2021 super output areas - middle layer,152,95 Repair of computers and personal and household goods,3
18,2021,E02002404,2021 super output areas - middle layer,152,96 Other personal service activities,47
19,2021,E02002404,2021 super output areas - middle layer,152,97 Activities of households as employers of domestic personnel,0
20,2021,E02002404,2021 super output areas - middle layer,152,98 Undifferentiated goods- and services-producing activities of private households for own use,0
21,2021,E02002404,2021 super output areas - middle layer,152,99 Activities of extraterritorial organisations and bodies,1
22,2021,E02002405,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,4340
23,2021,E02002405,2021 super output areas - middle layer,152,"A: Agriculture, Forestry and fishing",3
24,2021,E02002405,2021 super output areas - middle layer,152,"01 Crop and animal production, hunting and related service activities",3
25,2021,E02002405,2021 super output areas - middle layer,152,02 Forestry and logging,0
26,2021,E02002405,2021 super output areas - middle layer,152,03 Fishing and aquaculture,0
27,2021,E02002405,2021 super output areas - middle layer,152,B: Mining and quarrying,1
28,2021,E02002405,2021 super output areas - middle layer,152,05 Mining of coal and lignite,0
29,2021,E02002405,2021 super output areas - middle layer,152,06 Extraction of crude petroleum and natural gas,1
30,2021,E02002405,2021 super output areas - middle layer,152,07 Mining of metal ores,0
