,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_CARER_7_NAME,OBS_VALUE
0,2021,E02004778,2021 super output areas - middle layer,152,Provides 20 to 49 hours unpaid care a week,127
1,2021,E02004778,2021 super output areas - middle layer,152,Provides 20 to 34 hours unpaid care a week,62
2,2021,E02004778,2021 super output areas - middle layer,152,Provides 35 to 49 hours unpaid care a week,65
3,2021,E02004778,2021 super output areas - middle layer,152,Provides 50 or more hours unpaid care a week,222
4,2021,E02006822,2021 super output areas - middle layer,152,Total: All usual residents aged 5 and over,8891
5,2021,E02006822,2021 super output areas - middle layer,152,Provides no unpaid care,8011
6,2021,E02006822,2021 super output areas - middle layer,152,Provides 19 hours or less unpaid care a week,425
7,2021,E02006822,2021 super output areas - middle layer,152,Provides 9 hours or less unpaid care a week,304
8,2021,E02006822,2021 super output areas - middle layer,152,Provides 10 to 19 hours unpaid care a week,121
9,2021,E02006822,2021 super output areas - middle layer,152,Provides 20 to 49 hours unpaid care a week,187
10,2021,E02006822,2021 super output areas - middle layer,152,Provides 20 to 34 hours unpaid care a week,92
11,2021,E02006822,2021 super output areas - middle layer,152,Provides 35 to 49 hours unpaid care a week,95
12,2021,E02006822,2021 super output areas - middle layer,152,Provides 50 or more hours unpaid care a week,268
13,2021,E02006830,2021 super output areas - middle layer,152,Total: All usual residents aged 5 and over,6248
14,2021,E02006830,2021 super output areas - middle layer,152,Provides no unpaid care,5689
15,2021,E02006830,2021 super output areas - middle layer,152,Provides 19 hours or less unpaid care a week,253
16,2021,E02006830,2021 super output areas - middle layer,152,Provides 9 hours or less unpaid care a week,186
17,2021,E02006830,2021 super output areas - middle layer,152,Provides 10 to 19 hours unpaid care a week,67
18,2021,E02006830,2021 super output areas - middle layer,152,Provides 20 to 49 hours unpaid care a week,111
19,2021,E02006830,2021 super output areas - middle layer,152,Provides 20 to 34 hours unpaid care a week,50
20,2021,E02006830,2021 super output areas - middle layer,152,Provides 35 to 49 hours unpaid care a week,61
21,2021,E02006830,2021 super output areas - middle layer,152,Provides 50 or more hours unpaid care a week,195
22,2021,E02006831,2021 super output areas - middle layer,152,Total: All usual residents aged 5 and over,5931
23,2021,E02006831,2021 super output areas - middle layer,152,Provides no unpaid care,5406
24,2021,E02006831,2021 super output areas - middle layer,152,Provides 19 hours or less unpaid care a week,277
25,2021,E02006831,2021 super output areas - middle layer,152,Provides 9 hours or less unpaid care a week,222
26,2021,E02006831,2021 super output areas - middle layer,152,Provides 10 to 19 hours unpaid care a week,55
27,2021,E02006831,2021 super output areas - middle layer,152,Provides 20 to 49 hours unpaid care a week,87
28,2021,E02006831,2021 super output areas - middle layer,152,Provides 20 to 34 hours unpaid care a week,43
29,2021,E02006831,2021 super output areas - middle layer,152,Provides 35 to 49 hours unpaid care a week,44
30,2021,E02006831,2021 super output areas - middle layer,152,Provides 50 or more hours unpaid care a week,161
31,2021,E02004779,2021 super output areas - middle layer,152,Total: All usual residents aged 5 and over,10508
32,2021,E02004779,2021 super output areas - middle layer,152,Provides no unpaid care,9502
33,2021,E02004779,2021 super output areas - middle layer,152,Provides 19 hours or less unpaid care a week,575
34,2021,E02004779,2021 super output areas - middle layer,152,Provides 9 hours or less unpaid care a week,442
35,2021,E02004779,2021 super output areas - middle layer,152,Provides 10 to 19 hours unpaid care a week,133
36,2021,E02004779,2021 super output areas - middle layer,152,Provides 20 to 49 hours unpaid care a week,147
37,2021,E02004779,2021 super output areas - middle layer,152,Provides 20 to 34 hours unpaid care a week,74
38,2021,E02004779,2021 super output areas - middle layer,152,Provides 35 to 49 hours unpaid care a week,73
39,2021,E02004779,2021 super output areas - middle layer,152,Provides 50 or more hours unpaid care a week,284
40,2021,E02004780,2021 super output areas - middle layer,152,Total: All usual residents aged 5 and over,5558
41,2021,E02004780,2021 super output areas - middle layer,152,Provides no unpaid care,4996
42,2021,E02004780,2021 super output areas - middle layer,152,Provides 19 hours or less unpaid care a week,267
43,2021,E02004780,2021 super output areas - middle layer,152,Provides 9 hours or less unpaid care a week,198
44,2021,E02004780,2021 super output areas - middle layer,152,Provides 10 to 19 hours unpaid care a week,69
45,2021,E02004780,2021 super output areas - middle layer,152,Provides 20 to 49 hours unpaid care a week,103
46,2021,E02004780,2021 super output areas - middle layer,152,Provides 20 to 34 hours unpaid care a week,48
47,2021,E02004780,2021 super output areas - middle layer,152,Provides 35 to 49 hours unpaid care a week,55
48,2021,E02004780,2021 super output areas - middle layer,152,Provides 50 or more hours unpaid care a week,192
49,2021,E02004781,2021 super output areas - middle layer,152,Total: All usual residents aged 5 and over,7610
50,2021,E02004781,2021 super output areas - middle layer,152,Provides no unpaid care,6933
51,2021,E02004781,2021 super output areas - middle layer,152,Provides 19 hours or less unpaid care a week,390
52,2021,E02004781,2021 super output areas - middle layer,152,Provides 9 hours or less unpaid care a week,309
53,2021,E02004781,2021 super output areas - middle layer,152,Provides 10 to 19 hours unpaid care a week,81
54,2021,E02004781,2021 super output areas - middle layer,152,Provides 20 to 49 hours unpaid care a week,127
55,2021,E02004781,2021 super output areas - middle layer,152,Provides 20 to 34 hours unpaid care a week,68
56,2021,E02004781,2021 super output areas - middle layer,152,Provides 35 to 49 hours unpaid care a week,59
57,2021,E02004781,2021 super output areas - middle layer,152,Provides 50 or more hours unpaid care a week,160
58,2021,E02004782,2021 super output areas - middle layer,152,Total: All usual residents aged 5 and over,7333
59,2021,E02004782,2021 super output areas - middle layer,152,Provides no unpaid care,6627
60,2021,E02004782,2021 super output areas - middle layer,152,Provides 19 hours or less unpaid care a week,346
61,2021,E02004782,2021 super output areas - middle layer,152,Provides 9 hours or less unpaid care a week,265
62,2021,E02004782,2021 super output areas - middle layer,152,Provides 10 to 19 hours unpaid care a week,81
63,2021,E02004782,2021 super output areas - middle layer,152,Provides 20 to 49 hours unpaid care a week,116
64,2021,E02004782,2021 super output areas - middle layer,152,Provides 20 to 34 hours unpaid care a week,63
65,2021,E02004782,2021 super output areas - middle layer,152,Provides 35 to 49 hours unpaid care a week,53
66,2021,E02004782,2021 super output areas - middle layer,152,Provides 50 or more hours unpaid care a week,244
67,2021,E02004783,2021 super output areas - middle layer,152,Total: All usual residents aged 5 and over,6678
