,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_SEXOR_6_NAME,OBS_VALUE
0,2021,E02000141,2021 super output areas - middle layer,152,All other sexual orientations,33
1,2021,E02000141,2021 super output areas - middle layer,152,Not answered,528
2,2021,E02000142,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,7007
3,2021,E02000142,2021 super output areas - middle layer,152,Straight or Heterosexual,6295
4,2021,E02000142,2021 super output areas - middle layer,152,Gay or Lesbian,101
5,2021,E02000142,2021 super output areas - middle layer,152,Bisexual,76
6,2021,E02000142,2021 super output areas - middle layer,152,All other sexual orientations,14
7,2021,E02000142,2021 super output areas - middle layer,152,Not answered,521
8,2021,E02000144,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,8106
9,2021,E02000144,2021 super output areas - middle layer,152,Straight or Heterosexual,7208
10,2021,E02000144,2021 super output areas - middle layer,152,Gay or Lesbian,160
11,2021,E02000144,2021 super output areas - middle layer,152,Bisexual,105
12,2021,E02000144,2021 super output areas - middle layer,152,All other sexual orientations,29
13,2021,E02000144,2021 super output areas - middle layer,152,Not answered,604
14,2021,E02000145,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,6680
15,2021,E02000145,2021 super output areas - middle layer,152,Straight or Heterosexual,5986
16,2021,E02000145,2021 super output areas - middle layer,152,Gay or Lesbian,103
17,2021,E02000145,2021 super output areas - middle layer,152,Bisexual,66
18,2021,E02000145,2021 super output areas - middle layer,152,All other sexual orientations,19
19,2021,E02000145,2021 super output areas - middle layer,152,Not answered,506
20,2021,E02000146,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,7734
21,2021,E02000146,2021 super output areas - middle layer,152,Straight or Heterosexual,6898
22,2021,E02000146,2021 super output areas - middle layer,152,Gay or Lesbian,153
23,2021,E02000146,2021 super output areas - middle layer,152,Bisexual,70
24,2021,E02000146,2021 super output areas - middle layer,152,All other sexual orientations,28
25,2021,E02000146,2021 super output areas - middle layer,152,Not answered,585
26,2021,E02000147,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,6562
