,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HHSIZE_10_NAME,OBS_VALUE
0,2021,E02000959,2021 super output areas - middle layer,152,Total: All households,3104
1,2021,E02000959,2021 super output areas - middle layer,152,0 people in household,0
2,2021,E02000959,2021 super output areas - middle layer,152,1 person in household,897
3,2021,E02000959,2021 super output areas - middle layer,152,2 people in household,863
4,2021,E02000959,2021 super output areas - middle layer,152,3 people in household,614
5,2021,E02000959,2021 super output areas - middle layer,152,4 people in household,464
6,2021,E02000959,2021 super output areas - middle layer,152,5 people in household,156
7,2021,E02000959,2021 super output areas - middle layer,152,6 people in household,65
8,2021,E02000959,2021 super output areas - middle layer,152,7 people in household,26
9,2021,E02000959,2021 super output areas - middle layer,152,8 or more people in household,19
10,2021,E02007083,2021 super output areas - middle layer,152,Total: All households,4106
11,2021,E02007083,2021 super output areas - middle layer,152,0 people in household,0
12,2021,E02007083,2021 super output areas - middle layer,152,1 person in household,1680
13,2021,E02007083,2021 super output areas - middle layer,152,2 people in household,1668
14,2021,E02007083,2021 super output areas - middle layer,152,3 people in household,455
15,2021,E02007083,2021 super output areas - middle layer,152,4 people in household,220
16,2021,E02007083,2021 super output areas - middle layer,152,5 people in household,60
17,2021,E02007083,2021 super output areas - middle layer,152,6 people in household,17
18,2021,E02007083,2021 super output areas - middle layer,152,7 people in household,3
19,2021,E02007083,2021 super output areas - middle layer,152,8 or more people in household,3
20,2021,E02007084,2021 super output areas - middle layer,152,Total: All households,4137
21,2021,E02007084,2021 super output areas - middle layer,152,0 people in household,0
22,2021,E02007084,2021 super output areas - middle layer,152,1 person in household,1284
23,2021,E02007084,2021 super output areas - middle layer,152,2 people in household,1351
24,2021,E02007084,2021 super output areas - middle layer,152,3 people in household,719
25,2021,E02007084,2021 super output areas - middle layer,152,4 people in household,422
26,2021,E02007084,2021 super output areas - middle layer,152,5 people in household,212
27,2021,E02007084,2021 super output areas - middle layer,152,6 people in household,89
28,2021,E02007084,2021 super output areas - middle layer,152,7 people in household,35
29,2021,E02007084,2021 super output areas - middle layer,152,8 or more people in household,25
30,2021,E02000960,2021 super output areas - middle layer,152,Total: All households,2781
31,2021,E02000960,2021 super output areas - middle layer,152,0 people in household,0
32,2021,E02000960,2021 super output areas - middle layer,152,1 person in household,1043
33,2021,E02000960,2021 super output areas - middle layer,152,2 people in household,846
34,2021,E02000960,2021 super output areas - middle layer,152,3 people in household,403
35,2021,E02000960,2021 super output areas - middle layer,152,4 people in household,322
36,2021,E02000960,2021 super output areas - middle layer,152,5 people in household,105
37,2021,E02000960,2021 super output areas - middle layer,152,6 people in household,53
38,2021,E02000960,2021 super output areas - middle layer,152,7 people in household,7
39,2021,E02000960,2021 super output areas - middle layer,152,8 or more people in household,2
40,2021,E02000961,2021 super output areas - middle layer,152,Total: All households,4068
41,2021,E02000961,2021 super output areas - middle layer,152,0 people in household,0
42,2021,E02000961,2021 super output areas - middle layer,152,1 person in household,1277
