,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HHLANG_5_NAME,OBS_VALUE
0,2021,E02000959,2021 super output areas - middle layer,152,Total: All households,3104
1,2021,E02000959,2021 super output areas - middle layer,152,"All adults in household have English in England, or English or Welsh in Wales as a main language",2208
2,2021,E02000959,2021 super output areas - middle layer,152,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",359
3,2021,E02000959,2021 super output areas - middle layer,152,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",119
4,2021,E02000959,2021 super output areas - middle layer,152,"No people in household have English in England, or English or Welsh in Wales as a main language",418
5,2021,E02007083,2021 super output areas - middle layer,152,Total: All households,4106
6,2021,E02007083,2021 super output areas - middle layer,152,"All adults in household have English in England, or English or Welsh in Wales as a main language",2812
7,2021,E02007083,2021 super output areas - middle layer,152,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",378
8,2021,E02007083,2021 super output areas - middle layer,152,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",73
9,2021,E02007083,2021 super output areas - middle layer,152,"No people in household have English in England, or English or Welsh in Wales as a main language",843
10,2021,E02007084,2021 super output areas - middle layer,152,Total: All households,4137
11,2021,E02007084,2021 super output areas - middle layer,152,"All adults in household have English in England, or English or Welsh in Wales as a main language",2894
12,2021,E02007084,2021 super output areas - middle layer,152,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",539
13,2021,E02007084,2021 super output areas - middle layer,152,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",118
14,2021,E02007084,2021 super output areas - middle layer,152,"No people in household have English in England, or English or Welsh in Wales as a main language",586
15,2021,E02000960,2021 super output areas - middle layer,152,Total: All households,2782
16,2021,E02000960,2021 super output areas - middle layer,152,"All adults in household have English in England, or English or Welsh in Wales as a main language",1928
17,2021,E02000960,2021 super output areas - middle layer,152,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",296
18,2021,E02000960,2021 super output areas - middle layer,152,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",60
19,2021,E02000960,2021 super output areas - middle layer,152,"No people in household have English in England, or English or Welsh in Wales as a main language",498
20,2021,E02000961,2021 super output areas - middle layer,152,Total: All households,4068
21,2021,E02000961,2021 super output areas - middle layer,152,"All adults in household have English in England, or English or Welsh in Wales as a main language",2721
22,2021,E02000961,2021 super output areas - middle layer,152,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",620
23,2021,E02000961,2021 super output areas - middle layer,152,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",145
24,2021,E02000961,2021 super output areas - middle layer,152,"No people in household have English in England, or English or Welsh in Wales as a main language",582
