,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_LIVING_11_NAME,OBS_VALUE
0,2021,E02000959,2021 super output areas - middle layer,152,Total: All usual residents,6293
1,2021,E02000959,2021 super output areas - middle layer,152,Living in a couple,2846
2,2021,E02000959,2021 super output areas - middle layer,152,Living in a couple: Married or in a civil partnership,1921
3,2021,E02000959,2021 super output areas - middle layer,152,Living in a couple: Married or in a civil partnership: Opposite-sex couple,1894
4,2021,E02000959,2021 super output areas - middle layer,152,Living in a couple: Married or in a civil partnership: Same-sex couple,27
5,2021,E02000959,2021 super output areas - middle layer,152,"Living in a couple: Separated, but still married or in a civil partnership",7
6,2021,E02000959,2021 super output areas - middle layer,152,Living in a couple: Cohabiting,918
7,2021,E02000959,2021 super output areas - middle layer,152,Living in a couple: Cohabiting: Opposite-sex couple,846
8,2021,E02000959,2021 super output areas - middle layer,152,Living in a couple: Cohabiting: Same-sex couple,72
9,2021,E02000959,2021 super output areas - middle layer,152,Not living in a couple,3447
10,2021,E02000959,2021 super output areas - middle layer,152,Not living in a couple: Single (never married and never registered a civil partnership),2562
11,2021,E02000959,2021 super output areas - middle layer,152,Not living in a couple: Married or in a registered civil partnership,191
12,2021,E02000959,2021 super output areas - middle layer,152,Not living in a couple: Separated (including those who are married and those who are in civil partnerships),141
13,2021,E02000959,2021 super output areas - middle layer,152,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,356
14,2021,E02000959,2021 super output areas - middle layer,152,Not living in a couple: Widowed or surviving partner from a civil partnership,197
15,2021,E02007083,2021 super output areas - middle layer,152,Total: All usual residents,6745
16,2021,E02007083,2021 super output areas - middle layer,152,Living in a couple,3324
17,2021,E02007083,2021 super output areas - middle layer,152,Living in a couple: Married or in a civil partnership,1742
18,2021,E02007083,2021 super output areas - middle layer,152,Living in a couple: Married or in a civil partnership: Opposite-sex couple,1672
19,2021,E02007083,2021 super output areas - middle layer,152,Living in a couple: Married or in a civil partnership: Same-sex couple,70
20,2021,E02007083,2021 super output areas - middle layer,152,"Living in a couple: Separated, but still married or in a civil partnership",12
21,2021,E02007083,2021 super output areas - middle layer,152,Living in a couple: Cohabiting,1570
22,2021,E02007083,2021 super output areas - middle layer,152,Living in a couple: Cohabiting: Opposite-sex couple,1350
23,2021,E02007083,2021 super output areas - middle layer,152,Living in a couple: Cohabiting: Same-sex couple,220
24,2021,E02007083,2021 super output areas - middle layer,152,Not living in a couple,3421
25,2021,E02007083,2021 super output areas - middle layer,152,Not living in a couple: Single (never married and never registered a civil partnership),2774
26,2021,E02007083,2021 super output areas - middle layer,152,Not living in a couple: Married or in a registered civil partnership,164
27,2021,E02007083,2021 super output areas - middle layer,152,Not living in a couple: Separated (including those who are married and those who are in civil partnerships),86
28,2021,E02007083,2021 super output areas - middle layer,152,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,325
29,2021,E02007083,2021 super output areas - middle layer,152,Not living in a couple: Widowed or surviving partner from a civil partnership,72
30,2021,E02007084,2021 super output areas - middle layer,152,Total: All usual residents,8280
31,2021,E02007084,2021 super output areas - middle layer,152,Living in a couple,3008
32,2021,E02007084,2021 super output areas - middle layer,152,Living in a couple: Married or in a civil partnership,1745
33,2021,E02007084,2021 super output areas - middle layer,152,Living in a couple: Married or in a civil partnership: Opposite-sex couple,1695
34,2021,E02007084,2021 super output areas - middle layer,152,Living in a couple: Married or in a civil partnership: Same-sex couple,50
35,2021,E02007084,2021 super output areas - middle layer,152,"Living in a couple: Separated, but still married or in a civil partnership",3
36,2021,E02007084,2021 super output areas - middle layer,152,Living in a couple: Cohabiting,1260
37,2021,E02007084,2021 super output areas - middle layer,152,Living in a couple: Cohabiting: Opposite-sex couple,1164
38,2021,E02007084,2021 super output areas - middle layer,152,Living in a couple: Cohabiting: Same-sex couple,96
39,2021,E02007084,2021 super output areas - middle layer,152,Not living in a couple,5272
40,2021,E02007084,2021 super output areas - middle layer,152,Not living in a couple: Single (never married and never registered a civil partnership),4046
41,2021,E02007084,2021 super output areas - middle layer,152,Not living in a couple: Married or in a registered civil partnership,214
42,2021,E02007084,2021 super output areas - middle layer,152,Not living in a couple: Separated (including those who are married and those who are in civil partnerships),198
43,2021,E02007084,2021 super output areas - middle layer,152,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,563
