,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_TRANSPORT_NAME,OBS_VALUE
0,2001,E02006065,2001 super output areas - middle layer,305,On foot,369.0
1,2001,E02006065,2001 super output areas - middle layer,305,Other,11.0
2,2001,E02006065,2001 super output areas - middle layer,305,Average distance (km) travelled to fixed place of work,13.79
3,2001,E02006065,2001 super output areas - middle layer,305,Public transport users in households - with a car or van,65.0
4,2001,E02006065,2001 super output areas - middle layer,305,Public transport users in households - without a car or van,27.0
5,2001,E02006066,2001 super output areas - middle layer,305,All people aged 16 to 74 in employment,3680.0
6,2001,E02006066,2001 super output areas - middle layer,305,Work mainly at or from home,455.0
7,2001,E02006066,2001 super output areas - middle layer,305,"Underground, metro, light rail, tram",3.0
8,2001,E02006066,2001 super output areas - middle layer,305,Train,14.0
9,2001,E02006066,2001 super output areas - middle layer,305,"Bus, minibus or coach",92.0
10,2001,E02006066,2001 super output areas - middle layer,305,"Motorcycle, scooter or moped",75.0
11,2001,E02006066,2001 super output areas - middle layer,305,Driving a car or van,2523.0
12,2001,E02006066,2001 super output areas - middle layer,305,Passenger in a car or van,261.0
13,2001,E02006066,2001 super output areas - middle layer,305,Taxi or minicab,5.0
14,2001,E02006066,2001 super output areas - middle layer,305,Bicycle,125.0
15,2001,E02006066,2001 super output areas - middle layer,305,On foot,103.0
16,2001,E02006066,2001 super output areas - middle layer,305,Other,24.0
17,2001,E02006066,2001 super output areas - middle layer,305,Average distance (km) travelled to fixed place of work,16.67
18,2001,E02006066,2001 super output areas - middle layer,305,Public transport users in households - with a car or van,98.0
19,2001,E02006066,2001 super output areas - middle layer,305,Public transport users in households - without a car or van,11.0
20,2001,E02006067,2001 super output areas - middle layer,305,All people aged 16 to 74 in employment,3133.0
21,2001,E02006067,2001 super output areas - middle layer,305,Work mainly at or from home,551.0
22,2001,E02006067,2001 super output areas - middle layer,305,"Underground, metro, light rail, tram",3.0
23,2001,E02006067,2001 super output areas - middle layer,305,Train,14.0
24,2001,E02006067,2001 super output areas - middle layer,305,"Bus, minibus or coach",31.0
25,2001,E02006067,2001 super output areas - middle layer,305,"Motorcycle, scooter or moped",45.0
26,2001,E02006067,2001 super output areas - middle layer,305,Driving a car or van,1994.0
27,2001,E02006067,2001 super output areas - middle layer,305,Passenger in a car or van,169.0
28,2001,E02006067,2001 super output areas - middle layer,305,Taxi or minicab,0.0
29,2001,E02006067,2001 super output areas - middle layer,305,Bicycle,82.0
30,2001,E02006067,2001 super output areas - middle layer,305,On foot,215.0
31,2001,E02006067,2001 super output areas - middle layer,305,Other,29.0
32,2001,E02006067,2001 super output areas - middle layer,305,Average distance (km) travelled to fixed place of work,19.42
33,2001,E02006067,2001 super output areas - middle layer,305,Public transport users in households - with a car or van,35.0
34,2001,E02006067,2001 super output areas - middle layer,305,Public transport users in households - without a car or van,7.0
35,2001,E02006068,2001 super output areas - middle layer,305,All people aged 16 to 74 in employment,3135.0
36,2001,E02006068,2001 super output areas - middle layer,305,Work mainly at or from home,192.0
37,2001,E02006068,2001 super output areas - middle layer,305,"Underground, metro, light rail, tram",0.0
38,2001,E02006068,2001 super output areas - middle layer,305,Train,12.0
39,2001,E02006068,2001 super output areas - middle layer,305,"Bus, minibus or coach",125.0
40,2001,E02006068,2001 super output areas - middle layer,305,"Motorcycle, scooter or moped",46.0
41,2001,E02006068,2001 super output areas - middle layer,305,Driving a car or van,1581.0
42,2001,E02006068,2001 super output areas - middle layer,305,Passenger in a car or van,266.0
43,2001,E02006068,2001 super output areas - middle layer,305,Taxi or minicab,27.0
44,2001,E02006068,2001 super output areas - middle layer,305,Bicycle,409.0
45,2001,E02006068,2001 super output areas - middle layer,305,On foot,465.0
46,2001,E02006068,2001 super output areas - middle layer,305,Other,12.0
47,2001,E02006068,2001 super output areas - middle layer,305,Average distance (km) travelled to fixed place of work,9.11
48,2001,E02006068,2001 super output areas - middle layer,305,Public transport users in households - with a car or van,78.0
49,2001,E02006068,2001 super output areas - middle layer,305,Public transport users in households - without a car or van,59.0
50,2001,E02006069,2001 super output areas - middle layer,305,All people aged 16 to 74 in employment,3370.0
51,2001,E02006069,2001 super output areas - middle layer,305,Work mainly at or from home,266.0
52,2001,E02006069,2001 super output areas - middle layer,305,"Underground, metro, light rail, tram",3.0
53,2001,E02006069,2001 super output areas - middle layer,305,Train,8.0
54,2001,E02006069,2001 super output areas - middle layer,305,"Bus, minibus or coach",55.0
55,2001,E02006069,2001 super output areas - middle layer,305,"Motorcycle, scooter or moped",47.0
56,2001,E02006069,2001 super output areas - middle layer,305,Driving a car or van,1577.0
57,2001,E02006069,2001 super output areas - middle layer,305,Passenger in a car or van,236.0
58,2001,E02006069,2001 super output areas - middle layer,305,Taxi or minicab,15.0
59,2001,E02006069,2001 super output areas - middle layer,305,Bicycle,361.0
60,2001,E02006069,2001 super output areas - middle layer,305,On foot,789.0
61,2001,E02006069,2001 super output areas - middle layer,305,Other,13.0
62,2001,E02006069,2001 super output areas - middle layer,305,Average distance (km) travelled to fixed place of work,8.97
63,2001,E02006069,2001 super output areas - middle layer,305,Public transport users in households - with a car or van,43.0
64,2001,E02006069,2001 super output areas - middle layer,305,Public transport users in households - without a car or van,22.0
65,2001,E02006070,2001 super output areas - middle layer,305,All people aged 16 to 74 in employment,3757.0
66,2001,E02006070,2001 super output areas - middle layer,305,Work mainly at or from home,242.0
67,2001,E02006070,2001 super output areas - middle layer,305,"Underground, metro, light rail, tram",3.0
68,2001,E02006070,2001 super output areas - middle layer,305,Train,13.0
69,2001,E02006070,2001 super output areas - middle layer,305,"Bus, minibus or coach",84.0
70,2001,E02006070,2001 super output areas - middle layer,305,"Motorcycle, scooter or moped",59.0
71,2001,E02006070,2001 super output areas - middle layer,305,Driving a car or van,2385.0
72,2001,E02006070,2001 super output areas - middle layer,305,Passenger in a car or van,278.0
73,2001,E02006070,2001 super output areas - middle layer,305,Taxi or minicab,10.0
74,2001,E02006070,2001 super output areas - middle layer,305,Bicycle,386.0
75,2001,E02006070,2001 super output areas - middle layer,305,On foot,288.0
76,2001,E02006070,2001 super output areas - middle layer,305,Other,9.0
77,2001,E02006070,2001 super output areas - middle layer,305,Average distance (km) travelled to fixed place of work,10.92
78,2001,E02006070,2001 super output areas - middle layer,305,Public transport users in households - with a car or van,81.0
79,2001,E02006070,2001 super output areas - middle layer,305,Public transport users in households - without a car or van,17.0
80,2001,E02006071,2001 super output areas - middle layer,305,All people aged 16 to 74 in employment,3176.0
81,2001,E02006071,2001 super output areas - middle layer,305,Work mainly at or from home,277.0
82,2001,E02006071,2001 super output areas - middle layer,305,"Underground, metro, light rail, tram",0.0
83,2001,E02006071,2001 super output areas - middle layer,305,Train,7.0
84,2001,E02006071,2001 super output areas - middle layer,305,"Bus, minibus or coach",60.0
85,2001,E02006071,2001 super output areas - middle layer,305,"Motorcycle, scooter or moped",46.0
86,2001,E02006071,2001 super output areas - middle layer,305,Driving a car or van,1992.0
87,2001,E02006071,2001 super output areas - middle layer,305,Passenger in a car or van,217.0
88,2001,E02006071,2001 super output areas - middle layer,305,Taxi or minicab,13.0
89,2001,E02006071,2001 super output areas - middle layer,305,Bicycle,253.0
90,2001,E02006071,2001 super output areas - middle layer,305,On foot,297.0
91,2001,E02006071,2001 super output areas - middle layer,305,Other,14.0
92,2001,E02006071,2001 super output areas - middle layer,305,Average distance (km) travelled to fixed place of work,11.0
93,2001,E02006071,2001 super output areas - middle layer,305,Public transport users in households - with a car or van,58.0
94,2001,E02006071,2001 super output areas - middle layer,305,Public transport users in households - without a car or van,10.0
95,2001,E02006072,2001 super output areas - middle layer,305,All people aged 16 to 74 in employment,4233.0
96,2001,E02006072,2001 super output areas - middle layer,305,Work mainly at or from home,754.0
97,2001,E02006072,2001 super output areas - middle layer,305,"Underground, metro, light rail, tram",4.0
98,2001,E02006072,2001 super output areas - middle layer,305,Train,12.0
99,2001,E02006072,2001 super output areas - middle layer,305,"Bus, minibus or coach",49.0
100,2001,E02006072,2001 super output areas - middle layer,305,"Motorcycle, scooter or moped",49.0
101,2001,E02006072,2001 super output areas - middle layer,305,Driving a car or van,2891.0
102,2001,E02006072,2001 super output areas - middle layer,305,Passenger in a car or van,209.0
103,2001,E02006072,2001 super output areas - middle layer,305,Taxi or minicab,5.0
104,2001,E02006072,2001 super output areas - middle layer,305,Bicycle,72.0
105,2001,E02006072,2001 super output areas - middle layer,305,On foot,162.0
106,2001,E02006072,2001 super output areas - middle layer,305,Other,26.0
107,2001,E02006072,2001 super output areas - middle layer,305,Average distance (km) travelled to fixed place of work,19.16
108,2001,E02006072,2001 super output areas - middle layer,305,Public transport users in households - with a car or van,59.0
109,2001,E02006072,2001 super output areas - middle layer,305,Public transport users in households - without a car or van,6.0
110,2001,E02006073,2001 super output areas - middle layer,305,All people aged 16 to 74 in employment,2862.0
111,2001,E02006073,2001 super output areas - middle layer,305,Work mainly at or from home,205.0
112,2001,E02006073,2001 super output areas - middle layer,305,"Underground, metro, light rail, tram",0.0
113,2001,E02006073,2001 super output areas - middle layer,305,Train,8.0
114,2001,E02006073,2001 super output areas - middle layer,305,"Bus, minibus or coach",97.0
115,2001,E02006073,2001 super output areas - middle layer,305,"Motorcycle, scooter or moped",44.0
116,2001,E02006073,2001 super output areas - middle layer,305,Driving a car or van,1475.0
117,2001,E02006073,2001 super output areas - middle layer,305,Passenger in a car or van,224.0
118,2001,E02006073,2001 super output areas - middle layer,305,Taxi or minicab,17.0
119,2001,E02006073,2001 super output areas - middle layer,305,Bicycle,307.0
120,2001,E02006073,2001 super output areas - middle layer,305,On foot,471.0
121,2001,E02006073,2001 super output areas - middle layer,305,Other,14.0
122,2001,E02006073,2001 super output areas - middle layer,305,Average distance (km) travelled to fixed place of work,8.63
123,2001,E02006073,2001 super output areas - middle layer,305,Public transport users in households - with a car or van,78.0
124,2001,E02006073,2001 super output areas - middle layer,305,Public transport users in households - without a car or van,26.0
125,2001,E02006074,2001 super output areas - middle layer,305,All people aged 16 to 74 in employment,3276.0
126,2001,E02006074,2001 super output areas - middle layer,305,Work mainly at or from home,405.0
127,2001,E02006074,2001 super output areas - middle layer,305,"Underground, metro, light rail, tram",0.0
128,2001,E02006074,2001 super output areas - middle layer,305,Train,10.0
129,2001,E02006074,2001 super output areas - middle layer,305,"Bus, minibus or coach",84.0
130,2001,E02006074,2001 super output areas - middle layer,305,"Motorcycle, scooter or moped",54.0
131,2001,E02006074,2001 super output areas - middle layer,305,Driving a car or van,2189.0
132,2001,E02006074,2001 super output areas - middle layer,305,Passenger in a car or van,170.0
133,2001,E02006074,2001 super output areas - middle layer,305,Taxi or minicab,7.0
134,2001,E02006074,2001 super output areas - middle layer,305,Bicycle,164.0
135,2001,E02006074,2001 super output areas - middle layer,305,On foot,178.0
