,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_RELPUK11_NAME,OBS_VALUE
0,2001,E02002559,2001 super output areas - middle layer,305,All categories: Religion,6299
1,2001,E02002559,2001 super output areas - middle layer,305,Christian,5313
2,2001,E02002559,2001 super output areas - middle layer,305,Buddhist,0
3,2001,E02002559,2001 super output areas - middle layer,305,Hindu,0
4,2001,E02002559,2001 super output areas - middle layer,305,Jewish,3
5,2001,E02002559,2001 super output areas - middle layer,305,Muslim,14
6,2001,E02002559,2001 super output areas - middle layer,305,Sikh,3
7,2001,E02002559,2001 super output areas - middle layer,305,Other religion,14
8,2001,E02002559,2001 super output areas - middle layer,305,No religion,603
9,2001,E02002559,2001 super output areas - middle layer,305,Religion not stated,349
10,2001,E02002560,2001 super output areas - middle layer,305,All categories: Religion,5894
11,2001,E02002560,2001 super output areas - middle layer,305,Christian,4851
12,2001,E02002560,2001 super output areas - middle layer,305,Buddhist,4
13,2001,E02002560,2001 super output areas - middle layer,305,Hindu,10
14,2001,E02002560,2001 super output areas - middle layer,305,Jewish,0
15,2001,E02002560,2001 super output areas - middle layer,305,Muslim,4
16,2001,E02002560,2001 super output areas - middle layer,305,Sikh,21
17,2001,E02002560,2001 super output areas - middle layer,305,Other religion,5
18,2001,E02002560,2001 super output areas - middle layer,305,No religion,548
19,2001,E02002560,2001 super output areas - middle layer,305,Religion not stated,451
20,2001,E02002561,2001 super output areas - middle layer,305,All categories: Religion,5995
21,2001,E02002561,2001 super output areas - middle layer,305,Christian,5022
22,2001,E02002561,2001 super output areas - middle layer,305,Buddhist,18
23,2001,E02002561,2001 super output areas - middle layer,305,Hindu,0
24,2001,E02002561,2001 super output areas - middle layer,305,Jewish,0
25,2001,E02002561,2001 super output areas - middle layer,305,Muslim,24
26,2001,E02002561,2001 super output areas - middle layer,305,Sikh,5
27,2001,E02002561,2001 super output areas - middle layer,305,Other religion,4
28,2001,E02002561,2001 super output areas - middle layer,305,No religion,558
29,2001,E02002561,2001 super output areas - middle layer,305,Religion not stated,364
30,2001,E02002562,2001 super output areas - middle layer,305,All categories: Religion,6054
31,2001,E02002562,2001 super output areas - middle layer,305,Christian,4776
32,2001,E02002562,2001 super output areas - middle layer,305,Buddhist,12
33,2001,E02002562,2001 super output areas - middle layer,305,Hindu,0
34,2001,E02002562,2001 super output areas - middle layer,305,Jewish,4
35,2001,E02002562,2001 super output areas - middle layer,305,Muslim,7
36,2001,E02002562,2001 super output areas - middle layer,305,Sikh,22
