,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,COMMTYPE_NAME,OBS_VALUE
0,2001,E02004526,2001 super output areas - middle layer,305,Medical and care establishments - Housing association,0
1,2001,E02004526,2001 super output areas - middle layer,305,Medical and care establishments - Other - Nursing home,10
2,2001,E02004526,2001 super output areas - middle layer,305,Medical and care establishments - Other - Residential care home,0
3,2001,E02004526,2001 super output areas - middle layer,305,Medical and care establishments - Other - Children's home,0
4,2001,E02004526,2001 super output areas - middle layer,305,Medical and care establishments - Other,0
5,2001,E02004526,2001 super output areas - middle layer,305,Other establishments,0
6,2001,E02004526,2001 super output areas - middle layer,305,Residents in establishments with limiting long-term illness - medical and care establishments,10
7,2001,E02004526,2001 super output areas - middle layer,305,Residents in establishments with limiting long-term illness - other establishments,0
8,2001,E02004527,2001 super output areas - middle layer,305,All communal establishments,4
9,2001,E02004527,2001 super output areas - middle layer,305,Number of residents by communal establishment type,153
10,2001,E02004527,2001 super output areas - middle layer,305,Medical and care establishments - NHS - Psychiatric hospital / home,0
11,2001,E02004527,2001 super output areas - middle layer,305,Medical and care establishments - NHS - Other hospital home,0
12,2001,E02004527,2001 super output areas - middle layer,305,Medical and care establishments - Local Authority - Children's home,0
13,2001,E02004527,2001 super output areas - middle layer,305,Medical and care establishments - Local Authority - Other,0
14,2001,E02004527,2001 super output areas - middle layer,305,Medical and care establishments - Housing association,0
15,2001,E02004527,2001 super output areas - middle layer,305,Medical and care establishments - Other - Nursing home,0
16,2001,E02004527,2001 super output areas - middle layer,305,Medical and care establishments - Other - Residential care home,28
17,2001,E02004527,2001 super output areas - middle layer,305,Medical and care establishments - Other - Children's home,0
18,2001,E02004527,2001 super output areas - middle layer,305,Medical and care establishments - Other,0
19,2001,E02004527,2001 super output areas - middle layer,305,Other establishments,125
20,2001,E02004527,2001 super output areas - middle layer,305,Residents in establishments with limiting long-term illness - medical and care establishments,28
21,2001,E02004527,2001 super output areas - middle layer,305,Residents in establishments with limiting long-term illness - other establishments,10
22,2001,E02004528,2001 super output areas - middle layer,305,All communal establishments,0
23,2001,E02004528,2001 super output areas - middle layer,305,Number of residents by communal establishment type,0
24,2001,E02004528,2001 super output areas - middle layer,305,Medical and care establishments - NHS - Psychiatric hospital / home,0
25,2001,E02004528,2001 super output areas - middle layer,305,Medical and care establishments - NHS - Other hospital home,0
26,2001,E02004528,2001 super output areas - middle layer,305,Medical and care establishments - Local Authority - Children's home,0
27,2001,E02004528,2001 super output areas - middle layer,305,Medical and care establishments - Local Authority - Other,0
28,2001,E02004528,2001 super output areas - middle layer,305,Medical and care establishments - Housing association,0
29,2001,E02004528,2001 super output areas - middle layer,305,Medical and care establishments - Other - Nursing home,0
30,2001,E02004528,2001 super output areas - middle layer,305,Medical and care establishments - Other - Residential care home,0
31,2001,E02004528,2001 super output areas - middle layer,305,Medical and care establishments - Other - Children's home,0
32,2001,E02004528,2001 super output areas - middle layer,305,Medical and care establishments - Other,0
33,2001,E02004528,2001 super output areas - middle layer,305,Other establishments,0
