,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_CARER_NAME,OBS_VALUE
0,2001,E02002559,2001 super output areas - middle layer,305,All people,6302
1,2001,E02002559,2001 super output areas - middle layer,305,People with limiting long-term illness,958
2,2001,E02002559,2001 super output areas - middle layer,305,People of working age with limiting long-term illness,448
3,2001,E02002559,2001 super output areas - middle layer,305,People whose health was good,4617
4,2001,E02002559,2001 super output areas - middle layer,305,People whose health was fairly good,1254
5,2001,E02002559,2001 super output areas - middle layer,305,People whose health was not good,431
6,2001,E02002559,2001 super output areas - middle layer,305,All people who provide unpaid care,679
7,2001,E02002559,2001 super output areas - middle layer,305,People who provide unpaid care 1 to 19 hours a week,503
8,2001,E02002559,2001 super output areas - middle layer,305,People who provide unpaid care 20 to 49 hours a week,57
9,2001,E02002559,2001 super output areas - middle layer,305,People who provide unpaid care 50 or more hours a week,119
10,2001,E02002560,2001 super output areas - middle layer,305,All people,5894
11,2001,E02002560,2001 super output areas - middle layer,305,People with limiting long-term illness,965
12,2001,E02002560,2001 super output areas - middle layer,305,People of working age with limiting long-term illness,477
13,2001,E02002560,2001 super output areas - middle layer,305,People whose health was good,4086
14,2001,E02002560,2001 super output areas - middle layer,305,People whose health was fairly good,1353
15,2001,E02002560,2001 super output areas - middle layer,305,People whose health was not good,455
16,2001,E02002560,2001 super output areas - middle layer,305,All people who provide unpaid care,542
17,2001,E02002560,2001 super output areas - middle layer,305,People who provide unpaid care 1 to 19 hours a week,364
18,2001,E02002560,2001 super output areas - middle layer,305,People who provide unpaid care 20 to 49 hours a week,63
19,2001,E02002560,2001 super output areas - middle layer,305,People who provide unpaid care 50 or more hours a week,115
20,2001,E02002561,2001 super output areas - middle layer,305,All people,5996
21,2001,E02002561,2001 super output areas - middle layer,305,People with limiting long-term illness,974
22,2001,E02002561,2001 super output areas - middle layer,305,People of working age with limiting long-term illness,509
23,2001,E02002561,2001 super output areas - middle layer,305,People whose health was good,4227
24,2001,E02002561,2001 super output areas - middle layer,305,People whose health was fairly good,1283
25,2001,E02002561,2001 super output areas - middle layer,305,People whose health was not good,486
26,2001,E02002561,2001 super output areas - middle layer,305,All people who provide unpaid care,681
27,2001,E02002561,2001 super output areas - middle layer,305,People who provide unpaid care 1 to 19 hours a week,497
28,2001,E02002561,2001 super output areas - middle layer,305,People who provide unpaid care 20 to 49 hours a week,62
29,2001,E02002561,2001 super output areas - middle layer,305,People who provide unpaid care 50 or more hours a week,122
30,2001,E02002562,2001 super output areas - middle layer,305,All people,6054
31,2001,E02002562,2001 super output areas - middle layer,305,People with limiting long-term illness,1323
32,2001,E02002562,2001 super output areas - middle layer,305,People of working age with limiting long-term illness,633
33,2001,E02002562,2001 super output areas - middle layer,305,People whose health was good,3745
34,2001,E02002562,2001 super output areas - middle layer,305,People whose health was fairly good,1611
35,2001,E02002562,2001 super output areas - middle layer,305,People whose health was not good,698
36,2001,E02002562,2001 super output areas - middle layer,305,All people who provide unpaid care,514
37,2001,E02002562,2001 super output areas - middle layer,305,People who provide unpaid care 1 to 19 hours a week,300
38,2001,E02002562,2001 super output areas - middle layer,305,People who provide unpaid care 20 to 49 hours a week,75
39,2001,E02002562,2001 super output areas - middle layer,305,People who provide unpaid care 50 or more hours a week,139
40,2001,E02002563,2001 super output areas - middle layer,305,All people,5570
41,2001,E02002563,2001 super output areas - middle layer,305,People with limiting long-term illness,1372
42,2001,E02002563,2001 super output areas - middle layer,305,People of working age with limiting long-term illness,618
43,2001,E02002563,2001 super output areas - middle layer,305,People whose health was good,3472
44,2001,E02002563,2001 super output areas - middle layer,305,People whose health was fairly good,1439
45,2001,E02002563,2001 super output areas - middle layer,305,People whose health was not good,659
46,2001,E02002563,2001 super output areas - middle layer,305,All people who provide unpaid care,628
47,2001,E02002563,2001 super output areas - middle layer,305,People who provide unpaid care 1 to 19 hours a week,377
48,2001,E02002563,2001 super output areas - middle layer,305,People who provide unpaid care 20 to 49 hours a week,79
49,2001,E02002563,2001 super output areas - middle layer,305,People who provide unpaid care 50 or more hours a week,172
50,2001,E02002564,2001 super output areas - middle layer,305,All people,9261
51,2001,E02002564,2001 super output areas - middle layer,305,People with limiting long-term illness,2099
52,2001,E02002564,2001 super output areas - middle layer,305,People of working age with limiting long-term illness,970
53,2001,E02002564,2001 super output areas - middle layer,305,People whose health was good,5914
54,2001,E02002564,2001 super output areas - middle layer,305,People whose health was fairly good,2268
55,2001,E02002564,2001 super output areas - middle layer,305,People whose health was not good,1079
56,2001,E02002564,2001 super output areas - middle layer,305,All people who provide unpaid care,997
57,2001,E02002564,2001 super output areas - middle layer,305,People who provide unpaid care 1 to 19 hours a week,550
58,2001,E02002564,2001 super output areas - middle layer,305,People who provide unpaid care 20 to 49 hours a week,134
59,2001,E02002564,2001 super output areas - middle layer,305,People who provide unpaid care 50 or more hours a week,313
60,2001,E02002565,2001 super output areas - middle layer,305,All people,5534
61,2001,E02002565,2001 super output areas - middle layer,305,People with limiting long-term illness,940
62,2001,E02002565,2001 super output areas - middle layer,305,People of working age with limiting long-term illness,514
63,2001,E02002565,2001 super output areas - middle layer,305,People whose health was good,3779
64,2001,E02002565,2001 super output areas - middle layer,305,People whose health was fairly good,1288
65,2001,E02002565,2001 super output areas - middle layer,305,People whose health was not good,467
66,2001,E02002565,2001 super output areas - middle layer,305,All people who provide unpaid care,483
67,2001,E02002565,2001 super output areas - middle layer,305,People who provide unpaid care 1 to 19 hours a week,350
68,2001,E02002565,2001 super output areas - middle layer,305,People who provide unpaid care 20 to 49 hours a week,48
69,2001,E02002565,2001 super output areas - middle layer,305,People who provide unpaid care 50 or more hours a week,85
70,2001,E02002566,2001 super output areas - middle layer,305,All people,6372
71,2001,E02002566,2001 super output areas - middle layer,305,People with limiting long-term illness,1421
72,2001,E02002566,2001 super output areas - middle layer,305,People of working age with limiting long-term illness,814
73,2001,E02002566,2001 super output areas - middle layer,305,People whose health was good,4071
74,2001,E02002566,2001 super output areas - middle layer,305,People whose health was fairly good,1535
75,2001,E02002566,2001 super output areas - middle layer,305,People whose health was not good,766
76,2001,E02002566,2001 super output areas - middle layer,305,All people who provide unpaid care,480
77,2001,E02002566,2001 super output areas - middle layer,305,People who provide unpaid care 1 to 19 hours a week,303
78,2001,E02002566,2001 super output areas - middle layer,305,People who provide unpaid care 20 to 49 hours a week,59
79,2001,E02002566,2001 super output areas - middle layer,305,People who provide unpaid care 50 or more hours a week,118
80,2001,E02002567,2001 super output areas - middle layer,305,All people,6743
81,2001,E02002567,2001 super output areas - middle layer,305,People with limiting long-term illness,1556
82,2001,E02002567,2001 super output areas - middle layer,305,People of working age with limiting long-term illness,684
83,2001,E02002567,2001 super output areas - middle layer,305,People whose health was good,4242
84,2001,E02002567,2001 super output areas - middle layer,305,People whose health was fairly good,1744
85,2001,E02002567,2001 super output areas - middle layer,305,People whose health was not good,757
86,2001,E02002567,2001 super output areas - middle layer,305,All people who provide unpaid care,662
87,2001,E02002567,2001 super output areas - middle layer,305,People who provide unpaid care 1 to 19 hours a week,368
88,2001,E02002567,2001 super output areas - middle layer,305,People who provide unpaid care 20 to 49 hours a week,104
89,2001,E02002567,2001 super output areas - middle layer,305,People who provide unpaid care 50 or more hours a week,190
90,2001,E02002568,2001 super output areas - middle layer,305,All people,5395
91,2001,E02002568,2001 super output areas - middle layer,305,People with limiting long-term illness,1072
92,2001,E02002568,2001 super output areas - middle layer,305,People of working age with limiting long-term illness,326
93,2001,E02002568,2001 super output areas - middle layer,305,People whose health was good,3761
94,2001,E02002568,2001 super output areas - middle layer,305,People whose health was fairly good,1201
95,2001,E02002568,2001 super output areas - middle layer,305,People whose health was not good,433
96,2001,E02002568,2001 super output areas - middle layer,305,All people who provide unpaid care,565
97,2001,E02002568,2001 super output areas - middle layer,305,People who provide unpaid care 1 to 19 hours a week,437
98,2001,E02002568,2001 super output areas - middle layer,305,People who provide unpaid care 20 to 49 hours a week,46
99,2001,E02002568,2001 super output areas - middle layer,305,People who provide unpaid care 50 or more hours a week,82
100,2001,E02002569,2001 super output areas - middle layer,305,All people,9072
101,2001,E02002569,2001 super output areas - middle layer,305,People with limiting long-term illness,1735
102,2001,E02002569,2001 super output areas - middle layer,305,People of working age with limiting long-term illness,569
103,2001,E02002569,2001 super output areas - middle layer,305,People whose health was good,6314
104,2001,E02002569,2001 super output areas - middle layer,305,People whose health was fairly good,2020
105,2001,E02002569,2001 super output areas - middle layer,305,People whose health was not good,738
106,2001,E02002569,2001 super output areas - middle layer,305,All people who provide unpaid care,1208
107,2001,E02002569,2001 super output areas - middle layer,305,People who provide unpaid care 1 to 19 hours a week,918
108,2001,E02002569,2001 super output areas - middle layer,305,People who provide unpaid care 20 to 49 hours a week,93
109,2001,E02002569,2001 super output areas - middle layer,305,People who provide unpaid care 50 or more hours a week,197
