,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_TENHUK11_NAME,OBS_VALUE
0,2001,E02003199,2001 super output areas - middle layer,305,All categories: Tenure,3988
1,2001,E02003199,2001 super output areas - middle layer,305,Owned outright,1199
2,2001,E02003199,2001 super output areas - middle layer,305,Owned with a mortgage or loan,2009
3,2001,E02003199,2001 super output areas - middle layer,305,Shared ownership,35
4,2001,E02003199,2001 super output areas - middle layer,305,Rented from council(local authority),395
5,2001,E02003199,2001 super output areas - middle layer,305,Rented from a housing association/registered social landlord,122
6,2001,E02003199,2001 super output areas - middle layer,305,Rented from a private landlord or letting agency,165
7,2001,E02003199,2001 super output areas - middle layer,305,Other,63
8,2001,E02003200,2001 super output areas - middle layer,305,All categories: Tenure,4035
9,2001,E02003200,2001 super output areas - middle layer,305,Owned outright,1229
10,2001,E02003200,2001 super output areas - middle layer,305,Owned with a mortgage or loan,1653
11,2001,E02003200,2001 super output areas - middle layer,305,Shared ownership,36
12,2001,E02003200,2001 super output areas - middle layer,305,Rented from council(local authority),661
13,2001,E02003200,2001 super output areas - middle layer,305,Rented from a housing association/registered social landlord,139
14,2001,E02003200,2001 super output areas - middle layer,305,Rented from a private landlord or letting agency,210
15,2001,E02003200,2001 super output areas - middle layer,305,Other,107
16,2001,E02003201,2001 super output areas - middle layer,305,All categories: Tenure,4008
17,2001,E02003201,2001 super output areas - middle layer,305,Owned outright,1141
18,2001,E02003201,2001 super output areas - middle layer,305,Owned with a mortgage or loan,1767
19,2001,E02003201,2001 super output areas - middle layer,305,Shared ownership,34
20,2001,E02003201,2001 super output areas - middle layer,305,Rented from council(local authority),576
21,2001,E02003201,2001 super output areas - middle layer,305,Rented from a housing association/registered social landlord,67
22,2001,E02003201,2001 super output areas - middle layer,305,Rented from a private landlord or letting agency,311
23,2001,E02003201,2001 super output areas - middle layer,305,Other,112
24,2001,E02003202,2001 super output areas - middle layer,305,All categories: Tenure,2466
25,2001,E02003202,2001 super output areas - middle layer,305,Owned outright,771
26,2001,E02003202,2001 super output areas - middle layer,305,Owned with a mortgage or loan,1026
27,2001,E02003202,2001 super output areas - middle layer,305,Shared ownership,15
28,2001,E02003202,2001 super output areas - middle layer,305,Rented from council(local authority),20
29,2001,E02003202,2001 super output areas - middle layer,305,Rented from a housing association/registered social landlord,338
30,2001,E02003202,2001 super output areas - middle layer,305,Rented from a private landlord or letting agency,242
31,2001,E02003202,2001 super output areas - middle layer,305,Other,54
32,2001,E02003203,2001 super output areas - middle layer,305,All categories: Tenure,3004
33,2001,E02003203,2001 super output areas - middle layer,305,Owned outright,884
34,2001,E02003203,2001 super output areas - middle layer,305,Owned with a mortgage or loan,1566
35,2001,E02003203,2001 super output areas - middle layer,305,Shared ownership,42
36,2001,E02003203,2001 super output areas - middle layer,305,Rented from council(local authority),80
37,2001,E02003203,2001 super output areas - middle layer,305,Rented from a housing association/registered social landlord,72
38,2001,E02003203,2001 super output areas - middle layer,305,Rented from a private landlord or letting agency,307
39,2001,E02003203,2001 super output areas - middle layer,305,Other,53
40,2001,E02003204,2001 super output areas - middle layer,305,All categories: Tenure,3442
41,2001,E02003204,2001 super output areas - middle layer,305,Owned outright,1227
42,2001,E02003204,2001 super output areas - middle layer,305,Owned with a mortgage or loan,1328
43,2001,E02003204,2001 super output areas - middle layer,305,Shared ownership,9
44,2001,E02003204,2001 super output areas - middle layer,305,Rented from council(local authority),298
45,2001,E02003204,2001 super output areas - middle layer,305,Rented from a housing association/registered social landlord,213
46,2001,E02003204,2001 super output areas - middle layer,305,Rented from a private landlord or letting agency,285
47,2001,E02003204,2001 super output areas - middle layer,305,Other,82
48,2001,E02003205,2001 super output areas - middle layer,305,All categories: Tenure,3250
49,2001,E02003205,2001 super output areas - middle layer,305,Owned outright,1302
50,2001,E02003205,2001 super output areas - middle layer,305,Owned with a mortgage or loan,1519
51,2001,E02003205,2001 super output areas - middle layer,305,Shared ownership,8
52,2001,E02003205,2001 super output areas - middle layer,305,Rented from council(local authority),225
53,2001,E02003205,2001 super output areas - middle layer,305,Rented from a housing association/registered social landlord,12
