,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,DEPCHILD_NAME,OBS_VALUE
0,2001,E02002559,2001 super output areas - middle layer,305,All households,2664
1,2001,E02002559,2001 super output areas - middle layer,305,No adults in employment - with dependent children,46
2,2001,E02002559,2001 super output areas - middle layer,305,No adults in employment - without dependent children,673
3,2001,E02002559,2001 super output areas - middle layer,305,With dependent children - all ages,739
4,2001,E02002559,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,274
5,2001,E02002559,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,752
6,2001,E02002560,2001 super output areas - middle layer,305,All households,2422
7,2001,E02002560,2001 super output areas - middle layer,305,No adults in employment - with dependent children,70
8,2001,E02002560,2001 super output areas - middle layer,305,No adults in employment - without dependent children,635
9,2001,E02002560,2001 super output areas - middle layer,305,With dependent children - all ages,789
10,2001,E02002560,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,292
11,2001,E02002560,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,767
12,2001,E02002561,2001 super output areas - middle layer,305,All households,2468
13,2001,E02002561,2001 super output areas - middle layer,305,No adults in employment - with dependent children,72
14,2001,E02002561,2001 super output areas - middle layer,305,No adults in employment - without dependent children,635
15,2001,E02002561,2001 super output areas - middle layer,305,With dependent children - all ages,781
16,2001,E02002561,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,243
17,2001,E02002561,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,773
18,2001,E02002562,2001 super output areas - middle layer,305,All households,2816
19,2001,E02002562,2001 super output areas - middle layer,305,No adults in employment - with dependent children,185
20,2001,E02002562,2001 super output areas - middle layer,305,No adults in employment - without dependent children,1030
21,2001,E02002562,2001 super output areas - middle layer,305,With dependent children - all ages,827
22,2001,E02002562,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,323
23,2001,E02002562,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,1070
24,2001,E02002563,2001 super output areas - middle layer,305,All households,2368
25,2001,E02002563,2001 super output areas - middle layer,305,No adults in employment - with dependent children,130
26,2001,E02002563,2001 super output areas - middle layer,305,No adults in employment - without dependent children,850
27,2001,E02002563,2001 super output areas - middle layer,305,With dependent children - all ages,693
28,2001,E02002563,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,222
29,2001,E02002563,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,1002
30,2001,E02002564,2001 super output areas - middle layer,305,All households,3968
31,2001,E02002564,2001 super output areas - middle layer,305,No adults in employment - with dependent children,260
32,2001,E02002564,2001 super output areas - middle layer,305,No adults in employment - without dependent children,1444
33,2001,E02002564,2001 super output areas - middle layer,305,With dependent children - all ages,1272
34,2001,E02002564,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,472
35,2001,E02002564,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,1661
36,2001,E02002565,2001 super output areas - middle layer,305,All households,2597
37,2001,E02002565,2001 super output areas - middle layer,305,No adults in employment - with dependent children,136
38,2001,E02002565,2001 super output areas - middle layer,305,No adults in employment - without dependent children,701
39,2001,E02002565,2001 super output areas - middle layer,305,With dependent children - all ages,746
40,2001,E02002565,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,320
41,2001,E02002565,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,764
42,2001,E02002566,2001 super output areas - middle layer,305,All households,2984
43,2001,E02002566,2001 super output areas - middle layer,305,No adults in employment - with dependent children,198
44,2001,E02002566,2001 super output areas - middle layer,305,No adults in employment - without dependent children,1045
45,2001,E02002566,2001 super output areas - middle layer,305,With dependent children - all ages,758
46,2001,E02002566,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,336
47,2001,E02002566,2001 super output areas - middle layer,305,With one or more people with a limiting long-term illness,1056
48,2001,E02002567,2001 super output areas - middle layer,305,All households,2850
49,2001,E02002567,2001 super output areas - middle layer,305,No adults in employment - with dependent children,250
50,2001,E02002567,2001 super output areas - middle layer,305,No adults in employment - without dependent children,1021
51,2001,E02002567,2001 super output areas - middle layer,305,With dependent children - all ages,918
52,2001,E02002567,2001 super output areas - middle layer,305,With dependent children - aged 0 to 4,369
