,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_TENHUK11_NAME,OBS_VALUE
0,2001,E02002129,2001 super output areas - middle layer,305,All categories: Tenure,2397
1,2001,E02002129,2001 super output areas - middle layer,305,Owned outright,850
2,2001,E02002129,2001 super output areas - middle layer,305,Owned with a mortgage or loan,1010
3,2001,E02002129,2001 super output areas - middle layer,305,Shared ownership,0
4,2001,E02002129,2001 super output areas - middle layer,305,Rented from council(local authority),361
5,2001,E02002129,2001 super output areas - middle layer,305,Rented from a housing association/registered social landlord,25
6,2001,E02002129,2001 super output areas - middle layer,305,Rented from a private landlord or letting agency,74
7,2001,E02002129,2001 super output areas - middle layer,305,Other,77
8,2001,E02002130,2001 super output areas - middle layer,305,All categories: Tenure,2446
9,2001,E02002130,2001 super output areas - middle layer,305,Owned outright,480
10,2001,E02002130,2001 super output areas - middle layer,305,Owned with a mortgage or loan,825
11,2001,E02002130,2001 super output areas - middle layer,305,Shared ownership,14
12,2001,E02002130,2001 super output areas - middle layer,305,Rented from council(local authority),138
13,2001,E02002130,2001 super output areas - middle layer,305,Rented from a housing association/registered social landlord,781
14,2001,E02002130,2001 super output areas - middle layer,305,Rented from a private landlord or letting agency,115
15,2001,E02002130,2001 super output areas - middle layer,305,Other,93
16,2001,E02002131,2001 super output areas - middle layer,305,All categories: Tenure,3041
17,2001,E02002131,2001 super output areas - middle layer,305,Owned outright,1427
18,2001,E02002131,2001 super output areas - middle layer,305,Owned with a mortgage or loan,1330
19,2001,E02002131,2001 super output areas - middle layer,305,Shared ownership,3
20,2001,E02002131,2001 super output areas - middle layer,305,Rented from council(local authority),164
21,2001,E02002131,2001 super output areas - middle layer,305,Rented from a housing association/registered social landlord,12
22,2001,E02002131,2001 super output areas - middle layer,305,Rented from a private landlord or letting agency,54
23,2001,E02002131,2001 super output areas - middle layer,305,Other,51
24,2001,E02002132,2001 super output areas - middle layer,305,All categories: Tenure,2427
25,2001,E02002132,2001 super output areas - middle layer,305,Owned outright,525
26,2001,E02002132,2001 super output areas - middle layer,305,Owned with a mortgage or loan,692
27,2001,E02002132,2001 super output areas - middle layer,305,Shared ownership,3
28,2001,E02002132,2001 super output areas - middle layer,305,Rented from council(local authority),1039
29,2001,E02002132,2001 super output areas - middle layer,305,Rented from a housing association/registered social landlord,21
30,2001,E02002132,2001 super output areas - middle layer,305,Rented from a private landlord or letting agency,36
31,2001,E02002132,2001 super output areas - middle layer,305,Other,111
32,2001,E02002133,2001 super output areas - middle layer,305,All categories: Tenure,2738
33,2001,E02002133,2001 super output areas - middle layer,305,Owned outright,778
34,2001,E02002133,2001 super output areas - middle layer,305,Owned with a mortgage or loan,713
35,2001,E02002133,2001 super output areas - middle layer,305,Shared ownership,41
36,2001,E02002133,2001 super output areas - middle layer,305,Rented from council(local authority),478
37,2001,E02002133,2001 super output areas - middle layer,305,Rented from a housing association/registered social landlord,402
38,2001,E02002133,2001 super output areas - middle layer,305,Rented from a private landlord or letting agency,219
39,2001,E02002133,2001 super output areas - middle layer,305,Other,107
40,2001,E02002134,2001 super output areas - middle layer,305,All categories: Tenure,3006
41,2001,E02002134,2001 super output areas - middle layer,305,Owned outright,672
42,2001,E02002134,2001 super output areas - middle layer,305,Owned with a mortgage or loan,1007
43,2001,E02002134,2001 super output areas - middle layer,305,Shared ownership,53
44,2001,E02002134,2001 super output areas - middle layer,305,Rented from council(local authority),819
45,2001,E02002134,2001 super output areas - middle layer,305,Rented from a housing association/registered social landlord,150
46,2001,E02002134,2001 super output areas - middle layer,305,Rented from a private landlord or letting agency,196
47,2001,E02002134,2001 super output areas - middle layer,305,Other,109
48,2001,E02002135,2001 super output areas - middle layer,305,All categories: Tenure,2370
49,2001,E02002135,2001 super output areas - middle layer,305,Owned outright,540
50,2001,E02002135,2001 super output areas - middle layer,305,Owned with a mortgage or loan,732
51,2001,E02002135,2001 super output areas - middle layer,305,Shared ownership,7
52,2001,E02002135,2001 super output areas - middle layer,305,Rented from council(local authority),604
53,2001,E02002135,2001 super output areas - middle layer,305,Rented from a housing association/registered social landlord,124
54,2001,E02002135,2001 super output areas - middle layer,305,Rented from a private landlord or letting agency,189
55,2001,E02002135,2001 super output areas - middle layer,305,Other,174
56,2001,E02002136,2001 super output areas - middle layer,305,All categories: Tenure,2605
57,2001,E02002136,2001 super output areas - middle layer,305,Owned outright,475
58,2001,E02002136,2001 super output areas - middle layer,305,Owned with a mortgage or loan,939
59,2001,E02002136,2001 super output areas - middle layer,305,Shared ownership,35
60,2001,E02002136,2001 super output areas - middle layer,305,Rented from council(local authority),787
61,2001,E02002136,2001 super output areas - middle layer,305,Rented from a housing association/registered social landlord,58
62,2001,E02002136,2001 super output areas - middle layer,305,Rented from a private landlord or letting agency,201
