,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,COMMTYPE_NAME,OBS_VALUE
0,2001,E02002310,2001 super output areas - middle layer,305,Medical and care establishments - Other,0
1,2001,E02002310,2001 super output areas - middle layer,305,Other establishments,24
2,2001,E02002310,2001 super output areas - middle layer,305,Residents in establishments with limiting long-term illness - medical and care establishments,71
3,2001,E02002310,2001 super output areas - middle layer,305,Residents in establishments with limiting long-term illness - other establishments,24
4,2001,E02002311,2001 super output areas - middle layer,305,All communal establishments,4
5,2001,E02002311,2001 super output areas - middle layer,305,Number of residents by communal establishment type,49
6,2001,E02002311,2001 super output areas - middle layer,305,Medical and care establishments - NHS - Psychiatric hospital / home,11
7,2001,E02002311,2001 super output areas - middle layer,305,Medical and care establishments - NHS - Other hospital home,0
8,2001,E02002311,2001 super output areas - middle layer,305,Medical and care establishments - Local Authority - Children's home,0
9,2001,E02002311,2001 super output areas - middle layer,305,Medical and care establishments - Local Authority - Other,0
10,2001,E02002311,2001 super output areas - middle layer,305,Medical and care establishments - Housing association,0
11,2001,E02002311,2001 super output areas - middle layer,305,Medical and care establishments - Other - Nursing home,0
12,2001,E02002311,2001 super output areas - middle layer,305,Medical and care establishments - Other - Residential care home,38
13,2001,E02002311,2001 super output areas - middle layer,305,Medical and care establishments - Other - Children's home,0
14,2001,E02002311,2001 super output areas - middle layer,305,Medical and care establishments - Other,0
15,2001,E02002311,2001 super output areas - middle layer,305,Other establishments,0
16,2001,E02002311,2001 super output areas - middle layer,305,Residents in establishments with limiting long-term illness - medical and care establishments,49
17,2001,E02002311,2001 super output areas - middle layer,305,Residents in establishments with limiting long-term illness - other establishments,0
18,2001,E02002312,2001 super output areas - middle layer,305,All communal establishments,4
19,2001,E02002312,2001 super output areas - middle layer,305,Number of residents by communal establishment type,493
20,2001,E02002312,2001 super output areas - middle layer,305,Medical and care establishments - NHS - Psychiatric hospital / home,0
21,2001,E02002312,2001 super output areas - middle layer,305,Medical and care establishments - NHS - Other hospital home,0
22,2001,E02002312,2001 super output areas - middle layer,305,Medical and care establishments - Local Authority - Children's home,0
23,2001,E02002312,2001 super output areas - middle layer,305,Medical and care establishments - Local Authority - Other,9
24,2001,E02002312,2001 super output areas - middle layer,305,Medical and care establishments - Housing association,0
25,2001,E02002312,2001 super output areas - middle layer,305,Medical and care establishments - Other - Nursing home,39
26,2001,E02002312,2001 super output areas - middle layer,305,Medical and care establishments - Other - Residential care home,21
27,2001,E02002312,2001 super output areas - middle layer,305,Medical and care establishments - Other - Children's home,0
28,2001,E02002312,2001 super output areas - middle layer,305,Medical and care establishments - Other,0
29,2001,E02002312,2001 super output areas - middle layer,305,Other establishments,424
30,2001,E02002312,2001 super output areas - middle layer,305,Residents in establishments with limiting long-term illness - medical and care establishments,69
31,2001,E02002312,2001 super output areas - middle layer,305,Residents in establishments with limiting long-term illness - other establishments,11
32,2001,E02002313,2001 super output areas - middle layer,305,All communal establishments,4
33,2001,E02002313,2001 super output areas - middle layer,305,Number of residents by communal establishment type,60
34,2001,E02002313,2001 super output areas - middle layer,305,Medical and care establishments - NHS - Psychiatric hospital / home,0
35,2001,E02002313,2001 super output areas - middle layer,305,Medical and care establishments - NHS - Other hospital home,0
36,2001,E02002313,2001 super output areas - middle layer,305,Medical and care establishments - Local Authority - Children's home,0
37,2001,E02002313,2001 super output areas - middle layer,305,Medical and care establishments - Local Authority - Other,0
38,2001,E02002313,2001 super output areas - middle layer,305,Medical and care establishments - Housing association,34
39,2001,E02002313,2001 super output areas - middle layer,305,Medical and care establishments - Other - Nursing home,0
40,2001,E02002313,2001 super output areas - middle layer,305,Medical and care establishments - Other - Residential care home,14
41,2001,E02002313,2001 super output areas - middle layer,305,Medical and care establishments - Other - Children's home,0
42,2001,E02002313,2001 super output areas - middle layer,305,Medical and care establishments - Other,0
43,2001,E02002313,2001 super output areas - middle layer,305,Other establishments,12
44,2001,E02002313,2001 super output areas - middle layer,305,Residents in establishments with limiting long-term illness - medical and care establishments,48
45,2001,E02002313,2001 super output areas - middle layer,305,Residents in establishments with limiting long-term illness - other establishments,10
46,2001,E02002314,2001 super output areas - middle layer,305,All communal establishments,3
47,2001,E02002314,2001 super output areas - middle layer,305,Number of residents by communal establishment type,71
48,2001,E02002314,2001 super output areas - middle layer,305,Medical and care establishments - NHS - Psychiatric hospital / home,0
49,2001,E02002314,2001 super output areas - middle layer,305,Medical and care establishments - NHS - Other hospital home,0
50,2001,E02002314,2001 super output areas - middle layer,305,Medical and care establishments - Local Authority - Children's home,0
51,2001,E02002314,2001 super output areas - middle layer,305,Medical and care establishments - Local Authority - Other,0
52,2001,E02002314,2001 super output areas - middle layer,305,Medical and care establishments - Housing association,0
53,2001,E02002314,2001 super output areas - middle layer,305,Medical and care establishments - Other - Nursing home,71
54,2001,E02002314,2001 super output areas - middle layer,305,Medical and care establishments - Other - Residential care home,0
55,2001,E02002314,2001 super output areas - middle layer,305,Medical and care establishments - Other - Children's home,0
56,2001,E02002314,2001 super output areas - middle layer,305,Medical and care establishments - Other,0
57,2001,E02002314,2001 super output areas - middle layer,305,Other establishments,0
58,2001,E02002314,2001 super output areas - middle layer,305,Residents in establishments with limiting long-term illness - medical and care establishments,70
59,2001,E02002314,2001 super output areas - middle layer,305,Residents in establishments with limiting long-term illness - other establishments,0
60,2001,E02002315,2001 super output areas - middle layer,305,All communal establishments,3
61,2001,E02002315,2001 super output areas - middle layer,305,Number of residents by communal establishment type,31
62,2001,E02002315,2001 super output areas - middle layer,305,Medical and care establishments - NHS - Psychiatric hospital / home,0
63,2001,E02002315,2001 super output areas - middle layer,305,Medical and care establishments - NHS - Other hospital home,0
64,2001,E02002315,2001 super output areas - middle layer,305,Medical and care establishments - Local Authority - Children's home,0
65,2001,E02002315,2001 super output areas - middle layer,305,Medical and care establishments - Local Authority - Other,0
66,2001,E02002315,2001 super output areas - middle layer,305,Medical and care establishments - Housing association,0
67,2001,E02002315,2001 super output areas - middle layer,305,Medical and care establishments - Other - Nursing home,0
68,2001,E02002315,2001 super output areas - middle layer,305,Medical and care establishments - Other - Residential care home,0
69,2001,E02002315,2001 super output areas - middle layer,305,Medical and care establishments - Other - Children's home,0
70,2001,E02002315,2001 super output areas - middle layer,305,Medical and care establishments - Other,0
71,2001,E02002315,2001 super output areas - middle layer,305,Other establishments,31
72,2001,E02002315,2001 super output areas - middle layer,305,Residents in establishments with limiting long-term illness - medical and care establishments,0
73,2001,E02002315,2001 super output areas - middle layer,305,Residents in establishments with limiting long-term illness - other establishments,31
74,2001,E02002316,2001 super output areas - middle layer,305,All communal establishments,0
75,2001,E02002316,2001 super output areas - middle layer,305,Number of residents by communal establishment type,0
76,2001,E02002316,2001 super output areas - middle layer,305,Medical and care establishments - NHS - Psychiatric hospital / home,0
77,2001,E02002316,2001 super output areas - middle layer,305,Medical and care establishments - NHS - Other hospital home,0
78,2001,E02002316,2001 super output areas - middle layer,305,Medical and care establishments - Local Authority - Children's home,0
79,2001,E02002316,2001 super output areas - middle layer,305,Medical and care establishments - Local Authority - Other,0
80,2001,E02002316,2001 super output areas - middle layer,305,Medical and care establishments - Housing association,0
81,2001,E02002316,2001 super output areas - middle layer,305,Medical and care establishments - Other - Nursing home,0
82,2001,E02002316,2001 super output areas - middle layer,305,Medical and care establishments - Other - Residential care home,0
83,2001,E02002316,2001 super output areas - middle layer,305,Medical and care establishments - Other - Children's home,0
84,2001,E02002316,2001 super output areas - middle layer,305,Medical and care establishments - Other,0
85,2001,E02002316,2001 super output areas - middle layer,305,Other establishments,0
86,2001,E02002316,2001 super output areas - middle layer,305,Residents in establishments with limiting long-term illness - medical and care establishments,0
87,2001,E02002316,2001 super output areas - middle layer,305,Residents in establishments with limiting long-term illness - other establishments,0
88,2001,E02002317,2001 super output areas - middle layer,305,All communal establishments,7
89,2001,E02002317,2001 super output areas - middle layer,305,Number of residents by communal establishment type,74
90,2001,E02002317,2001 super output areas - middle layer,305,Medical and care establishments - NHS - Psychiatric hospital / home,61
91,2001,E02002317,2001 super output areas - middle layer,305,Medical and care establishments - NHS - Other hospital home,0
92,2001,E02002317,2001 super output areas - middle layer,305,Medical and care establishments - Local Authority - Children's home,0
93,2001,E02002317,2001 super output areas - middle layer,305,Medical and care establishments - Local Authority - Other,4
94,2001,E02002317,2001 super output areas - middle layer,305,Medical and care establishments - Housing association,0
95,2001,E02002317,2001 super output areas - middle layer,305,Medical and care establishments - Other - Nursing home,0
96,2001,E02002317,2001 super output areas - middle layer,305,Medical and care establishments - Other - Residential care home,6
97,2001,E02002317,2001 super output areas - middle layer,305,Medical and care establishments - Other - Children's home,0
98,2001,E02002317,2001 super output areas - middle layer,305,Medical and care establishments - Other,0
99,2001,E02002317,2001 super output areas - middle layer,305,Other establishments,3
100,2001,E02002317,2001 super output areas - middle layer,305,Residents in establishments with limiting long-term illness - medical and care establishments,66
101,2001,E02002317,2001 super output areas - middle layer,305,Residents in establishments with limiting long-term illness - other establishments,3
102,2001,E02002318,2001 super output areas - middle layer,305,All communal establishments,0
103,2001,E02002318,2001 super output areas - middle layer,305,Number of residents by communal establishment type,30
104,2001,E02002318,2001 super output areas - middle layer,305,Medical and care establishments - NHS - Psychiatric hospital / home,0
