,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_TENHUK11_NAME,OBS_VALUE
0,2001,E02002559,2001 super output areas - middle layer,305,All categories: Tenure,2664
1,2001,E02002559,2001 super output areas - middle layer,305,Owned outright,926
2,2001,E02002559,2001 super output areas - middle layer,305,Owned with a mortgage or loan,1306
3,2001,E02002559,2001 super output areas - middle layer,305,Shared ownership,4
4,2001,E02002559,2001 super output areas - middle layer,305,Rented from council(local authority),143
5,2001,E02002559,2001 super output areas - middle layer,305,Rented from a housing association/registered social landlord,5
6,2001,E02002559,2001 super output areas - middle layer,305,Rented from a private landlord or letting agency,187
7,2001,E02002559,2001 super output areas - middle layer,305,Other,93
8,2001,E02002560,2001 super output areas - middle layer,305,All categories: Tenure,2421
9,2001,E02002560,2001 super output areas - middle layer,305,Owned outright,768
10,2001,E02002560,2001 super output areas - middle layer,305,Owned with a mortgage or loan,1409
11,2001,E02002560,2001 super output areas - middle layer,305,Shared ownership,0
12,2001,E02002560,2001 super output areas - middle layer,305,Rented from council(local authority),91
13,2001,E02002560,2001 super output areas - middle layer,305,Rented from a housing association/registered social landlord,14
14,2001,E02002560,2001 super output areas - middle layer,305,Rented from a private landlord or letting agency,115
15,2001,E02002560,2001 super output areas - middle layer,305,Other,24
16,2001,E02002561,2001 super output areas - middle layer,305,All categories: Tenure,2468
17,2001,E02002561,2001 super output areas - middle layer,305,Owned outright,717
18,2001,E02002561,2001 super output areas - middle layer,305,Owned with a mortgage or loan,1359
19,2001,E02002561,2001 super output areas - middle layer,305,Shared ownership,9
20,2001,E02002561,2001 super output areas - middle layer,305,Rented from council(local authority),104
21,2001,E02002561,2001 super output areas - middle layer,305,Rented from a housing association/registered social landlord,181
22,2001,E02002561,2001 super output areas - middle layer,305,Rented from a private landlord or letting agency,77
23,2001,E02002561,2001 super output areas - middle layer,305,Other,21
24,2001,E02002562,2001 super output areas - middle layer,305,All categories: Tenure,2816
25,2001,E02002562,2001 super output areas - middle layer,305,Owned outright,566
26,2001,E02002562,2001 super output areas - middle layer,305,Owned with a mortgage or loan,1104
27,2001,E02002562,2001 super output areas - middle layer,305,Shared ownership,5
28,2001,E02002562,2001 super output areas - middle layer,305,Rented from council(local authority),504
29,2001,E02002562,2001 super output areas - middle layer,305,Rented from a housing association/registered social landlord,168
30,2001,E02002562,2001 super output areas - middle layer,305,Rented from a private landlord or letting agency,407
31,2001,E02002562,2001 super output areas - middle layer,305,Other,62
32,2001,E02002563,2001 super output areas - middle layer,305,All categories: Tenure,2368
33,2001,E02002563,2001 super output areas - middle layer,305,Owned outright,538
34,2001,E02002563,2001 super output areas - middle layer,305,Owned with a mortgage or loan,990
35,2001,E02002563,2001 super output areas - middle layer,305,Shared ownership,10
36,2001,E02002563,2001 super output areas - middle layer,305,Rented from council(local authority),647
37,2001,E02002563,2001 super output areas - middle layer,305,Rented from a housing association/registered social landlord,79
38,2001,E02002563,2001 super output areas - middle layer,305,Rented from a private landlord or letting agency,61
39,2001,E02002563,2001 super output areas - middle layer,305,Other,43
40,2001,E02002564,2001 super output areas - middle layer,305,All categories: Tenure,3968
