,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HHSIZE_10_NAME,OBS_VALUE
0,2021,E01023017,2021 super output areas - lower layer,151,Total: All households,806
1,2021,E01023017,2021 super output areas - lower layer,151,0 people in household,0
2,2021,E01023017,2021 super output areas - lower layer,151,1 person in household,204
3,2021,E01023017,2021 super output areas - lower layer,151,2 people in household,320
4,2021,E01023017,2021 super output areas - lower layer,151,3 people in household,116
5,2021,E01023017,2021 super output areas - lower layer,151,4 people in household,106
6,2021,E01023017,2021 super output areas - lower layer,151,5 people in household,47
7,2021,E01023017,2021 super output areas - lower layer,151,6 people in household,6
8,2021,E01023017,2021 super output areas - lower layer,151,7 people in household,3
9,2021,E01023017,2021 super output areas - lower layer,151,8 or more people in household,4
10,2021,E01023018,2021 super output areas - lower layer,151,Total: All households,688
11,2021,E01023018,2021 super output areas - lower layer,151,0 people in household,0
12,2021,E01023018,2021 super output areas - lower layer,151,1 person in household,253
13,2021,E01023018,2021 super output areas - lower layer,151,2 people in household,269
14,2021,E01023018,2021 super output areas - lower layer,151,3 people in household,74
15,2021,E01023018,2021 super output areas - lower layer,151,4 people in household,50
16,2021,E01023018,2021 super output areas - lower layer,151,5 people in household,32
17,2021,E01023018,2021 super output areas - lower layer,151,6 people in household,8
18,2021,E01023018,2021 super output areas - lower layer,151,7 people in household,1
19,2021,E01023018,2021 super output areas - lower layer,151,8 or more people in household,1
20,2021,E01023019,2021 super output areas - lower layer,151,Total: All households,668
21,2021,E01023019,2021 super output areas - lower layer,151,0 people in household,0
22,2021,E01023019,2021 super output areas - lower layer,151,1 person in household,255
23,2021,E01023019,2021 super output areas - lower layer,151,2 people in household,214
24,2021,E01023019,2021 super output areas - lower layer,151,3 people in household,109
25,2021,E01023019,2021 super output areas - lower layer,151,4 people in household,69
26,2021,E01023019,2021 super output areas - lower layer,151,5 people in household,18
27,2021,E01023019,2021 super output areas - lower layer,151,6 people in household,3
28,2021,E01023019,2021 super output areas - lower layer,151,7 people in household,0
29,2021,E01023019,2021 super output areas - lower layer,151,8 or more people in household,0
30,2021,E01023055,2021 super output areas - lower layer,151,Total: All households,514
31,2021,E01023055,2021 super output areas - lower layer,151,0 people in household,0
32,2021,E01023055,2021 super output areas - lower layer,151,1 person in household,133
33,2021,E01023055,2021 super output areas - lower layer,151,2 people in household,160
34,2021,E01023055,2021 super output areas - lower layer,151,3 people in household,93
35,2021,E01023055,2021 super output areas - lower layer,151,4 people in household,74
36,2021,E01023055,2021 super output areas - lower layer,151,5 people in household,31
37,2021,E01023055,2021 super output areas - lower layer,151,6 people in household,12
38,2021,E01023055,2021 super output areas - lower layer,151,7 people in household,8
39,2021,E01023055,2021 super output areas - lower layer,151,8 or more people in household,3
40,2021,E01022986,2021 super output areas - lower layer,151,Total: All households,648
41,2021,E01022986,2021 super output areas - lower layer,151,0 people in household,0
42,2021,E01022986,2021 super output areas - lower layer,151,1 person in household,188
43,2021,E01022986,2021 super output areas - lower layer,151,2 people in household,268
44,2021,E01022986,2021 super output areas - lower layer,151,3 people in household,97
45,2021,E01022986,2021 super output areas - lower layer,151,4 people in household,65
46,2021,E01022986,2021 super output areas - lower layer,151,5 people in household,21
47,2021,E01022986,2021 super output areas - lower layer,151,6 people in household,6
48,2021,E01022986,2021 super output areas - lower layer,151,7 people in household,0
49,2021,E01022986,2021 super output areas - lower layer,151,8 or more people in household,3
50,2021,E01022988,2021 super output areas - lower layer,151,Total: All households,640
51,2021,E01022988,2021 super output areas - lower layer,151,0 people in household,0
52,2021,E01022988,2021 super output areas - lower layer,151,1 person in household,218
53,2021,E01022988,2021 super output areas - lower layer,151,2 people in household,231
54,2021,E01022988,2021 super output areas - lower layer,151,3 people in household,85
55,2021,E01022988,2021 super output areas - lower layer,151,4 people in household,71
56,2021,E01022988,2021 super output areas - lower layer,151,5 people in household,26
57,2021,E01022988,2021 super output areas - lower layer,151,6 people in household,6
58,2021,E01022988,2021 super output areas - lower layer,151,7 people in household,2
59,2021,E01022988,2021 super output areas - lower layer,151,8 or more people in household,1
60,2021,E01023054,2021 super output areas - lower layer,151,Total: All households,860
61,2021,E01023054,2021 super output areas - lower layer,151,0 people in household,0
62,2021,E01023054,2021 super output areas - lower layer,151,1 person in household,316
63,2021,E01023054,2021 super output areas - lower layer,151,2 people in household,336
64,2021,E01023054,2021 super output areas - lower layer,151,3 people in household,106
65,2021,E01023054,2021 super output areas - lower layer,151,4 people in household,71
66,2021,E01023054,2021 super output areas - lower layer,151,5 people in household,23
67,2021,E01023054,2021 super output areas - lower layer,151,6 people in household,2
68,2021,E01023054,2021 super output areas - lower layer,151,7 people in household,6
