,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HHLANG_5_NAME,OBS_VALUE
0,2021,E01000317,2021 super output areas - lower layer,151,Total: All households,641
1,2021,E01000317,2021 super output areas - lower layer,151,"All adults in household have English in England, or English or Welsh in Wales as a main language",434
2,2021,E01000317,2021 super output areas - lower layer,151,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",70
3,2021,E01000317,2021 super output areas - lower layer,151,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",19
4,2021,E01000317,2021 super output areas - lower layer,151,"No people in household have English in England, or English or Welsh in Wales as a main language",118
5,2021,E01000318,2021 super output areas - lower layer,151,Total: All households,634
6,2021,E01000318,2021 super output areas - lower layer,151,"All adults in household have English in England, or English or Welsh in Wales as a main language",386
7,2021,E01000318,2021 super output areas - lower layer,151,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",129
8,2021,E01000318,2021 super output areas - lower layer,151,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",20
9,2021,E01000318,2021 super output areas - lower layer,151,"No people in household have English in England, or English or Welsh in Wales as a main language",99
10,2021,E01000323,2021 super output areas - lower layer,151,Total: All households,1019
11,2021,E01000323,2021 super output areas - lower layer,151,"All adults in household have English in England, or English or Welsh in Wales as a main language",614
12,2021,E01000323,2021 super output areas - lower layer,151,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",87
13,2021,E01000323,2021 super output areas - lower layer,151,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",40
14,2021,E01000323,2021 super output areas - lower layer,151,"No people in household have English in England, or English or Welsh in Wales as a main language",278
15,2021,E01000276,2021 super output areas - lower layer,151,Total: All households,496
16,2021,E01000276,2021 super output areas - lower layer,151,"All adults in household have English in England, or English or Welsh in Wales as a main language",382
17,2021,E01000276,2021 super output areas - lower layer,151,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",52
18,2021,E01000276,2021 super output areas - lower layer,151,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",15
19,2021,E01000276,2021 super output areas - lower layer,151,"No people in household have English in England, or English or Welsh in Wales as a main language",47
20,2021,E01000278,2021 super output areas - lower layer,151,Total: All households,503
21,2021,E01000278,2021 super output areas - lower layer,151,"All adults in household have English in England, or English or Welsh in Wales as a main language",375
22,2021,E01000278,2021 super output areas - lower layer,151,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",53
23,2021,E01000278,2021 super output areas - lower layer,151,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",13
24,2021,E01000278,2021 super output areas - lower layer,151,"No people in household have English in England, or English or Welsh in Wales as a main language",62
25,2021,E01000301,2021 super output areas - lower layer,151,Total: All households,535
26,2021,E01000301,2021 super output areas - lower layer,151,"All adults in household have English in England, or English or Welsh in Wales as a main language",378
27,2021,E01000301,2021 super output areas - lower layer,151,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",64
28,2021,E01000301,2021 super output areas - lower layer,151,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",19
29,2021,E01000301,2021 super output areas - lower layer,151,"No people in household have English in England, or English or Welsh in Wales as a main language",74
30,2021,E01000303,2021 super output areas - lower layer,151,Total: All households,534
31,2021,E01000303,2021 super output areas - lower layer,151,"All adults in household have English in England, or English or Welsh in Wales as a main language",366
32,2021,E01000303,2021 super output areas - lower layer,151,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",71
