,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_RESTYPE_3_NAME,OBS_VALUE
0,2021,E01016217,2021 super output areas - lower layer,151,Total: All usual residents,1380
1,2021,E01016217,2021 super output areas - lower layer,151,Lives in a household,1380
2,2021,E01016217,2021 super output areas - lower layer,151,Lives in a communal establishment,0
3,2021,E01016218,2021 super output areas - lower layer,151,Total: All usual residents,1390
4,2021,E01016218,2021 super output areas - lower layer,151,Lives in a household,1390
5,2021,E01016218,2021 super output areas - lower layer,151,Lives in a communal establishment,0
6,2021,E01016231,2021 super output areas - lower layer,151,Total: All usual residents,1952
7,2021,E01016231,2021 super output areas - lower layer,151,Lives in a household,1951
8,2021,E01016231,2021 super output areas - lower layer,151,Lives in a communal establishment,1
9,2021,E01016232,2021 super output areas - lower layer,151,Total: All usual residents,1432
10,2021,E01016232,2021 super output areas - lower layer,151,Lives in a household,1432
11,2021,E01016232,2021 super output areas - lower layer,151,Lives in a communal establishment,0
12,2021,E01016212,2021 super output areas - lower layer,151,Total: All usual residents,1339
13,2021,E01016212,2021 super output areas - lower layer,151,Lives in a household,1339
14,2021,E01016212,2021 super output areas - lower layer,151,Lives in a communal establishment,0
15,2021,E01016216,2021 super output areas - lower layer,151,Total: All usual residents,1349
16,2021,E01016216,2021 super output areas - lower layer,151,Lives in a household,1349
17,2021,E01016216,2021 super output areas - lower layer,151,Lives in a communal establishment,0
18,2021,E01016219,2021 super output areas - lower layer,151,Total: All usual residents,1326
19,2021,E01016219,2021 super output areas - lower layer,151,Lives in a household,1326
20,2021,E01016219,2021 super output areas - lower layer,151,Lives in a communal establishment,0
21,2021,E01016220,2021 super output areas - lower layer,151,Total: All usual residents,1424
22,2021,E01016220,2021 super output areas - lower layer,151,Lives in a household,1392
23,2021,E01016220,2021 super output areas - lower layer,151,Lives in a communal establishment,32
24,2021,E01016221,2021 super output areas - lower layer,151,Total: All usual residents,1285
25,2021,E01016221,2021 super output areas - lower layer,151,Lives in a household,1285
26,2021,E01016221,2021 super output areas - lower layer,151,Lives in a communal establishment,0
27,2021,E01016206,2021 super output areas - lower layer,151,Total: All usual residents,1941
28,2021,E01016206,2021 super output areas - lower layer,151,Lives in a household,1941
29,2021,E01016206,2021 super output areas - lower layer,151,Lives in a communal establishment,0
30,2021,E01016208,2021 super output areas - lower layer,151,Total: All usual residents,2110
31,2021,E01016208,2021 super output areas - lower layer,151,Lives in a household,2072
32,2021,E01016208,2021 super output areas - lower layer,151,Lives in a communal establishment,38
33,2021,E01016229,2021 super output areas - lower layer,151,Total: All usual residents,1133
34,2021,E01016229,2021 super output areas - lower layer,151,Lives in a household,1133
35,2021,E01016229,2021 super output areas - lower layer,151,Lives in a communal establishment,0
36,2021,E01016230,2021 super output areas - lower layer,151,Total: All usual residents,1914
37,2021,E01016230,2021 super output areas - lower layer,151,Lives in a household,941
38,2021,E01016230,2021 super output areas - lower layer,151,Lives in a communal establishment,973
39,2021,E01016207,2021 super output areas - lower layer,151,Total: All usual residents,2005
40,2021,E01016207,2021 super output areas - lower layer,151,Lives in a household,1837
41,2021,E01016207,2021 super output areas - lower layer,151,Lives in a communal establishment,168
42,2021,E01016234,2021 super output areas - lower layer,151,Total: All usual residents,1106
43,2021,E01016234,2021 super output areas - lower layer,151,Lives in a household,1106
44,2021,E01016234,2021 super output areas - lower layer,151,Lives in a communal establishment,0
45,2021,E01016235,2021 super output areas - lower layer,151,Total: All usual residents,1237
46,2021,E01016235,2021 super output areas - lower layer,151,Lives in a household,1237
47,2021,E01016235,2021 super output areas - lower layer,151,Lives in a communal establishment,0
48,2021,E01016236,2021 super output areas - lower layer,151,Total: All usual residents,1522
49,2021,E01016236,2021 super output areas - lower layer,151,Lives in a household,1522
50,2021,E01016236,2021 super output areas - lower layer,151,Lives in a communal establishment,0
51,2021,E01016237,2021 super output areas - lower layer,151,Total: All usual residents,1143
52,2021,E01016237,2021 super output areas - lower layer,151,Lives in a household,1143
53,2021,E01016237,2021 super output areas - lower layer,151,Lives in a communal establishment,0
54,2021,E01016192,2021 super output areas - lower layer,151,Total: All usual residents,1381
55,2021,E01016192,2021 super output areas - lower layer,151,Lives in a household,1367
56,2021,E01016192,2021 super output areas - lower layer,151,Lives in a communal establishment,14
