,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_DISABILITY_5_NAME,OBS_VALUE
0,2021,E01024777,2021 super output areas - lower layer,151,Disabled under the Equality Act: Day-to-day activities limited a little,138
1,2021,E01024777,2021 super output areas - lower layer,151,Not disabled under the Equality Act,898
2,2021,E01024777,2021 super output areas - lower layer,151,Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,94
3,2021,E01024777,2021 super output areas - lower layer,151,Not disabled under the Equality Act: No long term physical or mental health conditions,804
4,2021,E01024734,2021 super output areas - lower layer,151,Total: All usual residents,1637
5,2021,E01024734,2021 super output areas - lower layer,151,Disabled under the Equality Act,296
6,2021,E01024734,2021 super output areas - lower layer,151,Disabled under the Equality Act: Day-to-day activities limited a lot,127
7,2021,E01024734,2021 super output areas - lower layer,151,Disabled under the Equality Act: Day-to-day activities limited a little,169
8,2021,E01024734,2021 super output areas - lower layer,151,Not disabled under the Equality Act,1341
9,2021,E01024734,2021 super output areas - lower layer,151,Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,135
10,2021,E01024734,2021 super output areas - lower layer,151,Not disabled under the Equality Act: No long term physical or mental health conditions,1206
11,2021,E01024752,2021 super output areas - lower layer,151,Total: All usual residents,1661
12,2021,E01024752,2021 super output areas - lower layer,151,Disabled under the Equality Act,223
13,2021,E01024752,2021 super output areas - lower layer,151,Disabled under the Equality Act: Day-to-day activities limited a lot,72
14,2021,E01024752,2021 super output areas - lower layer,151,Disabled under the Equality Act: Day-to-day activities limited a little,151
15,2021,E01024752,2021 super output areas - lower layer,151,Not disabled under the Equality Act,1438
16,2021,E01024752,2021 super output areas - lower layer,151,Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,148
17,2021,E01024752,2021 super output areas - lower layer,151,Not disabled under the Equality Act: No long term physical or mental health conditions,1290
18,2021,E01024753,2021 super output areas - lower layer,151,Total: All usual residents,1577
19,2021,E01024753,2021 super output areas - lower layer,151,Disabled under the Equality Act,225
20,2021,E01024753,2021 super output areas - lower layer,151,Disabled under the Equality Act: Day-to-day activities limited a lot,101
21,2021,E01024753,2021 super output areas - lower layer,151,Disabled under the Equality Act: Day-to-day activities limited a little,124
22,2021,E01024753,2021 super output areas - lower layer,151,Not disabled under the Equality Act,1352
23,2021,E01024753,2021 super output areas - lower layer,151,Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,146
24,2021,E01024753,2021 super output areas - lower layer,151,Not disabled under the Equality Act: No long term physical or mental health conditions,1206
25,2021,E01024754,2021 super output areas - lower layer,151,Total: All usual residents,1737
26,2021,E01024754,2021 super output areas - lower layer,151,Disabled under the Equality Act,194
27,2021,E01024754,2021 super output areas - lower layer,151,Disabled under the Equality Act: Day-to-day activities limited a lot,65
28,2021,E01024754,2021 super output areas - lower layer,151,Disabled under the Equality Act: Day-to-day activities limited a little,129
29,2021,E01024754,2021 super output areas - lower layer,151,Not disabled under the Equality Act,1543
30,2021,E01024754,2021 super output areas - lower layer,151,Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,156
31,2021,E01024754,2021 super output areas - lower layer,151,Not disabled under the Equality Act: No long term physical or mental health conditions,1387
32,2021,E01024729,2021 super output areas - lower layer,151,Total: All usual residents,1703
33,2021,E01024729,2021 super output areas - lower layer,151,Disabled under the Equality Act,338
