,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_NSSEC_10_NAME,OBS_VALUE
0,2021,W01001862,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over,1532
1,2021,W01001862,2021 super output areas - lower layer,151,"L1, L2 and L3 Higher managerial, administrative and professional occupations",179
2,2021,W01001862,2021 super output areas - lower layer,151,"L4, L5 and L6 Lower managerial, administrative and professional occupations",235
3,2021,W01001862,2021 super output areas - lower layer,151,L7 Intermediate occupations,133
4,2021,W01001862,2021 super output areas - lower layer,151,L8 and L9 Small employers and own account workers,143
5,2021,W01001862,2021 super output areas - lower layer,151,L10 and L11 Lower supervisory and technical occupations,96
6,2021,W01001862,2021 super output areas - lower layer,151,L12 Semi-routine occupations,148
7,2021,W01001862,2021 super output areas - lower layer,151,L13 Routine occupations,180
8,2021,W01001862,2021 super output areas - lower layer,151,L14.1 and L14.2 Never worked and long-term unemployed,231
9,2021,W01001862,2021 super output areas - lower layer,151,L15 Full-time students,187
10,2021,W01001742,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over,1151
11,2021,W01001742,2021 super output areas - lower layer,151,"L1, L2 and L3 Higher managerial, administrative and professional occupations",43
12,2021,W01001742,2021 super output areas - lower layer,151,"L4, L5 and L6 Lower managerial, administrative and professional occupations",122
13,2021,W01001742,2021 super output areas - lower layer,151,L7 Intermediate occupations,99
14,2021,W01001742,2021 super output areas - lower layer,151,L8 and L9 Small employers and own account workers,61
15,2021,W01001742,2021 super output areas - lower layer,151,L10 and L11 Lower supervisory and technical occupations,51
16,2021,W01001742,2021 super output areas - lower layer,151,L12 Semi-routine occupations,199
17,2021,W01001742,2021 super output areas - lower layer,151,L13 Routine occupations,203
18,2021,W01001742,2021 super output areas - lower layer,151,L14.1 and L14.2 Never worked and long-term unemployed,277
19,2021,W01001742,2021 super output areas - lower layer,151,L15 Full-time students,96
20,2021,W01001743,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over,1199
21,2021,W01001743,2021 super output areas - lower layer,151,"L1, L2 and L3 Higher managerial, administrative and professional occupations",144
22,2021,W01001743,2021 super output areas - lower layer,151,"L4, L5 and L6 Lower managerial, administrative and professional occupations",276
23,2021,W01001743,2021 super output areas - lower layer,151,L7 Intermediate occupations,204
24,2021,W01001743,2021 super output areas - lower layer,151,L8 and L9 Small employers and own account workers,91
25,2021,W01001743,2021 super output areas - lower layer,151,L10 and L11 Lower supervisory and technical occupations,67
26,2021,W01001743,2021 super output areas - lower layer,151,L12 Semi-routine occupations,156
27,2021,W01001743,2021 super output areas - lower layer,151,L13 Routine occupations,112
28,2021,W01001743,2021 super output areas - lower layer,151,L14.1 and L14.2 Never worked and long-term unemployed,100
29,2021,W01001743,2021 super output areas - lower layer,151,L15 Full-time students,49
30,2021,W01001744,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over,1243
31,2021,W01001744,2021 super output areas - lower layer,151,"L1, L2 and L3 Higher managerial, administrative and professional occupations",51
32,2021,W01001744,2021 super output areas - lower layer,151,"L4, L5 and L6 Lower managerial, administrative and professional occupations",141
33,2021,W01001744,2021 super output areas - lower layer,151,L7 Intermediate occupations,120
34,2021,W01001744,2021 super output areas - lower layer,151,L8 and L9 Small employers and own account workers,83
35,2021,W01001744,2021 super output areas - lower layer,151,L10 and L11 Lower supervisory and technical occupations,72
36,2021,W01001744,2021 super output areas - lower layer,151,L12 Semi-routine occupations,223
37,2021,W01001744,2021 super output areas - lower layer,151,L13 Routine occupations,259
38,2021,W01001744,2021 super output areas - lower layer,151,L14.1 and L14.2 Never worked and long-term unemployed,189
39,2021,W01001744,2021 super output areas - lower layer,151,L15 Full-time students,105
40,2021,W01001745,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over,1094
41,2021,W01001745,2021 super output areas - lower layer,151,"L1, L2 and L3 Higher managerial, administrative and professional occupations",125
42,2021,W01001745,2021 super output areas - lower layer,151,"L4, L5 and L6 Lower managerial, administrative and professional occupations",231
43,2021,W01001745,2021 super output areas - lower layer,151,L7 Intermediate occupations,181
44,2021,W01001745,2021 super output areas - lower layer,151,L8 and L9 Small employers and own account workers,113
45,2021,W01001745,2021 super output areas - lower layer,151,L10 and L11 Lower supervisory and technical occupations,67
46,2021,W01001745,2021 super output areas - lower layer,151,L12 Semi-routine occupations,153
47,2021,W01001745,2021 super output areas - lower layer,151,L13 Routine occupations,109
48,2021,W01001745,2021 super output areas - lower layer,151,L14.1 and L14.2 Never worked and long-term unemployed,57
49,2021,W01001745,2021 super output areas - lower layer,151,L15 Full-time students,58
50,2021,W01001764,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over,1652
51,2021,W01001764,2021 super output areas - lower layer,151,"L1, L2 and L3 Higher managerial, administrative and professional occupations",121
52,2021,W01001764,2021 super output areas - lower layer,151,"L4, L5 and L6 Lower managerial, administrative and professional occupations",166
53,2021,W01001764,2021 super output areas - lower layer,151,L7 Intermediate occupations,141
54,2021,W01001764,2021 super output areas - lower layer,151,L8 and L9 Small employers and own account workers,112
55,2021,W01001764,2021 super output areas - lower layer,151,L10 and L11 Lower supervisory and technical occupations,62
56,2021,W01001764,2021 super output areas - lower layer,151,L12 Semi-routine occupations,141
57,2021,W01001764,2021 super output areas - lower layer,151,L13 Routine occupations,187
58,2021,W01001764,2021 super output areas - lower layer,151,L14.1 and L14.2 Never worked and long-term unemployed,209
59,2021,W01001764,2021 super output areas - lower layer,151,L15 Full-time students,513
60,2021,W01001765,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over,1138
61,2021,W01001765,2021 super output areas - lower layer,151,"L1, L2 and L3 Higher managerial, administrative and professional occupations",99
62,2021,W01001765,2021 super output areas - lower layer,151,"L4, L5 and L6 Lower managerial, administrative and professional occupations",181
63,2021,W01001765,2021 super output areas - lower layer,151,L7 Intermediate occupations,102
64,2021,W01001765,2021 super output areas - lower layer,151,L8 and L9 Small employers and own account workers,103
65,2021,W01001765,2021 super output areas - lower layer,151,L10 and L11 Lower supervisory and technical occupations,56
66,2021,W01001765,2021 super output areas - lower layer,151,L12 Semi-routine occupations,136
67,2021,W01001765,2021 super output areas - lower layer,151,L13 Routine occupations,142
68,2021,W01001765,2021 super output areas - lower layer,151,L14.1 and L14.2 Never worked and long-term unemployed,167
69,2021,W01001765,2021 super output areas - lower layer,151,L15 Full-time students,152
70,2021,W01001766,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over,1289
71,2021,W01001766,2021 super output areas - lower layer,151,"L1, L2 and L3 Higher managerial, administrative and professional occupations",120
72,2021,W01001766,2021 super output areas - lower layer,151,"L4, L5 and L6 Lower managerial, administrative and professional occupations",211
73,2021,W01001766,2021 super output areas - lower layer,151,L7 Intermediate occupations,115
74,2021,W01001766,2021 super output areas - lower layer,151,L8 and L9 Small employers and own account workers,112
75,2021,W01001766,2021 super output areas - lower layer,151,L10 and L11 Lower supervisory and technical occupations,68
76,2021,W01001766,2021 super output areas - lower layer,151,L12 Semi-routine occupations,140
77,2021,W01001766,2021 super output areas - lower layer,151,L13 Routine occupations,199
78,2021,W01001766,2021 super output areas - lower layer,151,L14.1 and L14.2 Never worked and long-term unemployed,160
79,2021,W01001766,2021 super output areas - lower layer,151,L15 Full-time students,164
80,2021,W01001767,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over,1420
81,2021,W01001767,2021 super output areas - lower layer,151,"L1, L2 and L3 Higher managerial, administrative and professional occupations",146
82,2021,W01001767,2021 super output areas - lower layer,151,"L4, L5 and L6 Lower managerial, administrative and professional occupations",208
83,2021,W01001767,2021 super output areas - lower layer,151,L7 Intermediate occupations,128
84,2021,W01001767,2021 super output areas - lower layer,151,L8 and L9 Small employers and own account workers,124
85,2021,W01001767,2021 super output areas - lower layer,151,L10 and L11 Lower supervisory and technical occupations,71
86,2021,W01001767,2021 super output areas - lower layer,151,L12 Semi-routine occupations,205
87,2021,W01001767,2021 super output areas - lower layer,151,L13 Routine occupations,215
88,2021,W01001767,2021 super output areas - lower layer,151,L14.1 and L14.2 Never worked and long-term unemployed,178
89,2021,W01001767,2021 super output areas - lower layer,151,L15 Full-time students,145
90,2021,W01001768,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over,1276
91,2021,W01001768,2021 super output areas - lower layer,151,"L1, L2 and L3 Higher managerial, administrative and professional occupations",95
92,2021,W01001768,2021 super output areas - lower layer,151,"L4, L5 and L6 Lower managerial, administrative and professional occupations",180
93,2021,W01001768,2021 super output areas - lower layer,151,L7 Intermediate occupations,113
94,2021,W01001768,2021 super output areas - lower layer,151,L8 and L9 Small employers and own account workers,129
95,2021,W01001768,2021 super output areas - lower layer,151,L10 and L11 Lower supervisory and technical occupations,54
96,2021,W01001768,2021 super output areas - lower layer,151,L12 Semi-routine occupations,123
97,2021,W01001768,2021 super output areas - lower layer,151,L13 Routine occupations,180
98,2021,W01001768,2021 super output areas - lower layer,151,L14.1 and L14.2 Never worked and long-term unemployed,223
99,2021,W01001768,2021 super output areas - lower layer,151,L15 Full-time students,179
100,2021,W01001702,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over,1412
101,2021,W01001702,2021 super output areas - lower layer,151,"L1, L2 and L3 Higher managerial, administrative and professional occupations",94
102,2021,W01001702,2021 super output areas - lower layer,151,"L4, L5 and L6 Lower managerial, administrative and professional occupations",260
103,2021,W01001702,2021 super output areas - lower layer,151,L7 Intermediate occupations,175
104,2021,W01001702,2021 super output areas - lower layer,151,L8 and L9 Small employers and own account workers,141
105,2021,W01001702,2021 super output areas - lower layer,151,L10 and L11 Lower supervisory and technical occupations,93
106,2021,W01001702,2021 super output areas - lower layer,151,L12 Semi-routine occupations,226
107,2021,W01001702,2021 super output areas - lower layer,151,L13 Routine occupations,168
108,2021,W01001702,2021 super output areas - lower layer,151,L14.1 and L14.2 Never worked and long-term unemployed,175
109,2021,W01001702,2021 super output areas - lower layer,151,L15 Full-time students,80
110,2021,W01001703,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over,917
111,2021,W01001703,2021 super output areas - lower layer,151,"L1, L2 and L3 Higher managerial, administrative and professional occupations",42
112,2021,W01001703,2021 super output areas - lower layer,151,"L4, L5 and L6 Lower managerial, administrative and professional occupations",90
113,2021,W01001703,2021 super output areas - lower layer,151,L7 Intermediate occupations,99
114,2021,W01001703,2021 super output areas - lower layer,151,L8 and L9 Small employers and own account workers,63
