,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_METH_6_NAME,OBS_VALUE
0,2021,E01011954,2021 super output areas - lower layer,151,Total: All households,965
1,2021,E01011954,2021 super output areas - lower layer,151,One-person household,268
2,2021,E01011954,2021 super output areas - lower layer,151,All household members have the same ethnic group,682
3,2021,E01011954,2021 super output areas - lower layer,151,Ethnic groups differ between generations but not within partnerships,3
4,2021,E01011954,2021 super output areas - lower layer,151,Ethnic groups differ within partnerships,9
5,2021,E01011954,2021 super output areas - lower layer,151,Any other combination of multiple ethnic identities,3
6,2021,E01011969,2021 super output areas - lower layer,151,Total: All households,603
7,2021,E01011969,2021 super output areas - lower layer,151,One-person household,157
8,2021,E01011969,2021 super output areas - lower layer,151,All household members have the same ethnic group,435
9,2021,E01011969,2021 super output areas - lower layer,151,Ethnic groups differ between generations but not within partnerships,3
10,2021,E01011969,2021 super output areas - lower layer,151,Ethnic groups differ within partnerships,7
11,2021,E01011969,2021 super output areas - lower layer,151,Any other combination of multiple ethnic identities,1
12,2021,E01011970,2021 super output areas - lower layer,151,Total: All households,484
13,2021,E01011970,2021 super output areas - lower layer,151,One-person household,122
14,2021,E01011970,2021 super output areas - lower layer,151,All household members have the same ethnic group,355
15,2021,E01011970,2021 super output areas - lower layer,151,Ethnic groups differ between generations but not within partnerships,1
16,2021,E01011970,2021 super output areas - lower layer,151,Ethnic groups differ within partnerships,5
17,2021,E01011970,2021 super output areas - lower layer,151,Any other combination of multiple ethnic identities,1
18,2021,E01011971,2021 super output areas - lower layer,151,Total: All households,520
19,2021,E01011971,2021 super output areas - lower layer,151,One-person household,104
20,2021,E01011971,2021 super output areas - lower layer,151,All household members have the same ethnic group,409
21,2021,E01011971,2021 super output areas - lower layer,151,Ethnic groups differ between generations but not within partnerships,1
22,2021,E01011971,2021 super output areas - lower layer,151,Ethnic groups differ within partnerships,6
23,2021,E01011971,2021 super output areas - lower layer,151,Any other combination of multiple ethnic identities,0
24,2021,E01033465,2021 super output areas - lower layer,151,Total: All households,738
25,2021,E01033465,2021 super output areas - lower layer,151,One-person household,151
26,2021,E01033465,2021 super output areas - lower layer,151,All household members have the same ethnic group,566
27,2021,E01033465,2021 super output areas - lower layer,151,Ethnic groups differ between generations but not within partnerships,1
28,2021,E01033465,2021 super output areas - lower layer,151,Ethnic groups differ within partnerships,15
29,2021,E01033465,2021 super output areas - lower layer,151,Any other combination of multiple ethnic identities,5
30,2021,E01033467,2021 super output areas - lower layer,151,Total: All households,1021
31,2021,E01033467,2021 super output areas - lower layer,151,One-person household,383
32,2021,E01033467,2021 super output areas - lower layer,151,All household members have the same ethnic group,611
33,2021,E01033467,2021 super output areas - lower layer,151,Ethnic groups differ between generations but not within partnerships,4
34,2021,E01033467,2021 super output areas - lower layer,151,Ethnic groups differ within partnerships,17
35,2021,E01033467,2021 super output areas - lower layer,151,Any other combination of multiple ethnic identities,6
36,2021,E01011952,2021 super output areas - lower layer,151,Total: All households,664
37,2021,E01011952,2021 super output areas - lower layer,151,One-person household,225
38,2021,E01011952,2021 super output areas - lower layer,151,All household members have the same ethnic group,418
39,2021,E01011952,2021 super output areas - lower layer,151,Ethnic groups differ between generations but not within partnerships,7
40,2021,E01011952,2021 super output areas - lower layer,151,Ethnic groups differ within partnerships,7
41,2021,E01011952,2021 super output areas - lower layer,151,Any other combination of multiple ethnic identities,7
42,2021,E01011953,2021 super output areas - lower layer,151,Total: All households,825
43,2021,E01011953,2021 super output areas - lower layer,151,One-person household,265
44,2021,E01011953,2021 super output areas - lower layer,151,All household members have the same ethnic group,547
45,2021,E01011953,2021 super output areas - lower layer,151,Ethnic groups differ between generations but not within partnerships,2
46,2021,E01011953,2021 super output areas - lower layer,151,Ethnic groups differ within partnerships,9
47,2021,E01011953,2021 super output areas - lower layer,151,Any other combination of multiple ethnic identities,2
48,2021,E01011991,2021 super output areas - lower layer,151,Total: All households,755
49,2021,E01011991,2021 super output areas - lower layer,151,One-person household,272
50,2021,E01011991,2021 super output areas - lower layer,151,All household members have the same ethnic group,462
51,2021,E01011991,2021 super output areas - lower layer,151,Ethnic groups differ between generations but not within partnerships,5
52,2021,E01011991,2021 super output areas - lower layer,151,Ethnic groups differ within partnerships,14
53,2021,E01011991,2021 super output areas - lower layer,151,Any other combination of multiple ethnic identities,2
54,2021,E01011992,2021 super output areas - lower layer,151,Total: All households,851
55,2021,E01011992,2021 super output areas - lower layer,151,One-person household,273
56,2021,E01011992,2021 super output areas - lower layer,151,All household members have the same ethnic group,543
57,2021,E01011992,2021 super output areas - lower layer,151,Ethnic groups differ between generations but not within partnerships,7
58,2021,E01011992,2021 super output areas - lower layer,151,Ethnic groups differ within partnerships,19
59,2021,E01011992,2021 super output areas - lower layer,151,Any other combination of multiple ethnic identities,9
60,2021,E01011993,2021 super output areas - lower layer,151,Total: All households,854
61,2021,E01011993,2021 super output areas - lower layer,151,One-person household,368
62,2021,E01011993,2021 super output areas - lower layer,151,All household members have the same ethnic group,468
63,2021,E01011993,2021 super output areas - lower layer,151,Ethnic groups differ between generations but not within partnerships,3
64,2021,E01011993,2021 super output areas - lower layer,151,Ethnic groups differ within partnerships,12
65,2021,E01011993,2021 super output areas - lower layer,151,Any other combination of multiple ethnic identities,3
66,2021,E01011994,2021 super output areas - lower layer,151,Total: All households,645
67,2021,E01011994,2021 super output areas - lower layer,151,One-person household,252
68,2021,E01011994,2021 super output areas - lower layer,151,All household members have the same ethnic group,381
69,2021,E01011994,2021 super output areas - lower layer,151,Ethnic groups differ between generations but not within partnerships,1
70,2021,E01011994,2021 super output areas - lower layer,151,Ethnic groups differ within partnerships,8
71,2021,E01011994,2021 super output areas - lower layer,151,Any other combination of multiple ethnic identities,3
72,2021,E01011955,2021 super output areas - lower layer,151,Total: All households,583
73,2021,E01011955,2021 super output areas - lower layer,151,One-person household,220
74,2021,E01011955,2021 super output areas - lower layer,151,All household members have the same ethnic group,348
75,2021,E01011955,2021 super output areas - lower layer,151,Ethnic groups differ between generations but not within partnerships,1
76,2021,E01011955,2021 super output areas - lower layer,151,Ethnic groups differ within partnerships,9
77,2021,E01011955,2021 super output areas - lower layer,151,Any other combination of multiple ethnic identities,5
78,2021,E01011957,2021 super output areas - lower layer,151,Total: All households,542
79,2021,E01011957,2021 super output areas - lower layer,151,One-person household,164
80,2021,E01011957,2021 super output areas - lower layer,151,All household members have the same ethnic group,363
81,2021,E01011957,2021 super output areas - lower layer,151,Ethnic groups differ between generations but not within partnerships,1
82,2021,E01011957,2021 super output areas - lower layer,151,Ethnic groups differ within partnerships,10
83,2021,E01011957,2021 super output areas - lower layer,151,Any other combination of multiple ethnic identities,4
84,2021,E01032540,2021 super output areas - lower layer,151,Total: All households,453
85,2021,E01032540,2021 super output areas - lower layer,151,One-person household,143
86,2021,E01032540,2021 super output areas - lower layer,151,All household members have the same ethnic group,301
87,2021,E01032540,2021 super output areas - lower layer,151,Ethnic groups differ between generations but not within partnerships,1
88,2021,E01032540,2021 super output areas - lower layer,151,Ethnic groups differ within partnerships,6
89,2021,E01032540,2021 super output areas - lower layer,151,Any other combination of multiple ethnic identities,2
90,2021,E01032541,2021 super output areas - lower layer,151,Total: All households,979
91,2021,E01032541,2021 super output areas - lower layer,151,One-person household,371
92,2021,E01032541,2021 super output areas - lower layer,151,All household members have the same ethnic group,593
93,2021,E01032541,2021 super output areas - lower layer,151,Ethnic groups differ between generations but not within partnerships,3
94,2021,E01032541,2021 super output areas - lower layer,151,Ethnic groups differ within partnerships,10
95,2021,E01032541,2021 super output areas - lower layer,151,Any other combination of multiple ethnic identities,2
96,2021,E01033466,2021 super output areas - lower layer,151,Total: All households,984
97,2021,E01033466,2021 super output areas - lower layer,151,One-person household,304
98,2021,E01033466,2021 super output areas - lower layer,151,All household members have the same ethnic group,652
99,2021,E01033466,2021 super output areas - lower layer,151,Ethnic groups differ between generations but not within partnerships,7
100,2021,E01033466,2021 super output areas - lower layer,151,Ethnic groups differ within partnerships,15
101,2021,E01033466,2021 super output areas - lower layer,151,Any other combination of multiple ethnic identities,6
102,2021,E01011951,2021 super output areas - lower layer,151,Total: All households,637
103,2021,E01011951,2021 super output areas - lower layer,151,One-person household,323
104,2021,E01011951,2021 super output areas - lower layer,151,All household members have the same ethnic group,298
105,2021,E01011951,2021 super output areas - lower layer,151,Ethnic groups differ between generations but not within partnerships,6
106,2021,E01011951,2021 super output areas - lower layer,151,Ethnic groups differ within partnerships,6
107,2021,E01011951,2021 super output areas - lower layer,151,Any other combination of multiple ethnic identities,4
108,2021,E01011964,2021 super output areas - lower layer,151,Total: All households,494
109,2021,E01011964,2021 super output areas - lower layer,151,One-person household,165
110,2021,E01011964,2021 super output areas - lower layer,151,All household members have the same ethnic group,297
111,2021,E01011964,2021 super output areas - lower layer,151,Ethnic groups differ between generations but not within partnerships,1
112,2021,E01011964,2021 super output areas - lower layer,151,Ethnic groups differ within partnerships,25
113,2021,E01011964,2021 super output areas - lower layer,151,Any other combination of multiple ethnic identities,6
114,2021,E01011967,2021 super output areas - lower layer,151,Total: All households,530
115,2021,E01011967,2021 super output areas - lower layer,151,One-person household,112
116,2021,E01011967,2021 super output areas - lower layer,151,All household members have the same ethnic group,403
117,2021,E01011967,2021 super output areas - lower layer,151,Ethnic groups differ between generations but not within partnerships,4
118,2021,E01011967,2021 super output areas - lower layer,151,Ethnic groups differ within partnerships,7
119,2021,E01011967,2021 super output areas - lower layer,151,Any other combination of multiple ethnic identities,4
120,2021,E01011999,2021 super output areas - lower layer,151,Total: All households,858
121,2021,E01011999,2021 super output areas - lower layer,151,One-person household,423
122,2021,E01011999,2021 super output areas - lower layer,151,All household members have the same ethnic group,400
123,2021,E01011999,2021 super output areas - lower layer,151,Ethnic groups differ between generations but not within partnerships,2
124,2021,E01011999,2021 super output areas - lower layer,151,Ethnic groups differ within partnerships,18
125,2021,E01011999,2021 super output areas - lower layer,151,Any other combination of multiple ethnic identities,15
126,2021,E01012000,2021 super output areas - lower layer,151,Total: All households,720
127,2021,E01012000,2021 super output areas - lower layer,151,One-person household,436
128,2021,E01012000,2021 super output areas - lower layer,151,All household members have the same ethnic group,264
129,2021,E01012000,2021 super output areas - lower layer,151,Ethnic groups differ between generations but not within partnerships,5
130,2021,E01012000,2021 super output areas - lower layer,151,Ethnic groups differ within partnerships,9
131,2021,E01012000,2021 super output areas - lower layer,151,Any other combination of multiple ethnic identities,6
132,2021,E01011950,2021 super output areas - lower layer,151,Total: All households,554
133,2021,E01011950,2021 super output areas - lower layer,151,One-person household,290
134,2021,E01011950,2021 super output areas - lower layer,151,All household members have the same ethnic group,250
135,2021,E01011950,2021 super output areas - lower layer,151,Ethnic groups differ between generations but not within partnerships,3
136,2021,E01011950,2021 super output areas - lower layer,151,Ethnic groups differ within partnerships,7
137,2021,E01011950,2021 super output areas - lower layer,151,Any other combination of multiple ethnic identities,4
138,2021,E01011986,2021 super output areas - lower layer,151,Total: All households,535
139,2021,E01011986,2021 super output areas - lower layer,151,One-person household,127
140,2021,E01011986,2021 super output areas - lower layer,151,All household members have the same ethnic group,400
141,2021,E01011986,2021 super output areas - lower layer,151,Ethnic groups differ between generations but not within partnerships,2
142,2021,E01011986,2021 super output areas - lower layer,151,Ethnic groups differ within partnerships,4
143,2021,E01011986,2021 super output areas - lower layer,151,Any other combination of multiple ethnic identities,2
144,2021,E01011987,2021 super output areas - lower layer,151,Total: All households,607
145,2021,E01011987,2021 super output areas - lower layer,151,One-person household,204
146,2021,E01011987,2021 super output areas - lower layer,151,All household members have the same ethnic group,392
147,2021,E01011987,2021 super output areas - lower layer,151,Ethnic groups differ between generations but not within partnerships,1
148,2021,E01011987,2021 super output areas - lower layer,151,Ethnic groups differ within partnerships,7
149,2021,E01011987,2021 super output areas - lower layer,151,Any other combination of multiple ethnic identities,3
150,2021,E01012001,2021 super output areas - lower layer,151,Total: All households,951
151,2021,E01012001,2021 super output areas - lower layer,151,One-person household,327
152,2021,E01012001,2021 super output areas - lower layer,151,All household members have the same ethnic group,597
153,2021,E01012001,2021 super output areas - lower layer,151,Ethnic groups differ between generations but not within partnerships,8
154,2021,E01012001,2021 super output areas - lower layer,151,Ethnic groups differ within partnerships,8
155,2021,E01012001,2021 super output areas - lower layer,151,Any other combination of multiple ethnic identities,11
156,2021,E01011949,2021 super output areas - lower layer,151,Total: All households,757
157,2021,E01011949,2021 super output areas - lower layer,151,One-person household,221
158,2021,E01011949,2021 super output areas - lower layer,151,All household members have the same ethnic group,521
159,2021,E01011949,2021 super output areas - lower layer,151,Ethnic groups differ between generations but not within partnerships,3
