,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_MHHLANG_5_NAME,OBS_VALUE
0,2021,E01017393,2021 super output areas - lower layer,151,Main language differs within partnerships,16
1,2021,E01017393,2021 super output areas - lower layer,151,Any other combination of multiple main languages,5
2,2021,E01017442,2021 super output areas - lower layer,151,Total: All households,1077
3,2021,E01017442,2021 super output areas - lower layer,151,One-person household,204
4,2021,E01017442,2021 super output areas - lower layer,151,All household members have the same main language,840
5,2021,E01017442,2021 super output areas - lower layer,151,"Main language differs between generations, but not within partnerships",6
6,2021,E01017442,2021 super output areas - lower layer,151,Main language differs within partnerships,17
7,2021,E01017442,2021 super output areas - lower layer,151,Any other combination of multiple main languages,10
8,2021,E01017443,2021 super output areas - lower layer,151,Total: All households,715
9,2021,E01017443,2021 super output areas - lower layer,151,One-person household,229
10,2021,E01017443,2021 super output areas - lower layer,151,All household members have the same main language,474
11,2021,E01017443,2021 super output areas - lower layer,151,"Main language differs between generations, but not within partnerships",2
12,2021,E01017443,2021 super output areas - lower layer,151,Main language differs within partnerships,8
13,2021,E01017443,2021 super output areas - lower layer,151,Any other combination of multiple main languages,2
14,2021,E01017446,2021 super output areas - lower layer,151,Total: All households,743
15,2021,E01017446,2021 super output areas - lower layer,151,One-person household,213
16,2021,E01017446,2021 super output areas - lower layer,151,All household members have the same main language,518
17,2021,E01017446,2021 super output areas - lower layer,151,"Main language differs between generations, but not within partnerships",6
18,2021,E01017446,2021 super output areas - lower layer,151,Main language differs within partnerships,5
19,2021,E01017446,2021 super output areas - lower layer,151,Any other combination of multiple main languages,1
20,2021,E01017447,2021 super output areas - lower layer,151,Total: All households,1046
21,2021,E01017447,2021 super output areas - lower layer,151,One-person household,246
22,2021,E01017447,2021 super output areas - lower layer,151,All household members have the same main language,778
23,2021,E01017447,2021 super output areas - lower layer,151,"Main language differs between generations, but not within partnerships",3
24,2021,E01017447,2021 super output areas - lower layer,151,Main language differs within partnerships,12
25,2021,E01017447,2021 super output areas - lower layer,151,Any other combination of multiple main languages,7
