,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_EASTAT_20_NAME,OBS_VALUE
0,2021,E01005288,2021 super output areas - lower layer,151,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,10
1,2021,E01005288,2021 super output areas - lower layer,151,Economically active (excluding full-time students):In employment:Self-employed without employees,65
2,2021,E01005288,2021 super output areas - lower layer,151,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,35
3,2021,E01005288,2021 super output areas - lower layer,151,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,30
4,2021,E01005288,2021 super output areas - lower layer,151,Economically active (excluding full-time students): Unemployed,74
5,2021,E01005288,2021 super output areas - lower layer,151,Economically active and a full-time student,200
6,2021,E01005288,2021 super output areas - lower layer,151,Economically active and a full-time student:In employment,129
7,2021,E01005288,2021 super output areas - lower layer,151,Economically active and a full-time student:In employment:Employee,122
8,2021,E01005288,2021 super output areas - lower layer,151,Economically active and a full-time student: In employment: Employee: Part-time,104
9,2021,E01005288,2021 super output areas - lower layer,151,Economically active and a full-time student: In employment: Employee: Full-time,18
10,2021,E01005288,2021 super output areas - lower layer,151,Economically active and a full-time student:In employment:Self-employed with employees,0
11,2021,E01005288,2021 super output areas - lower layer,151,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
12,2021,E01005288,2021 super output areas - lower layer,151,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
13,2021,E01005288,2021 super output areas - lower layer,151,Economically active and a full-time student:In employment:Self-employed without employees,7
14,2021,E01005288,2021 super output areas - lower layer,151,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,7
15,2021,E01005288,2021 super output areas - lower layer,151,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
16,2021,E01005288,2021 super output areas - lower layer,151,Economically active and a full-time student: Unemployed,71
17,2021,E01005288,2021 super output areas - lower layer,151,Economically inactive,727
18,2021,E01005288,2021 super output areas - lower layer,151,Economically inactive: Retired,69
19,2021,E01005288,2021 super output areas - lower layer,151,Economically inactive: Student,394
20,2021,E01005288,2021 super output areas - lower layer,151,Economically inactive: Looking after home or family,108
21,2021,E01005288,2021 super output areas - lower layer,151,Economically inactive: Long-term sick or disabled,60
22,2021,E01005288,2021 super output areas - lower layer,151,Economically inactive: Other,96
23,2021,E01034124,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over,1073
24,2021,E01034124,2021 super output areas - lower layer,151,Economically active (excluding full-time students),467
25,2021,E01034124,2021 super output areas - lower layer,151,Economically active (excluding full-time students):In employment,395
26,2021,E01034124,2021 super output areas - lower layer,151,Economically active (excluding full-time students):In employment:Employee,331
27,2021,E01034124,2021 super output areas - lower layer,151,Economically active (excluding full-time students): In employment: Employee: Part-time,142
28,2021,E01034124,2021 super output areas - lower layer,151,Economically active (excluding full-time students): In employment: Employee: Full-time,189
29,2021,E01034124,2021 super output areas - lower layer,151,Economically active (excluding full-time students):In employment:Self-employed with employees,10
30,2021,E01034124,2021 super output areas - lower layer,151,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,7
31,2021,E01034124,2021 super output areas - lower layer,151,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,3
32,2021,E01034124,2021 super output areas - lower layer,151,Economically active (excluding full-time students):In employment:Self-employed without employees,54
33,2021,E01034124,2021 super output areas - lower layer,151,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,30
34,2021,E01034124,2021 super output areas - lower layer,151,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,24
35,2021,E01034124,2021 super output areas - lower layer,151,Economically active (excluding full-time students): Unemployed,72
36,2021,E01034124,2021 super output areas - lower layer,151,Economically active and a full-time student,80
37,2021,E01034124,2021 super output areas - lower layer,151,Economically active and a full-time student:In employment,54
38,2021,E01034124,2021 super output areas - lower layer,151,Economically active and a full-time student:In employment:Employee,49
39,2021,E01034124,2021 super output areas - lower layer,151,Economically active and a full-time student: In employment: Employee: Part-time,40
40,2021,E01034124,2021 super output areas - lower layer,151,Economically active and a full-time student: In employment: Employee: Full-time,9
41,2021,E01034124,2021 super output areas - lower layer,151,Economically active and a full-time student:In employment:Self-employed with employees,1
42,2021,E01034124,2021 super output areas - lower layer,151,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,1
43,2021,E01034124,2021 super output areas - lower layer,151,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
44,2021,E01034124,2021 super output areas - lower layer,151,Economically active and a full-time student:In employment:Self-employed without employees,4
45,2021,E01034124,2021 super output areas - lower layer,151,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,2
46,2021,E01034124,2021 super output areas - lower layer,151,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,2
47,2021,E01034124,2021 super output areas - lower layer,151,Economically active and a full-time student: Unemployed,26
48,2021,E01034124,2021 super output areas - lower layer,151,Economically inactive,526
49,2021,E01034124,2021 super output areas - lower layer,151,Economically inactive: Retired,72
50,2021,E01034124,2021 super output areas - lower layer,151,Economically inactive: Student,172
51,2021,E01034124,2021 super output areas - lower layer,151,Economically inactive: Looking after home or family,130
52,2021,E01034124,2021 super output areas - lower layer,151,Economically inactive: Long-term sick or disabled,58
53,2021,E01034124,2021 super output areas - lower layer,151,Economically inactive: Other,94
54,2021,E01034125,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over,1049
55,2021,E01034125,2021 super output areas - lower layer,151,Economically active (excluding full-time students),528
