,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HHLANG_5_NAME,OBS_VALUE
0,2021,E01031534,2021 super output areas - lower layer,151,Total: All households,921
1,2021,E01031534,2021 super output areas - lower layer,151,"All adults in household have English in England, or English or Welsh in Wales as a main language",906
2,2021,E01031534,2021 super output areas - lower layer,151,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",8
3,2021,E01031534,2021 super output areas - lower layer,151,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",1
4,2021,E01031534,2021 super output areas - lower layer,151,"No people in household have English in England, or English or Welsh in Wales as a main language",6
5,2021,E01031535,2021 super output areas - lower layer,151,Total: All households,890
6,2021,E01031535,2021 super output areas - lower layer,151,"All adults in household have English in England, or English or Welsh in Wales as a main language",869
7,2021,E01031535,2021 super output areas - lower layer,151,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",10
8,2021,E01031535,2021 super output areas - lower layer,151,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",4
9,2021,E01031535,2021 super output areas - lower layer,151,"No people in household have English in England, or English or Welsh in Wales as a main language",7
10,2021,E01031480,2021 super output areas - lower layer,151,Total: All households,604
11,2021,E01031480,2021 super output areas - lower layer,151,"All adults in household have English in England, or English or Welsh in Wales as a main language",541
12,2021,E01031480,2021 super output areas - lower layer,151,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",23
13,2021,E01031480,2021 super output areas - lower layer,151,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",9
14,2021,E01031480,2021 super output areas - lower layer,151,"No people in household have English in England, or English or Welsh in Wales as a main language",31
15,2021,E01031481,2021 super output areas - lower layer,151,Total: All households,742
16,2021,E01031481,2021 super output areas - lower layer,151,"All adults in household have English in England, or English or Welsh in Wales as a main language",682
17,2021,E01031481,2021 super output areas - lower layer,151,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",28
18,2021,E01031481,2021 super output areas - lower layer,151,"No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language",8
19,2021,E01031481,2021 super output areas - lower layer,151,"No people in household have English in England, or English or Welsh in Wales as a main language",24
20,2021,E01031484,2021 super output areas - lower layer,151,Total: All households,940
21,2021,E01031484,2021 super output areas - lower layer,151,"All adults in household have English in England, or English or Welsh in Wales as a main language",860
22,2021,E01031484,2021 super output areas - lower layer,151,"At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language",29
