,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_MHHLANG_5_NAME,OBS_VALUE
0,2021,E01016217,2021 super output areas - lower layer,151,Total: All households,568
1,2021,E01016217,2021 super output areas - lower layer,151,One-person household,139
2,2021,E01016217,2021 super output areas - lower layer,151,All household members have the same main language,387
3,2021,E01016217,2021 super output areas - lower layer,151,"Main language differs between generations, but not within partnerships",14
4,2021,E01016217,2021 super output areas - lower layer,151,Main language differs within partnerships,21
5,2021,E01016217,2021 super output areas - lower layer,151,Any other combination of multiple main languages,7
6,2021,E01016218,2021 super output areas - lower layer,151,Total: All households,634
7,2021,E01016218,2021 super output areas - lower layer,151,One-person household,243
8,2021,E01016218,2021 super output areas - lower layer,151,All household members have the same main language,368
9,2021,E01016218,2021 super output areas - lower layer,151,"Main language differs between generations, but not within partnerships",5
10,2021,E01016218,2021 super output areas - lower layer,151,Main language differs within partnerships,10
11,2021,E01016218,2021 super output areas - lower layer,151,Any other combination of multiple main languages,8
12,2021,E01016231,2021 super output areas - lower layer,151,Total: All households,735
13,2021,E01016231,2021 super output areas - lower layer,151,One-person household,169
14,2021,E01016231,2021 super output areas - lower layer,151,All household members have the same main language,516
15,2021,E01016231,2021 super output areas - lower layer,151,"Main language differs between generations, but not within partnerships",14
16,2021,E01016231,2021 super output areas - lower layer,151,Main language differs within partnerships,22
17,2021,E01016231,2021 super output areas - lower layer,151,Any other combination of multiple main languages,14
18,2021,E01016232,2021 super output areas - lower layer,151,Total: All households,595
19,2021,E01016232,2021 super output areas - lower layer,151,One-person household,165
20,2021,E01016232,2021 super output areas - lower layer,151,All household members have the same main language,399
21,2021,E01016232,2021 super output areas - lower layer,151,"Main language differs between generations, but not within partnerships",4
22,2021,E01016232,2021 super output areas - lower layer,151,Main language differs within partnerships,17
23,2021,E01016232,2021 super output areas - lower layer,151,Any other combination of multiple main languages,10
24,2021,E01016212,2021 super output areas - lower layer,151,Total: All households,495
25,2021,E01016212,2021 super output areas - lower layer,151,One-person household,91
26,2021,E01016212,2021 super output areas - lower layer,151,All household members have the same main language,361
27,2021,E01016212,2021 super output areas - lower layer,151,"Main language differs between generations, but not within partnerships",22
28,2021,E01016212,2021 super output areas - lower layer,151,Main language differs within partnerships,12
29,2021,E01016212,2021 super output areas - lower layer,151,Any other combination of multiple main languages,9
30,2021,E01016216,2021 super output areas - lower layer,151,Total: All households,550
31,2021,E01016216,2021 super output areas - lower layer,151,One-person household,156
32,2021,E01016216,2021 super output areas - lower layer,151,All household members have the same main language,359
33,2021,E01016216,2021 super output areas - lower layer,151,"Main language differs between generations, but not within partnerships",11
34,2021,E01016216,2021 super output areas - lower layer,151,Main language differs within partnerships,16
35,2021,E01016216,2021 super output areas - lower layer,151,Any other combination of multiple main languages,8
36,2021,E01016219,2021 super output areas - lower layer,151,Total: All households,540
37,2021,E01016219,2021 super output areas - lower layer,151,One-person household,143
38,2021,E01016219,2021 super output areas - lower layer,151,All household members have the same main language,377
39,2021,E01016219,2021 super output areas - lower layer,151,"Main language differs between generations, but not within partnerships",8
40,2021,E01016219,2021 super output areas - lower layer,151,Main language differs within partnerships,8
41,2021,E01016219,2021 super output areas - lower layer,151,Any other combination of multiple main languages,4
42,2021,E01016220,2021 super output areas - lower layer,151,Total: All households,574
43,2021,E01016220,2021 super output areas - lower layer,151,One-person household,181
44,2021,E01016220,2021 super output areas - lower layer,151,All household members have the same main language,354
45,2021,E01016220,2021 super output areas - lower layer,151,"Main language differs between generations, but not within partnerships",8
46,2021,E01016220,2021 super output areas - lower layer,151,Main language differs within partnerships,19
47,2021,E01016220,2021 super output areas - lower layer,151,Any other combination of multiple main languages,12
48,2021,E01016221,2021 super output areas - lower layer,151,Total: All households,572
49,2021,E01016221,2021 super output areas - lower layer,151,One-person household,193
