,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_NSSEC_10_NAME,OBS_VALUE
0,2021,E01000317,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over,1267
1,2021,E01000317,2021 super output areas - lower layer,151,"L1, L2 and L3 Higher managerial, administrative and professional occupations",293
2,2021,E01000317,2021 super output areas - lower layer,151,"L4, L5 and L6 Lower managerial, administrative and professional occupations",303
3,2021,E01000317,2021 super output areas - lower layer,151,L7 Intermediate occupations,106
4,2021,E01000317,2021 super output areas - lower layer,151,L8 and L9 Small employers and own account workers,142
5,2021,E01000317,2021 super output areas - lower layer,151,L10 and L11 Lower supervisory and technical occupations,38
6,2021,E01000317,2021 super output areas - lower layer,151,L12 Semi-routine occupations,98
7,2021,E01000317,2021 super output areas - lower layer,151,L13 Routine occupations,70
8,2021,E01000317,2021 super output areas - lower layer,151,L14.1 and L14.2 Never worked and long-term unemployed,121
9,2021,E01000317,2021 super output areas - lower layer,151,L15 Full-time students,96
10,2021,E01000318,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over,1553
11,2021,E01000318,2021 super output areas - lower layer,151,"L1, L2 and L3 Higher managerial, administrative and professional occupations",249
12,2021,E01000318,2021 super output areas - lower layer,151,"L4, L5 and L6 Lower managerial, administrative and professional occupations",300
13,2021,E01000318,2021 super output areas - lower layer,151,L7 Intermediate occupations,174
14,2021,E01000318,2021 super output areas - lower layer,151,L8 and L9 Small employers and own account workers,216
15,2021,E01000318,2021 super output areas - lower layer,151,L10 and L11 Lower supervisory and technical occupations,55
16,2021,E01000318,2021 super output areas - lower layer,151,L12 Semi-routine occupations,112
17,2021,E01000318,2021 super output areas - lower layer,151,L13 Routine occupations,141
18,2021,E01000318,2021 super output areas - lower layer,151,L14.1 and L14.2 Never worked and long-term unemployed,154
19,2021,E01000318,2021 super output areas - lower layer,151,L15 Full-time students,152
20,2021,E01000323,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over,1996
21,2021,E01000323,2021 super output areas - lower layer,151,"L1, L2 and L3 Higher managerial, administrative and professional occupations",287
22,2021,E01000323,2021 super output areas - lower layer,151,"L4, L5 and L6 Lower managerial, administrative and professional occupations",407
23,2021,E01000323,2021 super output areas - lower layer,151,L7 Intermediate occupations,167
24,2021,E01000323,2021 super output areas - lower layer,151,L8 and L9 Small employers and own account workers,283
25,2021,E01000323,2021 super output areas - lower layer,151,L10 and L11 Lower supervisory and technical occupations,71
26,2021,E01000323,2021 super output areas - lower layer,151,L12 Semi-routine occupations,203
27,2021,E01000323,2021 super output areas - lower layer,151,L13 Routine occupations,147
28,2021,E01000323,2021 super output areas - lower layer,151,L14.1 and L14.2 Never worked and long-term unemployed,277
29,2021,E01000323,2021 super output areas - lower layer,151,L15 Full-time students,154
30,2021,E01000276,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over,1148
31,2021,E01000276,2021 super output areas - lower layer,151,"L1, L2 and L3 Higher managerial, administrative and professional occupations",338
32,2021,E01000276,2021 super output areas - lower layer,151,"L4, L5 and L6 Lower managerial, administrative and professional occupations",279
33,2021,E01000276,2021 super output areas - lower layer,151,L7 Intermediate occupations,117
34,2021,E01000276,2021 super output areas - lower layer,151,L8 and L9 Small employers and own account workers,142
35,2021,E01000276,2021 super output areas - lower layer,151,L10 and L11 Lower supervisory and technical occupations,18
36,2021,E01000276,2021 super output areas - lower layer,151,L12 Semi-routine occupations,44
37,2021,E01000276,2021 super output areas - lower layer,151,L13 Routine occupations,31
38,2021,E01000276,2021 super output areas - lower layer,151,L14.1 and L14.2 Never worked and long-term unemployed,83
39,2021,E01000276,2021 super output areas - lower layer,151,L15 Full-time students,96
40,2021,E01000278,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over,1110
41,2021,E01000278,2021 super output areas - lower layer,151,"L1, L2 and L3 Higher managerial, administrative and professional occupations",371
42,2021,E01000278,2021 super output areas - lower layer,151,"L4, L5 and L6 Lower managerial, administrative and professional occupations",262
43,2021,E01000278,2021 super output areas - lower layer,151,L7 Intermediate occupations,115
44,2021,E01000278,2021 super output areas - lower layer,151,L8 and L9 Small employers and own account workers,122
45,2021,E01000278,2021 super output areas - lower layer,151,L10 and L11 Lower supervisory and technical occupations,19
46,2021,E01000278,2021 super output areas - lower layer,151,L12 Semi-routine occupations,43
47,2021,E01000278,2021 super output areas - lower layer,151,L13 Routine occupations,33
48,2021,E01000278,2021 super output areas - lower layer,151,L14.1 and L14.2 Never worked and long-term unemployed,80
49,2021,E01000278,2021 super output areas - lower layer,151,L15 Full-time students,65
50,2021,E01000301,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over,1164
51,2021,E01000301,2021 super output areas - lower layer,151,"L1, L2 and L3 Higher managerial, administrative and professional occupations",320
52,2021,E01000301,2021 super output areas - lower layer,151,"L4, L5 and L6 Lower managerial, administrative and professional occupations",279
53,2021,E01000301,2021 super output areas - lower layer,151,L7 Intermediate occupations,126
54,2021,E01000301,2021 super output areas - lower layer,151,L8 and L9 Small employers and own account workers,155
55,2021,E01000301,2021 super output areas - lower layer,151,L10 and L11 Lower supervisory and technical occupations,25
56,2021,E01000301,2021 super output areas - lower layer,151,L12 Semi-routine occupations,50
57,2021,E01000301,2021 super output areas - lower layer,151,L13 Routine occupations,26
58,2021,E01000301,2021 super output areas - lower layer,151,L14.1 and L14.2 Never worked and long-term unemployed,110
59,2021,E01000301,2021 super output areas - lower layer,151,L15 Full-time students,73
60,2021,E01000303,2021 super output areas - lower layer,151,Total: All usual residents aged 16 years and over,1183
61,2021,E01000303,2021 super output areas - lower layer,151,"L1, L2 and L3 Higher managerial, administrative and professional occupations",325
