,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_RELMULT_7_NAME,OBS_VALUE
0,2021,E01014089,2021 super output areas - lower layer,151,Total: All households,575
1,2021,E01014089,2021 super output areas - lower layer,151,One-person household,132
2,2021,E01014089,2021 super output areas - lower layer,151,Multi-person household,443
3,2021,E01014089,2021 super output areas - lower layer,151,Multi-person household: No people stated their religion,11
4,2021,E01014089,2021 super output areas - lower layer,151,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),218
5,2021,E01014089,2021 super output areas - lower layer,151,Multi-person household: No religion (household may include people who did not state their religion),113
6,2021,E01014089,2021 super output areas - lower layer,151,Multi-person household: Same religion and no religion (household may include people who did not state their religion),97
7,2021,E01014089,2021 super output areas - lower layer,151,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),4
8,2021,E01013987,2021 super output areas - lower layer,151,Total: All households,683
9,2021,E01013987,2021 super output areas - lower layer,151,One-person household,201
10,2021,E01013987,2021 super output areas - lower layer,151,Multi-person household,482
11,2021,E01013987,2021 super output areas - lower layer,151,Multi-person household: No people stated their religion,15
12,2021,E01013987,2021 super output areas - lower layer,151,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),259
13,2021,E01013987,2021 super output areas - lower layer,151,Multi-person household: No religion (household may include people who did not state their religion),97
14,2021,E01013987,2021 super output areas - lower layer,151,Multi-person household: Same religion and no religion (household may include people who did not state their religion),109
15,2021,E01013987,2021 super output areas - lower layer,151,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),2
16,2021,E01013988,2021 super output areas - lower layer,151,Total: All households,934
17,2021,E01013988,2021 super output areas - lower layer,151,One-person household,429
18,2021,E01013988,2021 super output areas - lower layer,151,Multi-person household,505
19,2021,E01013988,2021 super output areas - lower layer,151,Multi-person household: No people stated their religion,20
20,2021,E01013988,2021 super output areas - lower layer,151,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),263
21,2021,E01013988,2021 super output areas - lower layer,151,Multi-person household: No religion (household may include people who did not state their religion),125
22,2021,E01013988,2021 super output areas - lower layer,151,Multi-person household: Same religion and no religion (household may include people who did not state their religion),95
23,2021,E01013988,2021 super output areas - lower layer,151,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),2
24,2021,E01014095,2021 super output areas - lower layer,151,Total: All households,573
25,2021,E01014095,2021 super output areas - lower layer,151,One-person household,136
26,2021,E01014095,2021 super output areas - lower layer,151,Multi-person household,437
27,2021,E01014095,2021 super output areas - lower layer,151,Multi-person household: No people stated their religion,18
28,2021,E01014095,2021 super output areas - lower layer,151,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),205
29,2021,E01014095,2021 super output areas - lower layer,151,Multi-person household: No religion (household may include people who did not state their religion),125
30,2021,E01014095,2021 super output areas - lower layer,151,Multi-person household: Same religion and no religion (household may include people who did not state their religion),87
31,2021,E01014095,2021 super output areas - lower layer,151,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),2
32,2021,E01035055,2021 super output areas - lower layer,151,Total: All households,634
33,2021,E01035055,2021 super output areas - lower layer,151,One-person household,145
34,2021,E01035055,2021 super output areas - lower layer,151,Multi-person household,489
35,2021,E01035055,2021 super output areas - lower layer,151,Multi-person household: No people stated their religion,20
36,2021,E01035055,2021 super output areas - lower layer,151,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),225
37,2021,E01035055,2021 super output areas - lower layer,151,Multi-person household: No religion (household may include people who did not state their religion),124
38,2021,E01035055,2021 super output areas - lower layer,151,Multi-person household: Same religion and no religion (household may include people who did not state their religion),115
39,2021,E01035055,2021 super output areas - lower layer,151,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),5
40,2021,E01035056,2021 super output areas - lower layer,151,Total: All households,595
41,2021,E01035056,2021 super output areas - lower layer,151,One-person household,137
42,2021,E01035056,2021 super output areas - lower layer,151,Multi-person household,458
43,2021,E01035056,2021 super output areas - lower layer,151,Multi-person household: No people stated their religion,15
44,2021,E01035056,2021 super output areas - lower layer,151,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),206
45,2021,E01035056,2021 super output areas - lower layer,151,Multi-person household: No religion (household may include people who did not state their religion),123
46,2021,E01035056,2021 super output areas - lower layer,151,Multi-person household: Same religion and no religion (household may include people who did not state their religion),109
47,2021,E01035056,2021 super output areas - lower layer,151,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),5
48,2021,E01013986,2021 super output areas - lower layer,151,Total: All households,735
49,2021,E01013986,2021 super output areas - lower layer,151,One-person household,267
50,2021,E01013986,2021 super output areas - lower layer,151,Multi-person household,468
51,2021,E01013986,2021 super output areas - lower layer,151,Multi-person household: No people stated their religion,9
52,2021,E01013986,2021 super output areas - lower layer,151,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),217
53,2021,E01013986,2021 super output areas - lower layer,151,Multi-person household: No religion (household may include people who did not state their religion),144
54,2021,E01013986,2021 super output areas - lower layer,151,Multi-person household: Same religion and no religion (household may include people who did not state their religion),97
55,2021,E01013986,2021 super output areas - lower layer,151,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),1
56,2021,E01013989,2021 super output areas - lower layer,151,Total: All households,615
57,2021,E01013989,2021 super output areas - lower layer,151,One-person household,195
58,2021,E01013989,2021 super output areas - lower layer,151,Multi-person household,420
