,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_DEP_6_NAME,OBS_VALUE
0,2021,E01016217,2021 super output areas - lower layer,151,Total: All households,568
1,2021,E01016217,2021 super output areas - lower layer,151,Household is not deprived in any dimension,310
2,2021,E01016217,2021 super output areas - lower layer,151,Household is deprived in one dimension,170
3,2021,E01016217,2021 super output areas - lower layer,151,Household is deprived in two dimensions,74
4,2021,E01016217,2021 super output areas - lower layer,151,Household is deprived in three dimensions,13
5,2021,E01016217,2021 super output areas - lower layer,151,Household is deprived in four dimensions,1
6,2021,E01016218,2021 super output areas - lower layer,151,Total: All households,634
7,2021,E01016218,2021 super output areas - lower layer,151,Household is not deprived in any dimension,263
8,2021,E01016218,2021 super output areas - lower layer,151,Household is deprived in one dimension,239
9,2021,E01016218,2021 super output areas - lower layer,151,Household is deprived in two dimensions,103
10,2021,E01016218,2021 super output areas - lower layer,151,Household is deprived in three dimensions,25
11,2021,E01016218,2021 super output areas - lower layer,151,Household is deprived in four dimensions,4
12,2021,E01016231,2021 super output areas - lower layer,151,Total: All households,736
13,2021,E01016231,2021 super output areas - lower layer,151,Household is not deprived in any dimension,384
14,2021,E01016231,2021 super output areas - lower layer,151,Household is deprived in one dimension,231
15,2021,E01016231,2021 super output areas - lower layer,151,Household is deprived in two dimensions,90
16,2021,E01016231,2021 super output areas - lower layer,151,Household is deprived in three dimensions,31
17,2021,E01016231,2021 super output areas - lower layer,151,Household is deprived in four dimensions,0
18,2021,E01016232,2021 super output areas - lower layer,151,Total: All households,595
19,2021,E01016232,2021 super output areas - lower layer,151,Household is not deprived in any dimension,294
20,2021,E01016232,2021 super output areas - lower layer,151,Household is deprived in one dimension,217
21,2021,E01016232,2021 super output areas - lower layer,151,Household is deprived in two dimensions,74
22,2021,E01016232,2021 super output areas - lower layer,151,Household is deprived in three dimensions,10
23,2021,E01016232,2021 super output areas - lower layer,151,Household is deprived in four dimensions,0
24,2021,E01016212,2021 super output areas - lower layer,151,Total: All households,494
25,2021,E01016212,2021 super output areas - lower layer,151,Household is not deprived in any dimension,227
26,2021,E01016212,2021 super output areas - lower layer,151,Household is deprived in one dimension,181
27,2021,E01016212,2021 super output areas - lower layer,151,Household is deprived in two dimensions,68
28,2021,E01016212,2021 super output areas - lower layer,151,Household is deprived in three dimensions,17
29,2021,E01016212,2021 super output areas - lower layer,151,Household is deprived in four dimensions,1
30,2021,E01016216,2021 super output areas - lower layer,151,Total: All households,550
31,2021,E01016216,2021 super output areas - lower layer,151,Household is not deprived in any dimension,274
32,2021,E01016216,2021 super output areas - lower layer,151,Household is deprived in one dimension,191
33,2021,E01016216,2021 super output areas - lower layer,151,Household is deprived in two dimensions,68
34,2021,E01016216,2021 super output areas - lower layer,151,Household is deprived in three dimensions,16
35,2021,E01016216,2021 super output areas - lower layer,151,Household is deprived in four dimensions,1
36,2021,E01016219,2021 super output areas - lower layer,151,Total: All households,541
37,2021,E01016219,2021 super output areas - lower layer,151,Household is not deprived in any dimension,276
38,2021,E01016219,2021 super output areas - lower layer,151,Household is deprived in one dimension,189
39,2021,E01016219,2021 super output areas - lower layer,151,Household is deprived in two dimensions,66
40,2021,E01016219,2021 super output areas - lower layer,151,Household is deprived in three dimensions,10
41,2021,E01016219,2021 super output areas - lower layer,151,Household is deprived in four dimensions,0
42,2021,E01016220,2021 super output areas - lower layer,151,Total: All households,575
43,2021,E01016220,2021 super output areas - lower layer,151,Household is not deprived in any dimension,285
44,2021,E01016220,2021 super output areas - lower layer,151,Household is deprived in one dimension,184
45,2021,E01016220,2021 super output areas - lower layer,151,Household is deprived in two dimensions,78
46,2021,E01016220,2021 super output areas - lower layer,151,Household is deprived in three dimensions,22
47,2021,E01016220,2021 super output areas - lower layer,151,Household is deprived in four dimensions,6
48,2021,E01016221,2021 super output areas - lower layer,151,Total: All households,573
49,2021,E01016221,2021 super output areas - lower layer,151,Household is not deprived in any dimension,292
50,2021,E01016221,2021 super output areas - lower layer,151,Household is deprived in one dimension,193
51,2021,E01016221,2021 super output areas - lower layer,151,Household is deprived in two dimensions,73
52,2021,E01016221,2021 super output areas - lower layer,151,Household is deprived in three dimensions,14
53,2021,E01016221,2021 super output areas - lower layer,151,Household is deprived in four dimensions,1
54,2021,E01016206,2021 super output areas - lower layer,151,Total: All households,854
55,2021,E01016206,2021 super output areas - lower layer,151,Household is not deprived in any dimension,515
56,2021,E01016206,2021 super output areas - lower layer,151,Household is deprived in one dimension,277
57,2021,E01016206,2021 super output areas - lower layer,151,Household is deprived in two dimensions,58
58,2021,E01016206,2021 super output areas - lower layer,151,Household is deprived in three dimensions,4
59,2021,E01016206,2021 super output areas - lower layer,151,Household is deprived in four dimensions,0
60,2021,E01016208,2021 super output areas - lower layer,151,Total: All households,908
61,2021,E01016208,2021 super output areas - lower layer,151,Household is not deprived in any dimension,552
62,2021,E01016208,2021 super output areas - lower layer,151,Household is deprived in one dimension,268
63,2021,E01016208,2021 super output areas - lower layer,151,Household is deprived in two dimensions,77
64,2021,E01016208,2021 super output areas - lower layer,151,Household is deprived in three dimensions,10
65,2021,E01016208,2021 super output areas - lower layer,151,Household is deprived in four dimensions,1
66,2021,E01016229,2021 super output areas - lower layer,151,Total: All households,490
67,2021,E01016229,2021 super output areas - lower layer,151,Household is not deprived in any dimension,276
68,2021,E01016229,2021 super output areas - lower layer,151,Household is deprived in one dimension,157
69,2021,E01016229,2021 super output areas - lower layer,151,Household is deprived in two dimensions,51
70,2021,E01016229,2021 super output areas - lower layer,151,Household is deprived in three dimensions,6
71,2021,E01016229,2021 super output areas - lower layer,151,Household is deprived in four dimensions,0
72,2021,E01016230,2021 super output areas - lower layer,151,Total: All households,420
73,2021,E01016230,2021 super output areas - lower layer,151,Household is not deprived in any dimension,265
74,2021,E01016230,2021 super output areas - lower layer,151,Household is deprived in one dimension,112
75,2021,E01016230,2021 super output areas - lower layer,151,Household is deprived in two dimensions,37
76,2021,E01016230,2021 super output areas - lower layer,151,Household is deprived in three dimensions,6
77,2021,E01016230,2021 super output areas - lower layer,151,Household is deprived in four dimensions,0
78,2021,E01016207,2021 super output areas - lower layer,151,Total: All households,730
79,2021,E01016207,2021 super output areas - lower layer,151,Household is not deprived in any dimension,480
80,2021,E01016207,2021 super output areas - lower layer,151,Household is deprived in one dimension,187
81,2021,E01016207,2021 super output areas - lower layer,151,Household is deprived in two dimensions,53
82,2021,E01016207,2021 super output areas - lower layer,151,Household is deprived in three dimensions,9
83,2021,E01016207,2021 super output areas - lower layer,151,Household is deprived in four dimensions,1
84,2021,E01016234,2021 super output areas - lower layer,151,Total: All households,451
85,2021,E01016234,2021 super output areas - lower layer,151,Household is not deprived in any dimension,259
86,2021,E01016234,2021 super output areas - lower layer,151,Household is deprived in one dimension,151
87,2021,E01016234,2021 super output areas - lower layer,151,Household is deprived in two dimensions,38
88,2021,E01016234,2021 super output areas - lower layer,151,Household is deprived in three dimensions,3
89,2021,E01016234,2021 super output areas - lower layer,151,Household is deprived in four dimensions,0
90,2021,E01016235,2021 super output areas - lower layer,151,Total: All households,484
91,2021,E01016235,2021 super output areas - lower layer,151,Household is not deprived in any dimension,338
92,2021,E01016235,2021 super output areas - lower layer,151,Household is deprived in one dimension,127
93,2021,E01016235,2021 super output areas - lower layer,151,Household is deprived in two dimensions,19
94,2021,E01016235,2021 super output areas - lower layer,151,Household is deprived in three dimensions,0
95,2021,E01016235,2021 super output areas - lower layer,151,Household is deprived in four dimensions,0
96,2021,E01016236,2021 super output areas - lower layer,151,Total: All households,574
97,2021,E01016236,2021 super output areas - lower layer,151,Household is not deprived in any dimension,280
98,2021,E01016236,2021 super output areas - lower layer,151,Household is deprived in one dimension,200
99,2021,E01016236,2021 super output areas - lower layer,151,Household is deprived in two dimensions,70
100,2021,E01016236,2021 super output areas - lower layer,151,Household is deprived in three dimensions,23
101,2021,E01016236,2021 super output areas - lower layer,151,Household is deprived in four dimensions,1
102,2021,E01016237,2021 super output areas - lower layer,151,Total: All households,473
103,2021,E01016237,2021 super output areas - lower layer,151,Household is not deprived in any dimension,294
104,2021,E01016237,2021 super output areas - lower layer,151,Household is deprived in one dimension,137
105,2021,E01016237,2021 super output areas - lower layer,151,Household is deprived in two dimensions,35
106,2021,E01016237,2021 super output areas - lower layer,151,Household is deprived in three dimensions,7
107,2021,E01016237,2021 super output areas - lower layer,151,Household is deprived in four dimensions,0
108,2021,E01016192,2021 super output areas - lower layer,151,Total: All households,606
109,2021,E01016192,2021 super output areas - lower layer,151,Household is not deprived in any dimension,300
110,2021,E01016192,2021 super output areas - lower layer,151,Household is deprived in one dimension,209
111,2021,E01016192,2021 super output areas - lower layer,151,Household is deprived in two dimensions,71
112,2021,E01016192,2021 super output areas - lower layer,151,Household is deprived in three dimensions,26
113,2021,E01016192,2021 super output areas - lower layer,151,Household is deprived in four dimensions,0
114,2021,E01016194,2021 super output areas - lower layer,151,Total: All households,502
115,2021,E01016194,2021 super output areas - lower layer,151,Household is not deprived in any dimension,298
116,2021,E01016194,2021 super output areas - lower layer,151,Household is deprived in one dimension,165
117,2021,E01016194,2021 super output areas - lower layer,151,Household is deprived in two dimensions,38
118,2021,E01016194,2021 super output areas - lower layer,151,Household is deprived in three dimensions,1
119,2021,E01016194,2021 super output areas - lower layer,151,Household is deprived in four dimensions,0
120,2021,E01016195,2021 super output areas - lower layer,151,Total: All households,484
121,2021,E01016195,2021 super output areas - lower layer,151,Household is not deprived in any dimension,289
122,2021,E01016195,2021 super output areas - lower layer,151,Household is deprived in one dimension,144
123,2021,E01016195,2021 super output areas - lower layer,151,Household is deprived in two dimensions,41
124,2021,E01016195,2021 super output areas - lower layer,151,Household is deprived in three dimensions,8
125,2021,E01016195,2021 super output areas - lower layer,151,Household is deprived in four dimensions,2
126,2021,E01016227,2021 super output areas - lower layer,151,Total: All households,475
127,2021,E01016227,2021 super output areas - lower layer,151,Household is not deprived in any dimension,291
128,2021,E01016227,2021 super output areas - lower layer,151,Household is deprived in one dimension,147
129,2021,E01016227,2021 super output areas - lower layer,151,Household is deprived in two dimensions,31
130,2021,E01016227,2021 super output areas - lower layer,151,Household is deprived in three dimensions,6
131,2021,E01016227,2021 super output areas - lower layer,151,Household is deprived in four dimensions,0
132,2021,E01016228,2021 super output areas - lower layer,151,Total: All households,678
133,2021,E01016228,2021 super output areas - lower layer,151,Household is not deprived in any dimension,448
134,2021,E01016228,2021 super output areas - lower layer,151,Household is deprived in one dimension,178
135,2021,E01016228,2021 super output areas - lower layer,151,Household is deprived in two dimensions,44
136,2021,E01016228,2021 super output areas - lower layer,151,Household is deprived in three dimensions,7
137,2021,E01016228,2021 super output areas - lower layer,151,Household is deprived in four dimensions,1
138,2021,E01016193,2021 super output areas - lower layer,151,Total: All households,532
139,2021,E01016193,2021 super output areas - lower layer,151,Household is not deprived in any dimension,288
140,2021,E01016193,2021 super output areas - lower layer,151,Household is deprived in one dimension,176
141,2021,E01016193,2021 super output areas - lower layer,151,Household is deprived in two dimensions,58
142,2021,E01016193,2021 super output areas - lower layer,151,Household is deprived in three dimensions,10
143,2021,E01016193,2021 super output areas - lower layer,151,Household is deprived in four dimensions,0
144,2021,E01016196,2021 super output areas - lower layer,151,Total: All households,501
