,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_RELMULT_7_NAME,OBS_VALUE
0,2021,E01026699,2021 super output areas - lower layer,151,Total: All households,963
1,2021,E01026699,2021 super output areas - lower layer,151,One-person household,574
2,2021,E01026699,2021 super output areas - lower layer,151,Multi-person household,389
3,2021,E01026699,2021 super output areas - lower layer,151,Multi-person household: No people stated their religion,13
4,2021,E01026699,2021 super output areas - lower layer,151,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),169
5,2021,E01026699,2021 super output areas - lower layer,151,Multi-person household: No religion (household may include people who did not state their religion),131
6,2021,E01026699,2021 super output areas - lower layer,151,Multi-person household: Same religion and no religion (household may include people who did not state their religion),66
7,2021,E01026699,2021 super output areas - lower layer,151,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),10
8,2021,E01026700,2021 super output areas - lower layer,151,Total: All households,759
9,2021,E01026700,2021 super output areas - lower layer,151,One-person household,390
10,2021,E01026700,2021 super output areas - lower layer,151,Multi-person household,369
11,2021,E01026700,2021 super output areas - lower layer,151,Multi-person household: No people stated their religion,4
12,2021,E01026700,2021 super output areas - lower layer,151,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),147
13,2021,E01026700,2021 super output areas - lower layer,151,Multi-person household: No religion (household may include people who did not state their religion),146
14,2021,E01026700,2021 super output areas - lower layer,151,Multi-person household: Same religion and no religion (household may include people who did not state their religion),70
15,2021,E01026700,2021 super output areas - lower layer,151,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),2
16,2021,E01026704,2021 super output areas - lower layer,151,Total: All households,719
17,2021,E01026704,2021 super output areas - lower layer,151,One-person household,202
18,2021,E01026704,2021 super output areas - lower layer,151,Multi-person household,517
19,2021,E01026704,2021 super output areas - lower layer,151,Multi-person household: No people stated their religion,21
20,2021,E01026704,2021 super output areas - lower layer,151,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),226
21,2021,E01026704,2021 super output areas - lower layer,151,Multi-person household: No religion (household may include people who did not state their religion),192
22,2021,E01026704,2021 super output areas - lower layer,151,Multi-person household: Same religion and no religion (household may include people who did not state their religion),78
23,2021,E01026704,2021 super output areas - lower layer,151,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),0
24,2021,E01026705,2021 super output areas - lower layer,151,Total: All households,716
25,2021,E01026705,2021 super output areas - lower layer,151,One-person household,174
26,2021,E01026705,2021 super output areas - lower layer,151,Multi-person household,542
27,2021,E01026705,2021 super output areas - lower layer,151,Multi-person household: No people stated their religion,17
28,2021,E01026705,2021 super output areas - lower layer,151,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),213
29,2021,E01026705,2021 super output areas - lower layer,151,Multi-person household: No religion (household may include people who did not state their religion),204
30,2021,E01026705,2021 super output areas - lower layer,151,Multi-person household: Same religion and no religion (household may include people who did not state their religion),105
31,2021,E01026705,2021 super output areas - lower layer,151,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),3
32,2021,E01026706,2021 super output areas - lower layer,151,Total: All households,863
33,2021,E01026706,2021 super output areas - lower layer,151,One-person household,243
34,2021,E01026706,2021 super output areas - lower layer,151,Multi-person household,620
35,2021,E01026706,2021 super output areas - lower layer,151,Multi-person household: No people stated their religion,22
36,2021,E01026706,2021 super output areas - lower layer,151,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),269
37,2021,E01026706,2021 super output areas - lower layer,151,Multi-person household: No religion (household may include people who did not state their religion),220
38,2021,E01026706,2021 super output areas - lower layer,151,Multi-person household: Same religion and no religion (household may include people who did not state their religion),106
39,2021,E01026706,2021 super output areas - lower layer,151,Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion),3
40,2021,E01034768,2021 super output areas - lower layer,151,Total: All households,659
41,2021,E01034768,2021 super output areas - lower layer,151,One-person household,377
42,2021,E01034768,2021 super output areas - lower layer,151,Multi-person household,282
43,2021,E01034768,2021 super output areas - lower layer,151,Multi-person household: No people stated their religion,11
44,2021,E01034768,2021 super output areas - lower layer,151,Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion),118
45,2021,E01034768,2021 super output areas - lower layer,151,Multi-person household: No religion (household may include people who did not state their religion),97
