,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_CARER_7_NAME,OBS_VALUE
0,2021,E01010599,2021 super output areas - lower layer,151,Provides 9 hours or less unpaid care a week,35
1,2021,E01010599,2021 super output areas - lower layer,151,Provides 10 to 19 hours unpaid care a week,17
2,2021,E01010599,2021 super output areas - lower layer,151,Provides 20 to 49 hours unpaid care a week,40
3,2021,E01010599,2021 super output areas - lower layer,151,Provides 20 to 34 hours unpaid care a week,22
4,2021,E01010599,2021 super output areas - lower layer,151,Provides 35 to 49 hours unpaid care a week,18
5,2021,E01010599,2021 super output areas - lower layer,151,Provides 50 or more hours unpaid care a week,42
6,2021,E01010600,2021 super output areas - lower layer,151,Total: All usual residents aged 5 and over,1355
7,2021,E01010600,2021 super output areas - lower layer,151,Provides no unpaid care,1245
8,2021,E01010600,2021 super output areas - lower layer,151,Provides 19 hours or less unpaid care a week,52
9,2021,E01010600,2021 super output areas - lower layer,151,Provides 9 hours or less unpaid care a week,33
10,2021,E01010600,2021 super output areas - lower layer,151,Provides 10 to 19 hours unpaid care a week,19
11,2021,E01010600,2021 super output areas - lower layer,151,Provides 20 to 49 hours unpaid care a week,24
12,2021,E01010600,2021 super output areas - lower layer,151,Provides 20 to 34 hours unpaid care a week,16
13,2021,E01010600,2021 super output areas - lower layer,151,Provides 35 to 49 hours unpaid care a week,8
14,2021,E01010600,2021 super output areas - lower layer,151,Provides 50 or more hours unpaid care a week,34
15,2021,E01010602,2021 super output areas - lower layer,151,Total: All usual residents aged 5 and over,1531
16,2021,E01010602,2021 super output areas - lower layer,151,Provides no unpaid care,1388
17,2021,E01010602,2021 super output areas - lower layer,151,Provides 19 hours or less unpaid care a week,73
18,2021,E01010602,2021 super output areas - lower layer,151,Provides 9 hours or less unpaid care a week,53
19,2021,E01010602,2021 super output areas - lower layer,151,Provides 10 to 19 hours unpaid care a week,20
20,2021,E01010602,2021 super output areas - lower layer,151,Provides 20 to 49 hours unpaid care a week,45
21,2021,E01010602,2021 super output areas - lower layer,151,Provides 20 to 34 hours unpaid care a week,18
22,2021,E01010602,2021 super output areas - lower layer,151,Provides 35 to 49 hours unpaid care a week,27
23,2021,E01010602,2021 super output areas - lower layer,151,Provides 50 or more hours unpaid care a week,25
24,2021,E01010670,2021 super output areas - lower layer,151,Total: All usual residents aged 5 and over,1726
25,2021,E01010670,2021 super output areas - lower layer,151,Provides no unpaid care,1576
26,2021,E01010670,2021 super output areas - lower layer,151,Provides 19 hours or less unpaid care a week,68
27,2021,E01010670,2021 super output areas - lower layer,151,Provides 9 hours or less unpaid care a week,42
28,2021,E01010670,2021 super output areas - lower layer,151,Provides 10 to 19 hours unpaid care a week,26
29,2021,E01010670,2021 super output areas - lower layer,151,Provides 20 to 49 hours unpaid care a week,57
30,2021,E01010670,2021 super output areas - lower layer,151,Provides 20 to 34 hours unpaid care a week,21
31,2021,E01010670,2021 super output areas - lower layer,151,Provides 35 to 49 hours unpaid care a week,36
32,2021,E01010670,2021 super output areas - lower layer,151,Provides 50 or more hours unpaid care a week,25
