,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_LIVING_11_NAME,OBS_VALUE
0,2021,E02006869,2021 super output areas - middle layer,152,Not living in a couple: Single (never married and never registered a civil partnership),2320
1,2021,E02006869,2021 super output areas - middle layer,152,Not living in a couple: Married or in a registered civil partnership,52
2,2021,E02006869,2021 super output areas - middle layer,152,Not living in a couple: Separated (including those who are married and those who are in civil partnerships),149
3,2021,E02006869,2021 super output areas - middle layer,152,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,608
4,2021,E02006869,2021 super output areas - middle layer,152,Not living in a couple: Widowed or surviving partner from a civil partnership,554
5,2021,E02002183,2021 super output areas - middle layer,152,Total: All usual residents,4907
6,2021,E02002183,2021 super output areas - middle layer,152,Living in a couple,3180
7,2021,E02002183,2021 super output areas - middle layer,152,Living in a couple: Married or in a civil partnership,2687
8,2021,E02002183,2021 super output areas - middle layer,152,Living in a couple: Married or in a civil partnership: Opposite-sex couple,2663
9,2021,E02002183,2021 super output areas - middle layer,152,Living in a couple: Married or in a civil partnership: Same-sex couple,24
10,2021,E02002183,2021 super output areas - middle layer,152,"Living in a couple: Separated, but still married or in a civil partnership",1
11,2021,E02002183,2021 super output areas - middle layer,152,Living in a couple: Cohabiting,492
12,2021,E02002183,2021 super output areas - middle layer,152,Living in a couple: Cohabiting: Opposite-sex couple,468
13,2021,E02002183,2021 super output areas - middle layer,152,Living in a couple: Cohabiting: Same-sex couple,24
14,2021,E02002183,2021 super output areas - middle layer,152,Not living in a couple,1727
15,2021,E02002183,2021 super output areas - middle layer,152,Not living in a couple: Single (never married and never registered a civil partnership),785
16,2021,E02002183,2021 super output areas - middle layer,152,Not living in a couple: Married or in a registered civil partnership,24
17,2021,E02002183,2021 super output areas - middle layer,152,Not living in a couple: Separated (including those who are married and those who are in civil partnerships),67
18,2021,E02002183,2021 super output areas - middle layer,152,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,394
19,2021,E02002183,2021 super output areas - middle layer,152,Not living in a couple: Widowed or surviving partner from a civil partnership,457
20,2021,E02002184,2021 super output areas - middle layer,152,Total: All usual residents,10757
21,2021,E02002184,2021 super output areas - middle layer,152,Living in a couple,6996
22,2021,E02002184,2021 super output areas - middle layer,152,Living in a couple: Married or in a civil partnership,5791
23,2021,E02002184,2021 super output areas - middle layer,152,Living in a couple: Married or in a civil partnership: Opposite-sex couple,5763
24,2021,E02002184,2021 super output areas - middle layer,152,Living in a couple: Married or in a civil partnership: Same-sex couple,28
25,2021,E02002184,2021 super output areas - middle layer,152,"Living in a couple: Separated, but still married or in a civil partnership",9
26,2021,E02002184,2021 super output areas - middle layer,152,Living in a couple: Cohabiting,1196
27,2021,E02002184,2021 super output areas - middle layer,152,Living in a couple: Cohabiting: Opposite-sex couple,1170
28,2021,E02002184,2021 super output areas - middle layer,152,Living in a couple: Cohabiting: Same-sex couple,26
29,2021,E02002184,2021 super output areas - middle layer,152,Not living in a couple,3761
30,2021,E02002184,2021 super output areas - middle layer,152,Not living in a couple: Single (never married and never registered a civil partnership),1945
31,2021,E02002184,2021 super output areas - middle layer,152,Not living in a couple: Married or in a registered civil partnership,80
32,2021,E02002184,2021 super output areas - middle layer,152,Not living in a couple: Separated (including those who are married and those who are in civil partnerships),153
33,2021,E02002184,2021 super output areas - middle layer,152,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,657
34,2021,E02002184,2021 super output areas - middle layer,152,Not living in a couple: Widowed or surviving partner from a civil partnership,926
35,2021,E02002185,2021 super output areas - middle layer,152,Total: All usual residents,4714
36,2021,E02002185,2021 super output areas - middle layer,152,Living in a couple,3193
37,2021,E02002185,2021 super output areas - middle layer,152,Living in a couple: Married or in a civil partnership,2629
38,2021,E02002185,2021 super output areas - middle layer,152,Living in a couple: Married or in a civil partnership: Opposite-sex couple,2617
39,2021,E02002185,2021 super output areas - middle layer,152,Living in a couple: Married or in a civil partnership: Same-sex couple,12
40,2021,E02002185,2021 super output areas - middle layer,152,"Living in a couple: Separated, but still married or in a civil partnership",4
41,2021,E02002185,2021 super output areas - middle layer,152,Living in a couple: Cohabiting,560
42,2021,E02002185,2021 super output areas - middle layer,152,Living in a couple: Cohabiting: Opposite-sex couple,542
43,2021,E02002185,2021 super output areas - middle layer,152,Living in a couple: Cohabiting: Same-sex couple,18
44,2021,E02002185,2021 super output areas - middle layer,152,Not living in a couple,1521
45,2021,E02002185,2021 super output areas - middle layer,152,Not living in a couple: Single (never married and never registered a civil partnership),836
46,2021,E02002185,2021 super output areas - middle layer,152,Not living in a couple: Married or in a registered civil partnership,25
47,2021,E02002185,2021 super output areas - middle layer,152,Not living in a couple: Separated (including those who are married and those who are in civil partnerships),69
48,2021,E02002185,2021 super output areas - middle layer,152,Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved,321
49,2021,E02002185,2021 super output areas - middle layer,152,Not living in a couple: Widowed or surviving partner from a civil partnership,270
50,2021,E02002187,2021 super output areas - middle layer,152,Total: All usual residents,5021
51,2021,E02002187,2021 super output areas - middle layer,152,Living in a couple,3562
52,2021,E02002187,2021 super output areas - middle layer,152,Living in a couple: Married or in a civil partnership,3007
53,2021,E02002187,2021 super output areas - middle layer,152,Living in a couple: Married or in a civil partnership: Opposite-sex couple,2995
54,2021,E02002187,2021 super output areas - middle layer,152,Living in a couple: Married or in a civil partnership: Same-sex couple,12
55,2021,E02002187,2021 super output areas - middle layer,152,"Living in a couple: Separated, but still married or in a civil partnership",5
56,2021,E02002187,2021 super output areas - middle layer,152,Living in a couple: Cohabiting,550
57,2021,E02002187,2021 super output areas - middle layer,152,Living in a couple: Cohabiting: Opposite-sex couple,528
