,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_RELIGION_58_NAME,OBS_VALUE
0,2021,E02002648,2021 super output areas - middle layer,152,Other religion: Reconstructionist,0
1,2021,E02002648,2021 super output areas - middle layer,152,Other religion: Satanism,0
2,2021,E02002648,2021 super output areas - middle layer,152,Other religion: Scientology,0
3,2021,E02002648,2021 super output areas - middle layer,152,Other religion: Shamanism,0
4,2021,E02002648,2021 super output areas - middle layer,152,Other religion: Shintoism,0
5,2021,E02002648,2021 super output areas - middle layer,152,Other religion: Spiritual,4
6,2021,E02002648,2021 super output areas - middle layer,152,Other religion: Spiritualist,8
7,2021,E02002648,2021 super output areas - middle layer,152,Other religion: Taoist,0
8,2021,E02002648,2021 super output areas - middle layer,152,Other religion: Theism,0
9,2021,E02002648,2021 super output areas - middle layer,152,Other religion: Thelemite,0
10,2021,E02002648,2021 super output areas - middle layer,152,Other religion: Traditional African Religion,0
11,2021,E02002648,2021 super output areas - middle layer,152,Other religion: Unification Church,0
12,2021,E02002648,2021 super output areas - middle layer,152,Other religion: Universalist,0
13,2021,E02002648,2021 super output areas - middle layer,152,Other religion: Valmiki,0
14,2021,E02002648,2021 super output areas - middle layer,152,Other religion: Vodun,0
15,2021,E02002648,2021 super output areas - middle layer,152,Other religion: Wicca,2
16,2021,E02002648,2021 super output areas - middle layer,152,Other religion: Witchcraft,0
17,2021,E02002648,2021 super output areas - middle layer,152,Other religion: Yazidi ,0
18,2021,E02002648,2021 super output areas - middle layer,152,Other religion: Zoroastrian,0
19,2021,E02002648,2021 super output areas - middle layer,152,Religion not stated,371
20,2021,E02002649,2021 super output areas - middle layer,152,Total: All Usual Residents,8349
21,2021,E02002649,2021 super output areas - middle layer,152,Christian,4263
22,2021,E02002649,2021 super output areas - middle layer,152,Buddhist,27
23,2021,E02002649,2021 super output areas - middle layer,152,Hindu,8
24,2021,E02002649,2021 super output areas - middle layer,152,Jewish,13
25,2021,E02002649,2021 super output areas - middle layer,152,Muslim ,73
