,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_GENDERID_7_NAME,OBS_VALUE
0,2021,E02002483,2021 super output areas - middle layer,152,Total,8176
1,2021,E02002483,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,7866
2,2021,E02002483,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,10
3,2021,E02002483,2021 super output areas - middle layer,152,Trans woman,3
4,2021,E02002483,2021 super output areas - middle layer,152,Trans man,4
5,2021,E02002483,2021 super output areas - middle layer,152,All other gender identities,0
6,2021,E02002483,2021 super output areas - middle layer,152,Not answered,293
7,2021,E02002484,2021 super output areas - middle layer,152,Total,8122
8,2021,E02002484,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,7587
9,2021,E02002484,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,23
10,2021,E02002484,2021 super output areas - middle layer,152,Trans woman,5
11,2021,E02002484,2021 super output areas - middle layer,152,Trans man,9
12,2021,E02002484,2021 super output areas - middle layer,152,All other gender identities,7
13,2021,E02002484,2021 super output areas - middle layer,152,Not answered,491
14,2021,E02002485,2021 super output areas - middle layer,152,Total,6231
15,2021,E02002485,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,5830
16,2021,E02002485,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,10
17,2021,E02002485,2021 super output areas - middle layer,152,Trans woman,3
18,2021,E02002485,2021 super output areas - middle layer,152,Trans man,5
19,2021,E02002485,2021 super output areas - middle layer,152,All other gender identities,4
20,2021,E02002485,2021 super output areas - middle layer,152,Not answered,379
21,2021,E02002489,2021 super output areas - middle layer,152,Total,5762
22,2021,E02002489,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,5385
23,2021,E02002489,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,15
24,2021,E02002489,2021 super output areas - middle layer,152,Trans woman,10
25,2021,E02002489,2021 super output areas - middle layer,152,Trans man,6
26,2021,E02002489,2021 super output areas - middle layer,152,All other gender identities,21
27,2021,E02002489,2021 super output areas - middle layer,152,Not answered,325
28,2021,E02002490,2021 super output areas - middle layer,152,Total,4615
29,2021,E02002490,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,4323
30,2021,E02002490,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,19
31,2021,E02002490,2021 super output areas - middle layer,152,Trans woman,5
32,2021,E02002490,2021 super output areas - middle layer,152,Trans man,4
33,2021,E02002490,2021 super output areas - middle layer,152,All other gender identities,4
34,2021,E02002490,2021 super output areas - middle layer,152,Not answered,260
35,2021,E02002491,2021 super output areas - middle layer,152,Total,5124
36,2021,E02002491,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,4832
37,2021,E02002491,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,11
38,2021,E02002491,2021 super output areas - middle layer,152,Trans woman,8
39,2021,E02002491,2021 super output areas - middle layer,152,Trans man,3
40,2021,E02002491,2021 super output areas - middle layer,152,All other gender identities,2
41,2021,E02002491,2021 super output areas - middle layer,152,Not answered,268
42,2021,E02002492,2021 super output areas - middle layer,152,Total,5476
43,2021,E02002492,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,5106
44,2021,E02002492,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,13
45,2021,E02002492,2021 super output areas - middle layer,152,Trans woman,2
46,2021,E02002492,2021 super output areas - middle layer,152,Trans man,3
47,2021,E02002492,2021 super output areas - middle layer,152,All other gender identities,1
48,2021,E02002492,2021 super output areas - middle layer,152,Not answered,351
49,2021,E02002493,2021 super output areas - middle layer,152,Total,5686
50,2021,E02002493,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,5417
51,2021,E02002493,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,8
52,2021,E02002493,2021 super output areas - middle layer,152,Trans woman,3
53,2021,E02002493,2021 super output areas - middle layer,152,Trans man,4
54,2021,E02002493,2021 super output areas - middle layer,152,All other gender identities,2
55,2021,E02002493,2021 super output areas - middle layer,152,Not answered,252
56,2021,E02002494,2021 super output areas - middle layer,152,Total,5839
57,2021,E02002494,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,5491
58,2021,E02002494,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,16
59,2021,E02002494,2021 super output areas - middle layer,152,Trans woman,4
60,2021,E02002494,2021 super output areas - middle layer,152,Trans man,3
61,2021,E02002494,2021 super output areas - middle layer,152,All other gender identities,5
62,2021,E02002494,2021 super output areas - middle layer,152,Not answered,320
63,2021,E02006909,2021 super output areas - middle layer,152,Total,10828
64,2021,E02006909,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,10410
65,2021,E02006909,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,16
66,2021,E02006909,2021 super output areas - middle layer,152,Trans woman,2
67,2021,E02006909,2021 super output areas - middle layer,152,Trans man,5
68,2021,E02006909,2021 super output areas - middle layer,152,All other gender identities,3
69,2021,E02006909,2021 super output areas - middle layer,152,Not answered,392
70,2021,E02007059,2021 super output areas - middle layer,152,Total,8829
71,2021,E02007059,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,8341
72,2021,E02007059,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,25
73,2021,E02007059,2021 super output areas - middle layer,152,Trans woman,6
74,2021,E02007059,2021 super output areas - middle layer,152,Trans man,5
75,2021,E02007059,2021 super output areas - middle layer,152,All other gender identities,6
76,2021,E02007059,2021 super output areas - middle layer,152,Not answered,446
77,2021,E02002496,2021 super output areas - middle layer,152,Total,9750
78,2021,E02002496,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,8522
79,2021,E02002496,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,110
80,2021,E02002496,2021 super output areas - middle layer,152,Trans woman,42
81,2021,E02002496,2021 super output areas - middle layer,152,Trans man,49
82,2021,E02002496,2021 super output areas - middle layer,152,All other gender identities,42
83,2021,E02002496,2021 super output areas - middle layer,152,Not answered,985
84,2021,E02002497,2021 super output areas - middle layer,152,Total,4644
85,2021,E02002497,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,4160
86,2021,E02002497,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,40
87,2021,E02002497,2021 super output areas - middle layer,152,Trans woman,8
88,2021,E02002497,2021 super output areas - middle layer,152,Trans man,10
89,2021,E02002497,2021 super output areas - middle layer,152,All other gender identities,7
90,2021,E02002497,2021 super output areas - middle layer,152,Not answered,419
91,2021,E02002498,2021 super output areas - middle layer,152,Total,6675
92,2021,E02002498,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,5863
93,2021,E02002498,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,108
94,2021,E02002498,2021 super output areas - middle layer,152,Trans woman,20
95,2021,E02002498,2021 super output areas - middle layer,152,Trans man,28
96,2021,E02002498,2021 super output areas - middle layer,152,All other gender identities,19
97,2021,E02002498,2021 super output areas - middle layer,152,Not answered,637
98,2021,E02002499,2021 super output areas - middle layer,152,Total,5642
99,2021,E02002499,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,5257
100,2021,E02002499,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,23
101,2021,E02002499,2021 super output areas - middle layer,152,Trans woman,9
102,2021,E02002499,2021 super output areas - middle layer,152,Trans man,7
103,2021,E02002499,2021 super output areas - middle layer,152,All other gender identities,6
104,2021,E02002499,2021 super output areas - middle layer,152,Not answered,340
105,2021,E02002500,2021 super output areas - middle layer,152,Total,4670
106,2021,E02002500,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,4334
107,2021,E02002500,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,18
108,2021,E02002500,2021 super output areas - middle layer,152,Trans woman,10
109,2021,E02002500,2021 super output areas - middle layer,152,Trans man,12
110,2021,E02002500,2021 super output areas - middle layer,152,All other gender identities,5
111,2021,E02002500,2021 super output areas - middle layer,152,Not answered,291
112,2021,E02002501,2021 super output areas - middle layer,152,Total,4718
113,2021,E02002501,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,4361
114,2021,E02002501,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,18
115,2021,E02002501,2021 super output areas - middle layer,152,Trans woman,8
116,2021,E02002501,2021 super output areas - middle layer,152,Trans man,4
117,2021,E02002501,2021 super output areas - middle layer,152,All other gender identities,3
118,2021,E02002501,2021 super output areas - middle layer,152,Not answered,324
119,2021,E02002502,2021 super output areas - middle layer,152,Total,7520
120,2021,E02002502,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,6994
121,2021,E02002502,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,23
122,2021,E02002502,2021 super output areas - middle layer,152,Trans woman,2
123,2021,E02002502,2021 super output areas - middle layer,152,Trans man,5
124,2021,E02002502,2021 super output areas - middle layer,152,All other gender identities,0
125,2021,E02002502,2021 super output areas - middle layer,152,Not answered,496
126,2021,E02002503,2021 super output areas - middle layer,152,Total,5079
127,2021,E02002503,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,4730
128,2021,E02002503,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,24
129,2021,E02002503,2021 super output areas - middle layer,152,Trans woman,3
130,2021,E02002503,2021 super output areas - middle layer,152,Trans man,7
131,2021,E02002503,2021 super output areas - middle layer,152,All other gender identities,4
132,2021,E02002503,2021 super output areas - middle layer,152,Not answered,311
133,2021,E02002504,2021 super output areas - middle layer,152,Total,7701
134,2021,E02002504,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,7157
135,2021,E02002504,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,26
136,2021,E02002504,2021 super output areas - middle layer,152,Trans woman,8
137,2021,E02002504,2021 super output areas - middle layer,152,Trans man,11
138,2021,E02002504,2021 super output areas - middle layer,152,All other gender identities,12
139,2021,E02002504,2021 super output areas - middle layer,152,Not answered,487
140,2021,E02002505,2021 super output areas - middle layer,152,Total,4679
141,2021,E02002505,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,4387
142,2021,E02002505,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,9
143,2021,E02002505,2021 super output areas - middle layer,152,Trans woman,3
144,2021,E02002505,2021 super output areas - middle layer,152,Trans man,5
145,2021,E02002505,2021 super output areas - middle layer,152,All other gender identities,7
146,2021,E02002505,2021 super output areas - middle layer,152,Not answered,268
147,2021,E02002506,2021 super output areas - middle layer,152,Total,4404
148,2021,E02002506,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,4001
149,2021,E02002506,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,11
150,2021,E02002506,2021 super output areas - middle layer,152,Trans woman,3
151,2021,E02002506,2021 super output areas - middle layer,152,Trans man,4
152,2021,E02002506,2021 super output areas - middle layer,152,All other gender identities,4
153,2021,E02002506,2021 super output areas - middle layer,152,Not answered,381
154,2021,E02002507,2021 super output areas - middle layer,152,Total,5059
155,2021,E02002507,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,4803
156,2021,E02002507,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,9
157,2021,E02002507,2021 super output areas - middle layer,152,Trans woman,4
158,2021,E02002507,2021 super output areas - middle layer,152,Trans man,0
159,2021,E02002507,2021 super output areas - middle layer,152,All other gender identities,2
160,2021,E02002507,2021 super output areas - middle layer,152,Not answered,241
161,2021,E02002508,2021 super output areas - middle layer,152,Total,4470
162,2021,E02002508,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,4257
163,2021,E02002508,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,5
164,2021,E02002508,2021 super output areas - middle layer,152,Trans woman,1
165,2021,E02002508,2021 super output areas - middle layer,152,Trans man,3
166,2021,E02002508,2021 super output areas - middle layer,152,All other gender identities,3
167,2021,E02002508,2021 super output areas - middle layer,152,Not answered,201
168,2021,E02002509,2021 super output areas - middle layer,152,Total,4119
169,2021,E02002509,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,3865
170,2021,E02002509,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,14
171,2021,E02002509,2021 super output areas - middle layer,152,Trans woman,4
172,2021,E02002509,2021 super output areas - middle layer,152,Trans man,7
173,2021,E02002509,2021 super output areas - middle layer,152,All other gender identities,1
174,2021,E02002509,2021 super output areas - middle layer,152,Not answered,228
175,2021,E02002510,2021 super output areas - middle layer,152,Total,5858
176,2021,E02002510,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,5624
177,2021,E02002510,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,9
178,2021,E02002510,2021 super output areas - middle layer,152,Trans woman,3
179,2021,E02002510,2021 super output areas - middle layer,152,Trans man,4
180,2021,E02002510,2021 super output areas - middle layer,152,All other gender identities,1
181,2021,E02002510,2021 super output areas - middle layer,152,Not answered,217
182,2021,E02002512,2021 super output areas - middle layer,152,Total,4473
183,2021,E02002512,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,4289
184,2021,E02002512,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,4
185,2021,E02002512,2021 super output areas - middle layer,152,Trans woman,1
186,2021,E02002512,2021 super output areas - middle layer,152,Trans man,1
187,2021,E02002512,2021 super output areas - middle layer,152,All other gender identities,0
188,2021,E02002512,2021 super output areas - middle layer,152,Not answered,178
189,2021,E02002513,2021 super output areas - middle layer,152,Total,8250
190,2021,E02002513,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,7875
191,2021,E02002513,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,25
192,2021,E02002513,2021 super output areas - middle layer,152,Trans woman,6
193,2021,E02002513,2021 super output areas - middle layer,152,Trans man,6
194,2021,E02002513,2021 super output areas - middle layer,152,All other gender identities,7
195,2021,E02002513,2021 super output areas - middle layer,152,Not answered,331
196,2021,E02002514,2021 super output areas - middle layer,152,Total,6943
197,2021,E02002514,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,6604
198,2021,E02002514,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,15
199,2021,E02002514,2021 super output areas - middle layer,152,Trans woman,4
200,2021,E02002514,2021 super output areas - middle layer,152,Trans man,3
201,2021,E02002514,2021 super output areas - middle layer,152,All other gender identities,4
202,2021,E02002514,2021 super output areas - middle layer,152,Not answered,313
203,2021,E02006811,2021 super output areas - middle layer,152,Total,9295
204,2021,E02006811,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,8930
205,2021,E02006811,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,10
206,2021,E02006811,2021 super output areas - middle layer,152,Trans woman,3
207,2021,E02006811,2021 super output areas - middle layer,152,Trans man,8
208,2021,E02006811,2021 super output areas - middle layer,152,All other gender identities,3
209,2021,E02006811,2021 super output areas - middle layer,152,Not answered,341
210,2021,E02002515,2021 super output areas - middle layer,152,Total,5465
211,2021,E02002515,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,5093
212,2021,E02002515,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,10
213,2021,E02002515,2021 super output areas - middle layer,152,Trans woman,7
214,2021,E02002515,2021 super output areas - middle layer,152,Trans man,4
215,2021,E02002515,2021 super output areas - middle layer,152,All other gender identities,3
216,2021,E02002515,2021 super output areas - middle layer,152,Not answered,348
217,2021,E02002516,2021 super output areas - middle layer,152,Total,4655
218,2021,E02002516,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,4435
219,2021,E02002516,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,4
220,2021,E02002516,2021 super output areas - middle layer,152,Trans woman,5
221,2021,E02002516,2021 super output areas - middle layer,152,Trans man,3
222,2021,E02002516,2021 super output areas - middle layer,152,All other gender identities,3
223,2021,E02002516,2021 super output areas - middle layer,152,Not answered,205
224,2021,E02002517,2021 super output areas - middle layer,152,Total,4284
225,2021,E02002517,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,4054
226,2021,E02002517,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,8
227,2021,E02002517,2021 super output areas - middle layer,152,Trans woman,1
228,2021,E02002517,2021 super output areas - middle layer,152,Trans man,3
229,2021,E02002517,2021 super output areas - middle layer,152,All other gender identities,4
230,2021,E02002517,2021 super output areas - middle layer,152,Not answered,214
231,2021,E02002518,2021 super output areas - middle layer,152,Total,9098
232,2021,E02002518,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,8696
233,2021,E02002518,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,6
234,2021,E02002518,2021 super output areas - middle layer,152,Trans woman,5
235,2021,E02002518,2021 super output areas - middle layer,152,Trans man,5
236,2021,E02002518,2021 super output areas - middle layer,152,All other gender identities,6
237,2021,E02002518,2021 super output areas - middle layer,152,Not answered,380
238,2021,E02002519,2021 super output areas - middle layer,152,Total,5983
239,2021,E02002519,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,5631
240,2021,E02002519,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,6
241,2021,E02002519,2021 super output areas - middle layer,152,Trans woman,5
242,2021,E02002519,2021 super output areas - middle layer,152,Trans man,8
243,2021,E02002519,2021 super output areas - middle layer,152,All other gender identities,3
244,2021,E02002519,2021 super output areas - middle layer,152,Not answered,330
245,2021,E02002520,2021 super output areas - middle layer,152,Total,11074
246,2021,E02002520,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,10578
247,2021,E02002520,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,9
248,2021,E02002520,2021 super output areas - middle layer,152,Trans woman,10
249,2021,E02002520,2021 super output areas - middle layer,152,Trans man,8
250,2021,E02002520,2021 super output areas - middle layer,152,All other gender identities,7
251,2021,E02002520,2021 super output areas - middle layer,152,Not answered,462
252,2021,E02002521,2021 super output areas - middle layer,152,Total,5110
253,2021,E02002521,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,4711
254,2021,E02002521,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,6
255,2021,E02002521,2021 super output areas - middle layer,152,Trans woman,8
256,2021,E02002521,2021 super output areas - middle layer,152,Trans man,4
257,2021,E02002521,2021 super output areas - middle layer,152,All other gender identities,6
258,2021,E02002521,2021 super output areas - middle layer,152,Not answered,375
259,2021,E02002523,2021 super output areas - middle layer,152,Total,4604
260,2021,E02002523,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,4250
261,2021,E02002523,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,23
262,2021,E02002523,2021 super output areas - middle layer,152,Trans woman,3
263,2021,E02002523,2021 super output areas - middle layer,152,Trans man,2
264,2021,E02002523,2021 super output areas - middle layer,152,All other gender identities,7
265,2021,E02002523,2021 super output areas - middle layer,152,Not answered,319
266,2021,E02002524,2021 super output areas - middle layer,152,Total,4427
267,2021,E02002524,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,4185
268,2021,E02002524,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,1
269,2021,E02002524,2021 super output areas - middle layer,152,Trans woman,2
270,2021,E02002524,2021 super output areas - middle layer,152,Trans man,2
271,2021,E02002524,2021 super output areas - middle layer,152,All other gender identities,3
272,2021,E02002524,2021 super output areas - middle layer,152,Not answered,234
273,2021,E02002525,2021 super output areas - middle layer,152,Total,6735
274,2021,E02002525,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,6400
275,2021,E02002525,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,20
276,2021,E02002525,2021 super output areas - middle layer,152,Trans woman,4
277,2021,E02002525,2021 super output areas - middle layer,152,Trans man,9
278,2021,E02002525,2021 super output areas - middle layer,152,All other gender identities,2
279,2021,E02002525,2021 super output areas - middle layer,152,Not answered,300
280,2021,E02002526,2021 super output areas - middle layer,152,Total,6312
281,2021,E02002526,2021 super output areas - middle layer,152,Gender identity the same as sex registered at birth,6015
282,2021,E02002526,2021 super output areas - middle layer,152,Gender identity different from sex registered at birth but no specific identity given,8
283,2021,E02002526,2021 super output areas - middle layer,152,Trans woman,1
284,2021,E02002526,2021 super output areas - middle layer,152,Trans man,5
285,2021,E02002526,2021 super output areas - middle layer,152,All other gender identities,3
286,2021,E02002526,2021 super output areas - middle layer,152,Not answered,280
287,2021,E02002527,2021 super output areas - middle layer,152,Total,4003
