,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_2ADDR_4_NAME,OBS_VALUE
0,2021,E02003086,2021 super output areas - middle layer,152,Total: All usual residents,6127
1,2021,E02003086,2021 super output areas - middle layer,152,No second address,5869
2,2021,E02003086,2021 super output areas - middle layer,152,Second address is in the UK,208
3,2021,E02003086,2021 super output areas - middle layer,152,Second address is outside the UK,50
4,2021,E02003087,2021 super output areas - middle layer,152,Total: All usual residents,10810
5,2021,E02003087,2021 super output areas - middle layer,152,No second address,10385
6,2021,E02003087,2021 super output areas - middle layer,152,Second address is in the UK,363
7,2021,E02003087,2021 super output areas - middle layer,152,Second address is outside the UK,62
8,2021,E02003088,2021 super output areas - middle layer,152,Total: All usual residents,9045
9,2021,E02003088,2021 super output areas - middle layer,152,No second address,8509
10,2021,E02003088,2021 super output areas - middle layer,152,Second address is in the UK,424
11,2021,E02003088,2021 super output areas - middle layer,152,Second address is outside the UK,112
12,2021,E02003089,2021 super output areas - middle layer,152,Total: All usual residents,5961
13,2021,E02003089,2021 super output areas - middle layer,152,No second address,5757
14,2021,E02003089,2021 super output areas - middle layer,152,Second address is in the UK,167
15,2021,E02003089,2021 super output areas - middle layer,152,Second address is outside the UK,37
16,2021,E02006845,2021 super output areas - middle layer,152,Total: All usual residents,9636
17,2021,E02006845,2021 super output areas - middle layer,152,No second address,9263
18,2021,E02006845,2021 super output areas - middle layer,152,Second address is in the UK,322
19,2021,E02006845,2021 super output areas - middle layer,152,Second address is outside the UK,51
20,2021,E02006846,2021 super output areas - middle layer,152,Total: All usual residents,9709
21,2021,E02006846,2021 super output areas - middle layer,152,No second address,9276
22,2021,E02006846,2021 super output areas - middle layer,152,Second address is in the UK,377
23,2021,E02006846,2021 super output areas - middle layer,152,Second address is outside the UK,56
24,2021,E02003090,2021 super output areas - middle layer,152,Total: All usual residents,9440
25,2021,E02003090,2021 super output areas - middle layer,152,No second address,9087
26,2021,E02003090,2021 super output areas - middle layer,152,Second address is in the UK,311
27,2021,E02003090,2021 super output areas - middle layer,152,Second address is outside the UK,42
28,2021,E02003091,2021 super output areas - middle layer,152,Total: All usual residents,6722
29,2021,E02003091,2021 super output areas - middle layer,152,No second address,6440
30,2021,E02003091,2021 super output areas - middle layer,152,Second address is in the UK,234
31,2021,E02003091,2021 super output areas - middle layer,152,Second address is outside the UK,48
32,2021,E02003092,2021 super output areas - middle layer,152,Total: All usual residents,8756
33,2021,E02003092,2021 super output areas - middle layer,152,No second address,8381
34,2021,E02003092,2021 super output areas - middle layer,152,Second address is in the UK,309
35,2021,E02003092,2021 super output areas - middle layer,152,Second address is outside the UK,66
36,2021,E02003093,2021 super output areas - middle layer,152,Total: All usual residents,6680
37,2021,E02003093,2021 super output areas - middle layer,152,No second address,6358
38,2021,E02003093,2021 super output areas - middle layer,152,Second address is in the UK,253
39,2021,E02003093,2021 super output areas - middle layer,152,Second address is outside the UK,69
40,2021,E02003094,2021 super output areas - middle layer,152,Total: All usual residents,8899
41,2021,E02003094,2021 super output areas - middle layer,152,No second address,8540
42,2021,E02003094,2021 super output areas - middle layer,152,Second address is in the UK,282
43,2021,E02003094,2021 super output areas - middle layer,152,Second address is outside the UK,77
44,2021,E02003095,2021 super output areas - middle layer,152,Total: All usual residents,8612
45,2021,E02003095,2021 super output areas - middle layer,152,No second address,8300
46,2021,E02003095,2021 super output areas - middle layer,152,Second address is in the UK,264
47,2021,E02003095,2021 super output areas - middle layer,152,Second address is outside the UK,48
48,2021,E02003096,2021 super output areas - middle layer,152,Total: All usual residents,6302
49,2021,E02003096,2021 super output areas - middle layer,152,No second address,6089
50,2021,E02003096,2021 super output areas - middle layer,152,Second address is in the UK,183
51,2021,E02003096,2021 super output areas - middle layer,152,Second address is outside the UK,30
52,2021,E02003097,2021 super output areas - middle layer,152,Total: All usual residents,6502
53,2021,E02003097,2021 super output areas - middle layer,152,No second address,6251
54,2021,E02003097,2021 super output areas - middle layer,152,Second address is in the UK,215
55,2021,E02003097,2021 super output areas - middle layer,152,Second address is outside the UK,36
56,2021,E02003098,2021 super output areas - middle layer,152,Total: All usual residents,10027
57,2021,E02003098,2021 super output areas - middle layer,152,No second address,9612
58,2021,E02003098,2021 super output areas - middle layer,152,Second address is in the UK,312
