,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_MHHLANG_5_NAME,OBS_VALUE
0,2021,E02000141,2021 super output areas - middle layer,152,Main language differs within partnerships,123
1,2021,E02000141,2021 super output areas - middle layer,152,Any other combination of multiple main languages,62
2,2021,E02000142,2021 super output areas - middle layer,152,Total: All households,3453
3,2021,E02000142,2021 super output areas - middle layer,152,One-person household,897
4,2021,E02000142,2021 super output areas - middle layer,152,All household members have the same main language,2298
5,2021,E02000142,2021 super output areas - middle layer,152,"Main language differs between generations, but not within partnerships",71
6,2021,E02000142,2021 super output areas - middle layer,152,Main language differs within partnerships,125
7,2021,E02000142,2021 super output areas - middle layer,152,Any other combination of multiple main languages,62
8,2021,E02000144,2021 super output areas - middle layer,152,Total: All households,4313
9,2021,E02000144,2021 super output areas - middle layer,152,One-person household,1298
10,2021,E02000144,2021 super output areas - middle layer,152,All household members have the same main language,2536
11,2021,E02000144,2021 super output areas - middle layer,152,"Main language differs between generations, but not within partnerships",143
12,2021,E02000144,2021 super output areas - middle layer,152,Main language differs within partnerships,231
13,2021,E02000144,2021 super output areas - middle layer,152,Any other combination of multiple main languages,105
14,2021,E02000145,2021 super output areas - middle layer,152,Total: All households,3513
15,2021,E02000145,2021 super output areas - middle layer,152,One-person household,1041
16,2021,E02000145,2021 super output areas - middle layer,152,All household members have the same main language,2211
17,2021,E02000145,2021 super output areas - middle layer,152,"Main language differs between generations, but not within partnerships",101
18,2021,E02000145,2021 super output areas - middle layer,152,Main language differs within partnerships,91
19,2021,E02000145,2021 super output areas - middle layer,152,Any other combination of multiple main languages,69
20,2021,E02000146,2021 super output areas - middle layer,152,Total: All households,4041
21,2021,E02000146,2021 super output areas - middle layer,152,One-person household,1243
22,2021,E02000146,2021 super output areas - middle layer,152,All household members have the same main language,2524
23,2021,E02000146,2021 super output areas - middle layer,152,"Main language differs between generations, but not within partnerships",75
24,2021,E02000146,2021 super output areas - middle layer,152,Main language differs within partnerships,124
25,2021,E02000146,2021 super output areas - middle layer,152,Any other combination of multiple main languages,75
26,2021,E02000147,2021 super output areas - middle layer,152,Total: All households,3169
