,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_WORKED_4_NAME,OBS_VALUE
0,2021,E02003086,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over not in employment the week before the census,2575
1,2021,E02003086,2021 super output areas - middle layer,152,Not in employment: Worked in the last 12 months,268
2,2021,E02003086,2021 super output areas - middle layer,152,Not in employment: Not worked in the last 12 months,1882
3,2021,E02003086,2021 super output areas - middle layer,152,Not in employment: Never worked,425
4,2021,E02003087,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over not in employment the week before the census,4017
5,2021,E02003087,2021 super output areas - middle layer,152,Not in employment: Worked in the last 12 months,389
6,2021,E02003087,2021 super output areas - middle layer,152,Not in employment: Not worked in the last 12 months,2959
7,2021,E02003087,2021 super output areas - middle layer,152,Not in employment: Never worked,669
8,2021,E02003088,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over not in employment the week before the census,3606
9,2021,E02003088,2021 super output areas - middle layer,152,Not in employment: Worked in the last 12 months,359
10,2021,E02003088,2021 super output areas - middle layer,152,Not in employment: Not worked in the last 12 months,2760
11,2021,E02003088,2021 super output areas - middle layer,152,Not in employment: Never worked,487
12,2021,E02003089,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over not in employment the week before the census,2376
13,2021,E02003089,2021 super output areas - middle layer,152,Not in employment: Worked in the last 12 months,227
14,2021,E02003089,2021 super output areas - middle layer,152,Not in employment: Not worked in the last 12 months,1737
15,2021,E02003089,2021 super output areas - middle layer,152,Not in employment: Never worked,412
16,2021,E02006845,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over not in employment the week before the census,2471
17,2021,E02006845,2021 super output areas - middle layer,152,Not in employment: Worked in the last 12 months,322
18,2021,E02006845,2021 super output areas - middle layer,152,Not in employment: Not worked in the last 12 months,1578
19,2021,E02006845,2021 super output areas - middle layer,152,Not in employment: Never worked,571
20,2021,E02006846,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over not in employment the week before the census,1747
21,2021,E02006846,2021 super output areas - middle layer,152,Not in employment: Worked in the last 12 months,330
22,2021,E02006846,2021 super output areas - middle layer,152,Not in employment: Not worked in the last 12 months,1010
23,2021,E02006846,2021 super output areas - middle layer,152,Not in employment: Never worked,407
24,2021,E02003090,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over not in employment the week before the census,3180
25,2021,E02003090,2021 super output areas - middle layer,152,Not in employment: Worked in the last 12 months,336
26,2021,E02003090,2021 super output areas - middle layer,152,Not in employment: Not worked in the last 12 months,2383
27,2021,E02003090,2021 super output areas - middle layer,152,Not in employment: Never worked,461
28,2021,E02003091,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over not in employment the week before the census,2391
29,2021,E02003091,2021 super output areas - middle layer,152,Not in employment: Worked in the last 12 months,250
30,2021,E02003091,2021 super output areas - middle layer,152,Not in employment: Not worked in the last 12 months,1780
31,2021,E02003091,2021 super output areas - middle layer,152,Not in employment: Never worked,361
32,2021,E02003092,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over not in employment the week before the census,2711
33,2021,E02003092,2021 super output areas - middle layer,152,Not in employment: Worked in the last 12 months,323
34,2021,E02003092,2021 super output areas - middle layer,152,Not in employment: Not worked in the last 12 months,1964
35,2021,E02003092,2021 super output areas - middle layer,152,Not in employment: Never worked,424
36,2021,E02003093,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over not in employment the week before the census,2647
37,2021,E02003093,2021 super output areas - middle layer,152,Not in employment: Worked in the last 12 months,278
38,2021,E02003093,2021 super output areas - middle layer,152,Not in employment: Not worked in the last 12 months,2044
39,2021,E02003093,2021 super output areas - middle layer,152,Not in employment: Never worked,325
40,2021,E02003094,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over not in employment the week before the census,2764
41,2021,E02003094,2021 super output areas - middle layer,152,Not in employment: Worked in the last 12 months,348
42,2021,E02003094,2021 super output areas - middle layer,152,Not in employment: Not worked in the last 12 months,1905
43,2021,E02003094,2021 super output areas - middle layer,152,Not in employment: Never worked,511
44,2021,E02003095,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over not in employment the week before the census,2447
45,2021,E02003095,2021 super output areas - middle layer,152,Not in employment: Worked in the last 12 months,288
46,2021,E02003095,2021 super output areas - middle layer,152,Not in employment: Not worked in the last 12 months,1704
47,2021,E02003095,2021 super output areas - middle layer,152,Not in employment: Never worked,455
48,2021,E02003096,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over not in employment the week before the census,1941
49,2021,E02003096,2021 super output areas - middle layer,152,Not in employment: Worked in the last 12 months,243
50,2021,E02003096,2021 super output areas - middle layer,152,Not in employment: Not worked in the last 12 months,1308
51,2021,E02003096,2021 super output areas - middle layer,152,Not in employment: Never worked,390
52,2021,E02003097,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over not in employment the week before the census,2494
