,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HHVETERAN_5_NAME,OBS_VALUE
0,2021,E02000959,2021 super output areas - middle layer,152,Total: All households,3104
1,2021,E02000959,2021 super output areas - middle layer,152,No people in the household previously served in UK armed forces,3039
2,2021,E02000959,2021 super output areas - middle layer,152,1 person in the household previously served in UK armed forces,64
3,2021,E02000959,2021 super output areas - middle layer,152,2 people in the household previously served in UK armed forces,1
4,2021,E02000959,2021 super output areas - middle layer,152,3 or more people in the household previously served in UK armed forces,0
5,2021,E02007083,2021 super output areas - middle layer,152,Total: All households,4106
6,2021,E02007083,2021 super output areas - middle layer,152,No people in the household previously served in UK armed forces,4039
7,2021,E02007083,2021 super output areas - middle layer,152,1 person in the household previously served in UK armed forces,62
8,2021,E02007083,2021 super output areas - middle layer,152,2 people in the household previously served in UK armed forces,5
9,2021,E02007083,2021 super output areas - middle layer,152,3 or more people in the household previously served in UK armed forces,0
10,2021,E02007084,2021 super output areas - middle layer,152,Total: All households,4136
11,2021,E02007084,2021 super output areas - middle layer,152,No people in the household previously served in UK armed forces,4050
12,2021,E02007084,2021 super output areas - middle layer,152,1 person in the household previously served in UK armed forces,85
13,2021,E02007084,2021 super output areas - middle layer,152,2 people in the household previously served in UK armed forces,1
14,2021,E02007084,2021 super output areas - middle layer,152,3 or more people in the household previously served in UK armed forces,0
15,2021,E02000960,2021 super output areas - middle layer,152,Total: All households,2782
16,2021,E02000960,2021 super output areas - middle layer,152,No people in the household previously served in UK armed forces,2716
17,2021,E02000960,2021 super output areas - middle layer,152,1 person in the household previously served in UK armed forces,66
18,2021,E02000960,2021 super output areas - middle layer,152,2 people in the household previously served in UK armed forces,0
19,2021,E02000960,2021 super output areas - middle layer,152,3 or more people in the household previously served in UK armed forces,0
20,2021,E02000961,2021 super output areas - middle layer,152,Total: All households,4068
21,2021,E02000961,2021 super output areas - middle layer,152,No people in the household previously served in UK armed forces,3987
22,2021,E02000961,2021 super output areas - middle layer,152,1 person in the household previously served in UK armed forces,79
23,2021,E02000961,2021 super output areas - middle layer,152,2 people in the household previously served in UK armed forces,2
24,2021,E02000961,2021 super output areas - middle layer,152,3 or more people in the household previously served in UK armed forces,0
25,2021,E02000962,2021 super output areas - middle layer,152,Total: All households,3858
26,2021,E02000962,2021 super output areas - middle layer,152,No people in the household previously served in UK armed forces,3784
27,2021,E02000962,2021 super output areas - middle layer,152,1 person in the household previously served in UK armed forces,71
28,2021,E02000962,2021 super output areas - middle layer,152,2 people in the household previously served in UK armed forces,3
29,2021,E02000962,2021 super output areas - middle layer,152,3 or more people in the household previously served in UK armed forces,0
30,2021,E02000963,2021 super output areas - middle layer,152,Total: All households,4135
31,2021,E02000963,2021 super output areas - middle layer,152,No people in the household previously served in UK armed forces,4071
32,2021,E02000963,2021 super output areas - middle layer,152,1 person in the household previously served in UK armed forces,64
33,2021,E02000963,2021 super output areas - middle layer,152,2 people in the household previously served in UK armed forces,0
34,2021,E02000963,2021 super output areas - middle layer,152,3 or more people in the household previously served in UK armed forces,0
35,2021,E02000964,2021 super output areas - middle layer,152,Total: All households,5358
36,2021,E02000964,2021 super output areas - middle layer,152,No people in the household previously served in UK armed forces,5287
37,2021,E02000964,2021 super output areas - middle layer,152,1 person in the household previously served in UK armed forces,71
38,2021,E02000964,2021 super output areas - middle layer,152,2 people in the household previously served in UK armed forces,0
39,2021,E02000964,2021 super output areas - middle layer,152,3 or more people in the household previously served in UK armed forces,0
40,2021,E02000965,2021 super output areas - middle layer,152,Total: All households,3623
41,2021,E02000965,2021 super output areas - middle layer,152,No people in the household previously served in UK armed forces,3567
42,2021,E02000965,2021 super output areas - middle layer,152,1 person in the household previously served in UK armed forces,56
43,2021,E02000965,2021 super output areas - middle layer,152,2 people in the household previously served in UK armed forces,0
44,2021,E02000965,2021 super output areas - middle layer,152,3 or more people in the household previously served in UK armed forces,0
45,2021,E02000966,2021 super output areas - middle layer,152,Total: All households,4110
46,2021,E02000966,2021 super output areas - middle layer,152,No people in the household previously served in UK armed forces,4019
47,2021,E02000966,2021 super output areas - middle layer,152,1 person in the household previously served in UK armed forces,89
48,2021,E02000966,2021 super output areas - middle layer,152,2 people in the household previously served in UK armed forces,2
49,2021,E02000966,2021 super output areas - middle layer,152,3 or more people in the household previously served in UK armed forces,0
50,2021,E02000967,2021 super output areas - middle layer,152,Total: All households,3013
51,2021,E02000967,2021 super output areas - middle layer,152,No people in the household previously served in UK armed forces,2938
52,2021,E02000967,2021 super output areas - middle layer,152,1 person in the household previously served in UK armed forces,75
53,2021,E02000967,2021 super output areas - middle layer,152,2 people in the household previously served in UK armed forces,0
54,2021,E02000967,2021 super output areas - middle layer,152,3 or more people in the household previously served in UK armed forces,0
55,2021,E02000968,2021 super output areas - middle layer,152,Total: All households,5617
56,2021,E02000968,2021 super output areas - middle layer,152,No people in the household previously served in UK armed forces,5509
57,2021,E02000968,2021 super output areas - middle layer,152,1 person in the household previously served in UK armed forces,108
58,2021,E02000968,2021 super output areas - middle layer,152,2 people in the household previously served in UK armed forces,0
59,2021,E02000968,2021 super output areas - middle layer,152,3 or more people in the household previously served in UK armed forces,0
60,2021,E02000969,2021 super output areas - middle layer,152,Total: All households,3718
61,2021,E02000969,2021 super output areas - middle layer,152,No people in the household previously served in UK armed forces,3669
62,2021,E02000969,2021 super output areas - middle layer,152,1 person in the household previously served in UK armed forces,49
63,2021,E02000969,2021 super output areas - middle layer,152,2 people in the household previously served in UK armed forces,0
64,2021,E02000969,2021 super output areas - middle layer,152,3 or more people in the household previously served in UK armed forces,0
65,2021,E02000970,2021 super output areas - middle layer,152,Total: All households,3556
66,2021,E02000970,2021 super output areas - middle layer,152,No people in the household previously served in UK armed forces,3477
67,2021,E02000970,2021 super output areas - middle layer,152,1 person in the household previously served in UK armed forces,78
68,2021,E02000970,2021 super output areas - middle layer,152,2 people in the household previously served in UK armed forces,1
69,2021,E02000970,2021 super output areas - middle layer,152,3 or more people in the household previously served in UK armed forces,0
70,2021,E02000971,2021 super output areas - middle layer,152,Total: All households,3721
71,2021,E02000971,2021 super output areas - middle layer,152,No people in the household previously served in UK armed forces,3645
72,2021,E02000971,2021 super output areas - middle layer,152,1 person in the household previously served in UK armed forces,74
73,2021,E02000971,2021 super output areas - middle layer,152,2 people in the household previously served in UK armed forces,2
74,2021,E02000971,2021 super output areas - middle layer,152,3 or more people in the household previously served in UK armed forces,0
75,2021,E02000972,2021 super output areas - middle layer,152,Total: All households,4255
76,2021,E02000972,2021 super output areas - middle layer,152,No people in the household previously served in UK armed forces,4178
77,2021,E02000972,2021 super output areas - middle layer,152,1 person in the household previously served in UK armed forces,74
78,2021,E02000972,2021 super output areas - middle layer,152,2 people in the household previously served in UK armed forces,3
79,2021,E02000972,2021 super output areas - middle layer,152,3 or more people in the household previously served in UK armed forces,0
80,2021,E02000973,2021 super output areas - middle layer,152,Total: All households,4797
81,2021,E02000973,2021 super output areas - middle layer,152,No people in the household previously served in UK armed forces,4686
82,2021,E02000973,2021 super output areas - middle layer,152,1 person in the household previously served in UK armed forces,108
83,2021,E02000973,2021 super output areas - middle layer,152,2 people in the household previously served in UK armed forces,2
84,2021,E02000973,2021 super output areas - middle layer,152,3 or more people in the household previously served in UK armed forces,1
85,2021,E02000974,2021 super output areas - middle layer,152,Total: All households,3982
86,2021,E02000974,2021 super output areas - middle layer,152,No people in the household previously served in UK armed forces,3888
87,2021,E02000974,2021 super output areas - middle layer,152,1 person in the household previously served in UK armed forces,93
88,2021,E02000974,2021 super output areas - middle layer,152,2 people in the household previously served in UK armed forces,1
89,2021,E02000974,2021 super output areas - middle layer,152,3 or more people in the household previously served in UK armed forces,0
90,2021,E02000975,2021 super output areas - middle layer,152,Total: All households,3799
91,2021,E02000975,2021 super output areas - middle layer,152,No people in the household previously served in UK armed forces,3743
92,2021,E02000975,2021 super output areas - middle layer,152,1 person in the household previously served in UK armed forces,56
93,2021,E02000975,2021 super output areas - middle layer,152,2 people in the household previously served in UK armed forces,0
94,2021,E02000975,2021 super output areas - middle layer,152,3 or more people in the household previously served in UK armed forces,0
95,2021,E02000976,2021 super output areas - middle layer,152,Total: All households,4212
96,2021,E02000976,2021 super output areas - middle layer,152,No people in the household previously served in UK armed forces,4136
97,2021,E02000976,2021 super output areas - middle layer,152,1 person in the household previously served in UK armed forces,75
98,2021,E02000976,2021 super output areas - middle layer,152,2 people in the household previously served in UK armed forces,0
99,2021,E02000976,2021 super output areas - middle layer,152,3 or more people in the household previously served in UK armed forces,1
100,2021,E02000977,2021 super output areas - middle layer,152,Total: All households,3435
101,2021,E02000977,2021 super output areas - middle layer,152,No people in the household previously served in UK armed forces,3347
102,2021,E02000977,2021 super output areas - middle layer,152,1 person in the household previously served in UK armed forces,87
103,2021,E02000977,2021 super output areas - middle layer,152,2 people in the household previously served in UK armed forces,1
104,2021,E02000977,2021 super output areas - middle layer,152,3 or more people in the household previously served in UK armed forces,0
105,2021,E02000978,2021 super output areas - middle layer,152,Total: All households,2764
106,2021,E02000978,2021 super output areas - middle layer,152,No people in the household previously served in UK armed forces,2675
107,2021,E02000978,2021 super output areas - middle layer,152,1 person in the household previously served in UK armed forces,88
108,2021,E02000978,2021 super output areas - middle layer,152,2 people in the household previously served in UK armed forces,1
109,2021,E02000978,2021 super output areas - middle layer,152,3 or more people in the household previously served in UK armed forces,0
110,2021,E02000979,2021 super output areas - middle layer,152,Total: All households,3926
111,2021,E02000979,2021 super output areas - middle layer,152,No people in the household previously served in UK armed forces,3790
112,2021,E02000979,2021 super output areas - middle layer,152,1 person in the household previously served in UK armed forces,136
113,2021,E02000979,2021 super output areas - middle layer,152,2 people in the household previously served in UK armed forces,0
114,2021,E02000979,2021 super output areas - middle layer,152,3 or more people in the household previously served in UK armed forces,0
115,2021,E02000980,2021 super output areas - middle layer,152,Total: All households,4325
116,2021,E02000980,2021 super output areas - middle layer,152,No people in the household previously served in UK armed forces,4179
117,2021,E02000980,2021 super output areas - middle layer,152,1 person in the household previously served in UK armed forces,139
118,2021,E02000980,2021 super output areas - middle layer,152,2 people in the household previously served in UK armed forces,7
119,2021,E02000980,2021 super output areas - middle layer,152,3 or more people in the household previously served in UK armed forces,0
120,2021,E02000981,2021 super output areas - middle layer,152,Total: All households,4157
121,2021,E02000981,2021 super output areas - middle layer,152,No people in the household previously served in UK armed forces,4047
122,2021,E02000981,2021 super output areas - middle layer,152,1 person in the household previously served in UK armed forces,110
123,2021,E02000981,2021 super output areas - middle layer,152,2 people in the household previously served in UK armed forces,0
124,2021,E02000981,2021 super output areas - middle layer,152,3 or more people in the household previously served in UK armed forces,0
125,2021,E02000982,2021 super output areas - middle layer,152,Total: All households,3844
126,2021,E02000982,2021 super output areas - middle layer,152,No people in the household previously served in UK armed forces,3736
