,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_DISABILITY_5_NAME,OBS_VALUE
0,2021,E02006978,2021 super output areas - middle layer,152,Disabled under the Equality Act: Day-to-day activities limited a little,685
1,2021,E02006978,2021 super output areas - middle layer,152,Not disabled under the Equality Act,6205
2,2021,E02006978,2021 super output areas - middle layer,152,Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,555
3,2021,E02006978,2021 super output areas - middle layer,152,Not disabled under the Equality Act: No long term physical or mental health conditions,5650
4,2021,E02006979,2021 super output areas - middle layer,152,Total: All usual residents,6427
5,2021,E02006979,2021 super output areas - middle layer,152,Disabled under the Equality Act,812
6,2021,E02006979,2021 super output areas - middle layer,152,Disabled under the Equality Act: Day-to-day activities limited a lot,314
7,2021,E02006979,2021 super output areas - middle layer,152,Disabled under the Equality Act: Day-to-day activities limited a little,498
8,2021,E02006979,2021 super output areas - middle layer,152,Not disabled under the Equality Act,5615
9,2021,E02006979,2021 super output areas - middle layer,152,Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,415
10,2021,E02006979,2021 super output areas - middle layer,152,Not disabled under the Equality Act: No long term physical or mental health conditions,5200
11,2021,E02004506,2021 super output areas - middle layer,152,Total: All usual residents,7148
12,2021,E02004506,2021 super output areas - middle layer,152,Disabled under the Equality Act,1065
13,2021,E02004506,2021 super output areas - middle layer,152,Disabled under the Equality Act: Day-to-day activities limited a lot,427
14,2021,E02004506,2021 super output areas - middle layer,152,Disabled under the Equality Act: Day-to-day activities limited a little,638
15,2021,E02004506,2021 super output areas - middle layer,152,Not disabled under the Equality Act,6083
16,2021,E02004506,2021 super output areas - middle layer,152,Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,601
17,2021,E02004506,2021 super output areas - middle layer,152,Not disabled under the Equality Act: No long term physical or mental health conditions,5482
18,2021,E02004507,2021 super output areas - middle layer,152,Total: All usual residents,9689
19,2021,E02004507,2021 super output areas - middle layer,152,Disabled under the Equality Act,1553
20,2021,E02004507,2021 super output areas - middle layer,152,Disabled under the Equality Act: Day-to-day activities limited a lot,627
21,2021,E02004507,2021 super output areas - middle layer,152,Disabled under the Equality Act: Day-to-day activities limited a little,926
22,2021,E02004507,2021 super output areas - middle layer,152,Not disabled under the Equality Act,8136
23,2021,E02004507,2021 super output areas - middle layer,152,Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,752
24,2021,E02004507,2021 super output areas - middle layer,152,Not disabled under the Equality Act: No long term physical or mental health conditions,7384
25,2021,E02004508,2021 super output areas - middle layer,152,Total: All usual residents,6566
26,2021,E02004508,2021 super output areas - middle layer,152,Disabled under the Equality Act,1109
27,2021,E02004508,2021 super output areas - middle layer,152,Disabled under the Equality Act: Day-to-day activities limited a lot,422
28,2021,E02004508,2021 super output areas - middle layer,152,Disabled under the Equality Act: Day-to-day activities limited a little,687
29,2021,E02004508,2021 super output areas - middle layer,152,Not disabled under the Equality Act,5457
30,2021,E02004508,2021 super output areas - middle layer,152,Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,525
31,2021,E02004508,2021 super output areas - middle layer,152,Not disabled under the Equality Act: No long term physical or mental health conditions,4932
32,2021,E02004512,2021 super output areas - middle layer,152,Total: All usual residents,11315
