,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_HOURS_5_NAME,OBS_VALUE
0,2021,E02002483,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,4926
1,2021,E02002483,2021 super output areas - middle layer,152,Part-time,1340
2,2021,E02002483,2021 super output areas - middle layer,152,Part-time: 15 hours or less worked,339
3,2021,E02002483,2021 super output areas - middle layer,152,Part-time: 16 to 30 hours worked,1001
4,2021,E02002483,2021 super output areas - middle layer,152,Full-time,3586
5,2021,E02002483,2021 super output areas - middle layer,152,Full-time: 31 to 48 hours worked,3078
6,2021,E02002483,2021 super output areas - middle layer,152,Full-time: 49 or more hours worked,508
7,2021,E02002484,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,3636
8,2021,E02002484,2021 super output areas - middle layer,152,Part-time,1208
9,2021,E02002484,2021 super output areas - middle layer,152,Part-time: 15 hours or less worked,350
10,2021,E02002484,2021 super output areas - middle layer,152,Part-time: 16 to 30 hours worked,858
11,2021,E02002484,2021 super output areas - middle layer,152,Full-time,2428
12,2021,E02002484,2021 super output areas - middle layer,152,Full-time: 31 to 48 hours worked,2103
13,2021,E02002484,2021 super output areas - middle layer,152,Full-time: 49 or more hours worked,325
14,2021,E02002485,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,2943
15,2021,E02002485,2021 super output areas - middle layer,152,Part-time,1062
16,2021,E02002485,2021 super output areas - middle layer,152,Part-time: 15 hours or less worked,305
17,2021,E02002485,2021 super output areas - middle layer,152,Part-time: 16 to 30 hours worked,757
18,2021,E02002485,2021 super output areas - middle layer,152,Full-time,1881
19,2021,E02002485,2021 super output areas - middle layer,152,Full-time: 31 to 48 hours worked,1678
20,2021,E02002485,2021 super output areas - middle layer,152,Full-time: 49 or more hours worked,203
21,2021,E02002489,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,2506
22,2021,E02002489,2021 super output areas - middle layer,152,Part-time,863
23,2021,E02002489,2021 super output areas - middle layer,152,Part-time: 15 hours or less worked,276
24,2021,E02002489,2021 super output areas - middle layer,152,Part-time: 16 to 30 hours worked,587
25,2021,E02002489,2021 super output areas - middle layer,152,Full-time,1643
26,2021,E02002489,2021 super output areas - middle layer,152,Full-time: 31 to 48 hours worked,1434
27,2021,E02002489,2021 super output areas - middle layer,152,Full-time: 49 or more hours worked,209
28,2021,E02002490,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,2160
29,2021,E02002490,2021 super output areas - middle layer,152,Part-time,699
30,2021,E02002490,2021 super output areas - middle layer,152,Part-time: 15 hours or less worked,171
31,2021,E02002490,2021 super output areas - middle layer,152,Part-time: 16 to 30 hours worked,528
32,2021,E02002490,2021 super output areas - middle layer,152,Full-time,1461
33,2021,E02002490,2021 super output areas - middle layer,152,Full-time: 31 to 48 hours worked,1291
34,2021,E02002490,2021 super output areas - middle layer,152,Full-time: 49 or more hours worked,170
35,2021,E02002491,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,2393
36,2021,E02002491,2021 super output areas - middle layer,152,Part-time,824
37,2021,E02002491,2021 super output areas - middle layer,152,Part-time: 15 hours or less worked,223
38,2021,E02002491,2021 super output areas - middle layer,152,Part-time: 16 to 30 hours worked,601
39,2021,E02002491,2021 super output areas - middle layer,152,Full-time,1569
40,2021,E02002491,2021 super output areas - middle layer,152,Full-time: 31 to 48 hours worked,1385
41,2021,E02002491,2021 super output areas - middle layer,152,Full-time: 49 or more hours worked,184
42,2021,E02002492,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over in employment the week before the census,2817
