,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_NSSEC_10_NAME,OBS_VALUE
0,2021,E02000959,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,6318
1,2021,E02000959,2021 super output areas - middle layer,152,"L1, L2 and L3 Higher managerial, administrative and professional occupations",1068
2,2021,E02000959,2021 super output areas - middle layer,152,"L4, L5 and L6 Lower managerial, administrative and professional occupations",1465
3,2021,E02000959,2021 super output areas - middle layer,152,L7 Intermediate occupations,551
4,2021,E02000959,2021 super output areas - middle layer,152,L8 and L9 Small employers and own account workers,764
5,2021,E02000959,2021 super output areas - middle layer,152,L10 and L11 Lower supervisory and technical occupations,269
6,2021,E02000959,2021 super output areas - middle layer,152,L12 Semi-routine occupations,534
7,2021,E02000959,2021 super output areas - middle layer,152,L13 Routine occupations,587
8,2021,E02000959,2021 super output areas - middle layer,152,L14.1 and L14.2 Never worked and long-term unemployed,614
9,2021,E02000959,2021 super output areas - middle layer,152,L15 Full-time students,466
10,2021,E02007083,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,6745
11,2021,E02007083,2021 super output areas - middle layer,152,"L1, L2 and L3 Higher managerial, administrative and professional occupations",2380
12,2021,E02007083,2021 super output areas - middle layer,152,"L4, L5 and L6 Lower managerial, administrative and professional occupations",1562
13,2021,E02007083,2021 super output areas - middle layer,152,L7 Intermediate occupations,377
14,2021,E02007083,2021 super output areas - middle layer,152,L8 and L9 Small employers and own account workers,601
15,2021,E02007083,2021 super output areas - middle layer,152,L10 and L11 Lower supervisory and technical occupations,129
16,2021,E02007083,2021 super output areas - middle layer,152,L12 Semi-routine occupations,297
17,2021,E02007083,2021 super output areas - middle layer,152,L13 Routine occupations,267
18,2021,E02007083,2021 super output areas - middle layer,152,L14.1 and L14.2 Never worked and long-term unemployed,340
19,2021,E02007083,2021 super output areas - middle layer,152,L15 Full-time students,792
20,2021,E02007084,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,8289
21,2021,E02007084,2021 super output areas - middle layer,152,"L1, L2 and L3 Higher managerial, administrative and professional occupations",1482
22,2021,E02007084,2021 super output areas - middle layer,152,"L4, L5 and L6 Lower managerial, administrative and professional occupations",1708
23,2021,E02007084,2021 super output areas - middle layer,152,L7 Intermediate occupations,690
24,2021,E02007084,2021 super output areas - middle layer,152,L8 and L9 Small employers and own account workers,751
25,2021,E02007084,2021 super output areas - middle layer,152,L10 and L11 Lower supervisory and technical occupations,371
26,2021,E02007084,2021 super output areas - middle layer,152,L12 Semi-routine occupations,863
27,2021,E02007084,2021 super output areas - middle layer,152,L13 Routine occupations,836
28,2021,E02007084,2021 super output areas - middle layer,152,L14.1 and L14.2 Never worked and long-term unemployed,838
29,2021,E02007084,2021 super output areas - middle layer,152,L15 Full-time students,750
30,2021,E02000960,2021 super output areas - middle layer,152,Total: All usual residents aged 16 years and over,5222
31,2021,E02000960,2021 super output areas - middle layer,152,"L1, L2 and L3 Higher managerial, administrative and professional occupations",1608
