,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C2021_ENGPRF_6_NAME,OBS_VALUE
0,2021,E02006978,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Can speak English very well,508
1,2021,E02006978,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Can speak English well,308
2,2021,E02006978,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Cannot speak English well,103
3,2021,E02006978,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Cannot speak English,11
4,2021,E02006979,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6180
5,2021,E02006979,2021 super output areas - middle layer,152,Main language is English (English or Welsh in Wales),5209
6,2021,E02006979,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales),971
7,2021,E02006979,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Can speak English very well,531
8,2021,E02006979,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Can speak English well,329
9,2021,E02006979,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Cannot speak English well,98
10,2021,E02006979,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Cannot speak English,13
11,2021,E02004506,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6960
12,2021,E02004506,2021 super output areas - middle layer,152,Main language is English (English or Welsh in Wales),6850
13,2021,E02004506,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales),110
14,2021,E02004506,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Can speak English very well,64
15,2021,E02004506,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Can speak English well,31
16,2021,E02004506,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Cannot speak English well,15
17,2021,E02004506,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Cannot speak English,0
18,2021,E02004507,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,9362
19,2021,E02004507,2021 super output areas - middle layer,152,Main language is English (English or Welsh in Wales),8653
20,2021,E02004507,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales),709
21,2021,E02004507,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Can speak English very well,446
22,2021,E02004507,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Can speak English well,198
23,2021,E02004507,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Cannot speak English well,56
24,2021,E02004507,2021 super output areas - middle layer,152,Main language is not English (English or Welsh in Wales): Cannot speak English,9
25,2021,E02004508,2021 super output areas - middle layer,152,Total: All usual residents aged 3 years and over,6419
