,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_HOURS_NAME,OBS_VALUE
0,2001,E02003199,2001 super output areas - middle layer,305,All males aged 16-74 in employment,2510.0
1,2001,E02003199,2001 super output areas - middle layer,305,Males - Part-time - 1 to 5 hours,6.0
2,2001,E02003199,2001 super output areas - middle layer,305,Males - Part-time - 6 to 15 hours,80.0
3,2001,E02003199,2001 super output areas - middle layer,305,Males - Part-time - 16 to 30 hours,115.0
4,2001,E02003199,2001 super output areas - middle layer,305,Males - Full-time - 31 to 37 hours,345.0
5,2001,E02003199,2001 super output areas - middle layer,305,Males - Full-time - 38 to 48 hours,1330.0
6,2001,E02003199,2001 super output areas - middle layer,305,Males - Full-time - 49 or more hours,634.0
7,2001,E02003199,2001 super output areas - middle layer,305,All females aged 16-74 in employment,2133.0
8,2001,E02003199,2001 super output areas - middle layer,305,Females - Part-time - 1 to 5 hours,39.0
9,2001,E02003199,2001 super output areas - middle layer,305,Females - Part-time - 6 to 15 hours,272.0
10,2001,E02003199,2001 super output areas - middle layer,305,Females - Part-time - 16 to 30 hours,620.0
11,2001,E02003199,2001 super output areas - middle layer,305,Females - Full-time - 31 to 37 hours,539.0
12,2001,E02003199,2001 super output areas - middle layer,305,Females - Full-time - 38 to 48 hours,548.0
13,2001,E02003199,2001 super output areas - middle layer,305,Females - Full-time - 49 or more hours,115.0
14,2001,E02003199,2001 super output areas - middle layer,305,Male - Mean hours worked,42.37
15,2001,E02003199,2001 super output areas - middle layer,305,Female - Mean hours worked,30.82
16,2001,E02003200,2001 super output areas - middle layer,305,All males aged 16-74 in employment,2276.0
17,2001,E02003200,2001 super output areas - middle layer,305,Males - Part-time - 1 to 5 hours,7.0
18,2001,E02003200,2001 super output areas - middle layer,305,Males - Part-time - 6 to 15 hours,69.0
19,2001,E02003200,2001 super output areas - middle layer,305,Males - Part-time - 16 to 30 hours,153.0
20,2001,E02003200,2001 super output areas - middle layer,305,Males - Full-time - 31 to 37 hours,289.0
21,2001,E02003200,2001 super output areas - middle layer,305,Males - Full-time - 38 to 48 hours,1243.0
22,2001,E02003200,2001 super output areas - middle layer,305,Males - Full-time - 49 or more hours,515.0
23,2001,E02003200,2001 super output areas - middle layer,305,All females aged 16-74 in employment,1949.0
24,2001,E02003200,2001 super output areas - middle layer,305,Females - Part-time - 1 to 5 hours,35.0
25,2001,E02003200,2001 super output areas - middle layer,305,Females - Part-time - 6 to 15 hours,249.0
26,2001,E02003200,2001 super output areas - middle layer,305,Females - Part-time - 16 to 30 hours,650.0
27,2001,E02003200,2001 super output areas - middle layer,305,Females - Full-time - 31 to 37 hours,437.0
28,2001,E02003200,2001 super output areas - middle layer,305,Females - Full-time - 38 to 48 hours,492.0
29,2001,E02003200,2001 super output areas - middle layer,305,Females - Full-time - 49 or more hours,86.0
30,2001,E02003200,2001 super output areas - middle layer,305,Male - Mean hours worked,41.96
31,2001,E02003200,2001 super output areas - middle layer,305,Female - Mean hours worked,29.83
32,2001,E02003201,2001 super output areas - middle layer,305,All males aged 16-74 in employment,2353.0
33,2001,E02003201,2001 super output areas - middle layer,305,Males - Part-time - 1 to 5 hours,6.0
34,2001,E02003201,2001 super output areas - middle layer,305,Males - Part-time - 6 to 15 hours,56.0
35,2001,E02003201,2001 super output areas - middle layer,305,Males - Part-time - 16 to 30 hours,118.0
36,2001,E02003201,2001 super output areas - middle layer,305,Males - Full-time - 31 to 37 hours,312.0
37,2001,E02003201,2001 super output areas - middle layer,305,Males - Full-time - 38 to 48 hours,1292.0
38,2001,E02003201,2001 super output areas - middle layer,305,Males - Full-time - 49 or more hours,569.0
39,2001,E02003201,2001 super output areas - middle layer,305,All females aged 16-74 in employment,1977.0
40,2001,E02003201,2001 super output areas - middle layer,305,Females - Part-time - 1 to 5 hours,41.0
41,2001,E02003201,2001 super output areas - middle layer,305,Females - Part-time - 6 to 15 hours,256.0
42,2001,E02003201,2001 super output areas - middle layer,305,Females - Part-time - 16 to 30 hours,578.0
43,2001,E02003201,2001 super output areas - middle layer,305,Females - Full-time - 31 to 37 hours,450.0
44,2001,E02003201,2001 super output areas - middle layer,305,Females - Full-time - 38 to 48 hours,550.0
45,2001,E02003201,2001 super output areas - middle layer,305,Females - Full-time - 49 or more hours,102.0
46,2001,E02003201,2001 super output areas - middle layer,305,Male - Mean hours worked,42.38
47,2001,E02003201,2001 super output areas - middle layer,305,Female - Mean hours worked,30.55
48,2001,E02003202,2001 super output areas - middle layer,305,All males aged 16-74 in employment,1450.0
49,2001,E02003202,2001 super output areas - middle layer,305,Males - Part-time - 1 to 5 hours,9.0
50,2001,E02003202,2001 super output areas - middle layer,305,Males - Part-time - 6 to 15 hours,62.0
51,2001,E02003202,2001 super output areas - middle layer,305,Males - Part-time - 16 to 30 hours,100.0
52,2001,E02003202,2001 super output areas - middle layer,305,Males - Full-time - 31 to 37 hours,253.0
53,2001,E02003202,2001 super output areas - middle layer,305,Males - Full-time - 38 to 48 hours,697.0
54,2001,E02003202,2001 super output areas - middle layer,305,Males - Full-time - 49 or more hours,329.0
55,2001,E02003202,2001 super output areas - middle layer,305,All females aged 16-74 in employment,1143.0
56,2001,E02003202,2001 super output areas - middle layer,305,Females - Part-time - 1 to 5 hours,24.0
57,2001,E02003202,2001 super output areas - middle layer,305,Females - Part-time - 6 to 15 hours,182.0
58,2001,E02003202,2001 super output areas - middle layer,305,Females - Part-time - 16 to 30 hours,319.0
59,2001,E02003202,2001 super output areas - middle layer,305,Females - Full-time - 31 to 37 hours,268.0
60,2001,E02003202,2001 super output areas - middle layer,305,Females - Full-time - 38 to 48 hours,288.0
61,2001,E02003202,2001 super output areas - middle layer,305,Females - Full-time - 49 or more hours,62.0
62,2001,E02003202,2001 super output areas - middle layer,305,Male - Mean hours worked,41.21
63,2001,E02003202,2001 super output areas - middle layer,305,Female - Mean hours worked,29.7
64,2001,E02003203,2001 super output areas - middle layer,305,All males aged 16-74 in employment,1960.0
65,2001,E02003203,2001 super output areas - middle layer,305,Males - Part-time - 1 to 5 hours,9.0
66,2001,E02003203,2001 super output areas - middle layer,305,Males - Part-time - 6 to 15 hours,55.0
67,2001,E02003203,2001 super output areas - middle layer,305,Males - Part-time - 16 to 30 hours,98.0
68,2001,E02003203,2001 super output areas - middle layer,305,Males - Full-time - 31 to 37 hours,264.0
69,2001,E02003203,2001 super output areas - middle layer,305,Males - Full-time - 38 to 48 hours,1035.0
70,2001,E02003203,2001 super output areas - middle layer,305,Males - Full-time - 49 or more hours,499.0
71,2001,E02003203,2001 super output areas - middle layer,305,All females aged 16-74 in employment,1688.0
72,2001,E02003203,2001 super output areas - middle layer,305,Females - Part-time - 1 to 5 hours,26.0
73,2001,E02003203,2001 super output areas - middle layer,305,Females - Part-time - 6 to 15 hours,216.0
74,2001,E02003203,2001 super output areas - middle layer,305,Females - Part-time - 16 to 30 hours,533.0
75,2001,E02003203,2001 super output areas - middle layer,305,Females - Full-time - 31 to 37 hours,402.0
76,2001,E02003203,2001 super output areas - middle layer,305,Females - Full-time - 38 to 48 hours,425.0
77,2001,E02003203,2001 super output areas - middle layer,305,Females - Full-time - 49 or more hours,86.0
78,2001,E02003203,2001 super output areas - middle layer,305,Male - Mean hours worked,42.59
79,2001,E02003203,2001 super output areas - middle layer,305,Female - Mean hours worked,30.29
80,2001,E02003204,2001 super output areas - middle layer,305,All males aged 16-74 in employment,1889.0
81,2001,E02003204,2001 super output areas - middle layer,305,Males - Part-time - 1 to 5 hours,10.0
82,2001,E02003204,2001 super output areas - middle layer,305,Males - Part-time - 6 to 15 hours,51.0
83,2001,E02003204,2001 super output areas - middle layer,305,Males - Part-time - 16 to 30 hours,132.0
84,2001,E02003204,2001 super output areas - middle layer,305,Males - Full-time - 31 to 37 hours,263.0
85,2001,E02003204,2001 super output areas - middle layer,305,Males - Full-time - 38 to 48 hours,992.0
86,2001,E02003204,2001 super output areas - middle layer,305,Males - Full-time - 49 or more hours,441.0
87,2001,E02003204,2001 super output areas - middle layer,305,All females aged 16-74 in employment,1605.0
88,2001,E02003204,2001 super output areas - middle layer,305,Females - Part-time - 1 to 5 hours,33.0
89,2001,E02003204,2001 super output areas - middle layer,305,Females - Part-time - 6 to 15 hours,221.0
90,2001,E02003204,2001 super output areas - middle layer,305,Females - Part-time - 16 to 30 hours,507.0
91,2001,E02003204,2001 super output areas - middle layer,305,Females - Full-time - 31 to 37 hours,356.0
92,2001,E02003204,2001 super output areas - middle layer,305,Females - Full-time - 38 to 48 hours,395.0
93,2001,E02003204,2001 super output areas - middle layer,305,Females - Full-time - 49 or more hours,93.0
94,2001,E02003204,2001 super output areas - middle layer,305,Male - Mean hours worked,41.9
95,2001,E02003204,2001 super output areas - middle layer,305,Female - Mean hours worked,30.09
96,2001,E02003205,2001 super output areas - middle layer,305,All males aged 16-74 in employment,2083.0
97,2001,E02003205,2001 super output areas - middle layer,305,Males - Part-time - 1 to 5 hours,4.0
98,2001,E02003205,2001 super output areas - middle layer,305,Males - Part-time - 6 to 15 hours,63.0
99,2001,E02003205,2001 super output areas - middle layer,305,Males - Part-time - 16 to 30 hours,98.0
100,2001,E02003205,2001 super output areas - middle layer,305,Males - Full-time - 31 to 37 hours,294.0
101,2001,E02003205,2001 super output areas - middle layer,305,Males - Full-time - 38 to 48 hours,1074.0
102,2001,E02003205,2001 super output areas - middle layer,305,Males - Full-time - 49 or more hours,550.0
103,2001,E02003205,2001 super output areas - middle layer,305,All females aged 16-74 in employment,1744.0
104,2001,E02003205,2001 super output areas - middle layer,305,Females - Part-time - 1 to 5 hours,34.0
105,2001,E02003205,2001 super output areas - middle layer,305,Females - Part-time - 6 to 15 hours,304.0
106,2001,E02003205,2001 super output areas - middle layer,305,Females - Part-time - 16 to 30 hours,592.0
107,2001,E02003205,2001 super output areas - middle layer,305,Females - Full-time - 31 to 37 hours,386.0
108,2001,E02003205,2001 super output areas - middle layer,305,Females - Full-time - 38 to 48 hours,352.0
109,2001,E02003205,2001 super output areas - middle layer,305,Females - Full-time - 49 or more hours,76.0
110,2001,E02003205,2001 super output areas - middle layer,305,Male - Mean hours worked,42.67
111,2001,E02003205,2001 super output areas - middle layer,305,Female - Mean hours worked,28.31
112,2001,E02003206,2001 super output areas - middle layer,305,All males aged 16-74 in employment,2211.0
113,2001,E02003206,2001 super output areas - middle layer,305,Males - Part-time - 1 to 5 hours,14.0
114,2001,E02003206,2001 super output areas - middle layer,305,Males - Part-time - 6 to 15 hours,82.0
115,2001,E02003206,2001 super output areas - middle layer,305,Males - Part-time - 16 to 30 hours,146.0
116,2001,E02003206,2001 super output areas - middle layer,305,Males - Full-time - 31 to 37 hours,322.0
117,2001,E02003206,2001 super output areas - middle layer,305,Males - Full-time - 38 to 48 hours,1060.0
118,2001,E02003206,2001 super output areas - middle layer,305,Males - Full-time - 49 or more hours,587.0
119,2001,E02003206,2001 super output areas - middle layer,305,All females aged 16-74 in employment,1876.0
120,2001,E02003206,2001 super output areas - middle layer,305,Females - Part-time - 1 to 5 hours,43.0
121,2001,E02003206,2001 super output areas - middle layer,305,Females - Part-time - 6 to 15 hours,245.0
122,2001,E02003206,2001 super output areas - middle layer,305,Females - Part-time - 16 to 30 hours,543.0
123,2001,E02003206,2001 super output areas - middle layer,305,Females - Full-time - 31 to 37 hours,398.0
124,2001,E02003206,2001 super output areas - middle layer,305,Females - Full-time - 38 to 48 hours,484.0
125,2001,E02003206,2001 super output areas - middle layer,305,Females - Full-time - 49 or more hours,163.0
126,2001,E02003206,2001 super output areas - middle layer,305,Male - Mean hours worked,42.14
127,2001,E02003206,2001 super output areas - middle layer,305,Female - Mean hours worked,31.48
128,2001,E02003207,2001 super output areas - middle layer,305,All males aged 16-74 in employment,1655.0
129,2001,E02003207,2001 super output areas - middle layer,305,Males - Part-time - 1 to 5 hours,6.0
130,2001,E02003207,2001 super output areas - middle layer,305,Males - Part-time - 6 to 15 hours,30.0
131,2001,E02003207,2001 super output areas - middle layer,305,Males - Part-time - 16 to 30 hours,95.0
132,2001,E02003207,2001 super output areas - middle layer,305,Males - Full-time - 31 to 37 hours,189.0
133,2001,E02003207,2001 super output areas - middle layer,305,Males - Full-time - 38 to 48 hours,889.0
134,2001,E02003207,2001 super output areas - middle layer,305,Males - Full-time - 49 or more hours,446.0
135,2001,E02003207,2001 super output areas - middle layer,305,All females aged 16-74 in employment,1397.0
136,2001,E02003207,2001 super output areas - middle layer,305,Females - Part-time - 1 to 5 hours,22.0
137,2001,E02003207,2001 super output areas - middle layer,305,Females - Part-time - 6 to 15 hours,186.0
138,2001,E02003207,2001 super output areas - middle layer,305,Females - Part-time - 16 to 30 hours,472.0
139,2001,E02003207,2001 super output areas - middle layer,305,Females - Full-time - 31 to 37 hours,274.0
140,2001,E02003207,2001 super output areas - middle layer,305,Females - Full-time - 38 to 48 hours,384.0
141,2001,E02003207,2001 super output areas - middle layer,305,Females - Full-time - 49 or more hours,59.0
142,2001,E02003207,2001 super output areas - middle layer,305,Male - Mean hours worked,43.43
143,2001,E02003207,2001 super output areas - middle layer,305,Female - Mean hours worked,29.84
144,2001,E02003208,2001 super output areas - middle layer,305,All males aged 16-74 in employment,2017.0
145,2001,E02003208,2001 super output areas - middle layer,305,Males - Part-time - 1 to 5 hours,14.0
146,2001,E02003208,2001 super output areas - middle layer,305,Males - Part-time - 6 to 15 hours,52.0
147,2001,E02003208,2001 super output areas - middle layer,305,Males - Part-time - 16 to 30 hours,149.0
148,2001,E02003208,2001 super output areas - middle layer,305,Males - Full-time - 31 to 37 hours,323.0
