,DATE,GEOGRAPHY_CODE,GEOGRAPHY_TYPE,GEOGRAPHY_TYPECODE,C_LARPUK11_NAME,OBS_VALUE
0,2001,E02003496,2001 super output areas - middle layer,305,All categories: Living arrangements,5916
1,2001,E02003496,2001 super output areas - middle layer,305,Living in a couple,3616
2,2001,E02003496,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,3104
3,2001,E02003496,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,512
4,2001,E02003496,2001 super output areas - middle layer,305,Not living in a couple,2300
5,2001,E02003496,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),1228
6,2001,E02003496,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,31
7,2001,E02003496,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),108
8,2001,E02003496,2001 super output areas - middle layer,305,Not living in a couple: Divorced,372
9,2001,E02003496,2001 super output areas - middle layer,305,Not living in a couple: Widowed,561
10,2001,E02003497,2001 super output areas - middle layer,305,All categories: Living arrangements,5429
11,2001,E02003497,2001 super output areas - middle layer,305,Living in a couple,3650
12,2001,E02003497,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,3232
13,2001,E02003497,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,418
14,2001,E02003497,2001 super output areas - middle layer,305,Not living in a couple,1779
15,2001,E02003497,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),1045
16,2001,E02003497,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,37
17,2001,E02003497,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),88
18,2001,E02003497,2001 super output areas - middle layer,305,Not living in a couple: Divorced,226
19,2001,E02003497,2001 super output areas - middle layer,305,Not living in a couple: Widowed,383
20,2001,E02003498,2001 super output areas - middle layer,305,All categories: Living arrangements,5756
21,2001,E02003498,2001 super output areas - middle layer,305,Living in a couple,2764
22,2001,E02003498,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,2128
23,2001,E02003498,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,636
24,2001,E02003498,2001 super output areas - middle layer,305,Not living in a couple,2992
25,2001,E02003498,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),1770
26,2001,E02003498,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,46
27,2001,E02003498,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),156
28,2001,E02003498,2001 super output areas - middle layer,305,Not living in a couple: Divorced,478
29,2001,E02003498,2001 super output areas - middle layer,305,Not living in a couple: Widowed,542
30,2001,E02003499,2001 super output areas - middle layer,305,All categories: Living arrangements,5510
31,2001,E02003499,2001 super output areas - middle layer,305,Living in a couple,3080
32,2001,E02003499,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,2472
33,2001,E02003499,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,608
34,2001,E02003499,2001 super output areas - middle layer,305,Not living in a couple,2430
35,2001,E02003499,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),1568
36,2001,E02003499,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,24
37,2001,E02003499,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),116
38,2001,E02003499,2001 super output areas - middle layer,305,Not living in a couple: Divorced,337
39,2001,E02003499,2001 super output areas - middle layer,305,Not living in a couple: Widowed,385
40,2001,E02003500,2001 super output areas - middle layer,305,All categories: Living arrangements,5757
41,2001,E02003500,2001 super output areas - middle layer,305,Living in a couple,3324
42,2001,E02003500,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,2494
43,2001,E02003500,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,830
44,2001,E02003500,2001 super output areas - middle layer,305,Not living in a couple,2433
45,2001,E02003500,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),1687
46,2001,E02003500,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,36
47,2001,E02003500,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),93
48,2001,E02003500,2001 super output areas - middle layer,305,Not living in a couple: Divorced,367
49,2001,E02003500,2001 super output areas - middle layer,305,Not living in a couple: Widowed,250
50,2001,E02003501,2001 super output areas - middle layer,305,All categories: Living arrangements,6205
51,2001,E02003501,2001 super output areas - middle layer,305,Living in a couple,3442
52,2001,E02003501,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,2540
53,2001,E02003501,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,902
54,2001,E02003501,2001 super output areas - middle layer,305,Not living in a couple,2763
55,2001,E02003501,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),1711
56,2001,E02003501,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,49
57,2001,E02003501,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),139
58,2001,E02003501,2001 super output areas - middle layer,305,Not living in a couple: Divorced,420
59,2001,E02003501,2001 super output areas - middle layer,305,Not living in a couple: Widowed,444
60,2001,E02003502,2001 super output areas - middle layer,305,All categories: Living arrangements,5774
61,2001,E02003502,2001 super output areas - middle layer,305,Living in a couple,3450
62,2001,E02003502,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,2778
63,2001,E02003502,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,672
64,2001,E02003502,2001 super output areas - middle layer,305,Not living in a couple,2324
65,2001,E02003502,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),1263
66,2001,E02003502,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,43
67,2001,E02003502,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),156
68,2001,E02003502,2001 super output areas - middle layer,305,Not living in a couple: Divorced,402
69,2001,E02003502,2001 super output areas - middle layer,305,Not living in a couple: Widowed,460
70,2001,E02003503,2001 super output areas - middle layer,305,All categories: Living arrangements,6516
71,2001,E02003503,2001 super output areas - middle layer,305,Living in a couple,3920
72,2001,E02003503,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,3356
73,2001,E02003503,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,564
74,2001,E02003503,2001 super output areas - middle layer,305,Not living in a couple,2596
75,2001,E02003503,2001 super output areas - middle layer,305,Not living in a couple: Single (never married),1433
76,2001,E02003503,2001 super output areas - middle layer,305,Not living in a couple: Married or re-married,40
77,2001,E02003503,2001 super output areas - middle layer,305,Not living in a couple: Separated (but still legally married),99
78,2001,E02003503,2001 super output areas - middle layer,305,Not living in a couple: Divorced,423
79,2001,E02003503,2001 super output areas - middle layer,305,Not living in a couple: Widowed,601
80,2001,E02003504,2001 super output areas - middle layer,305,All categories: Living arrangements,6113
81,2001,E02003504,2001 super output areas - middle layer,305,Living in a couple,2948
82,2001,E02003504,2001 super output areas - middle layer,305,Living in a couple: Married or re-married,1774
83,2001,E02003504,2001 super output areas - middle layer,305,Living in a couple: Cohabiting,1174
84,2001,E02003504,2001 super output areas - middle layer,305,Not living in a couple,3165
